#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4   1  25   2.8e-80   1.8e-76  255.8  18.8     1   167    15   183    15   197 0.97 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  18  25   2.3e-48   1.5e-44  149.9  17.7  2295  2391  4199  4310  4184  4321 0.91 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  19  25   8.3e-08   0.00054   15.3   0.3  2392  2416  4379  4403  4370  4408 0.92 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  20  25   3.5e-72   2.3e-68  229.0  22.7  2415  2545  4446  4576  4439  4582 0.96 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  21  25   8.6e-14   5.6e-10   35.2   0.1  2542  2582  4631  4671  4624  4673 0.93 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  22  25   5.2e-69   3.4e-65  218.4  13.0  2581  2706  4736  4876  4725  4878 0.92 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  23  25  7.6e-136    5e-132  440.2  31.2  2706  2945  4924  5174  4922  5177 0.94 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  24  25   5.9e-28   3.8e-24   82.2   0.8  2938  2995  5211  5268  5208  5276 0.94 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139900.1-p1   -           5785 90at5820             -           3291         0 5187.0 403.4  25  25  8.3e-159  5.4e-155  516.4  25.9  3000  3291  5458  5783  5452  5783 0.93 | transcript=PVP01_1139900.1 | gene=PVP01_1139900 | organism=Plasmodium_vivax_P01 | gene_product=nucleoporin NUP637, putative | transcript_product=nucleoporin NUP637, putative | location=PvP01_11_v2:1688046-1705403(-) | protein_length=5785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/90at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/90at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/90at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:49 2026
# [ok]
