#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0103100.1-p1   -            107 14652at5820          -             79     7e-41  136.9   8.6   1   1   3.6e-43   1.5e-40  135.9   8.6    10    79    38   107    14   107 0.97 | transcript=PVP01_0103100.1 | gene=PVP01_0103100 | organism=Plasmodium_vivax_P01 | gene_product=centrin, putative | transcript_product=centrin, putative | location=PvP01_01_v2:143304-144204(-) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 14652at5820          -             79   3.1e-06   25.9  17.3   2   5     0.057        23    3.8   0.2    19    72    99   160    98   167 0.63 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 14652at5820          -             79   3.1e-06   25.9  17.3   3   5     0.064        26    3.7   2.1    12    39   167   196   124   198 0.66 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 14652at5820          -             79   3.1e-06   25.9  17.3   4   5     0.025        10    5.0   1.2    12    41   167   198   163   214 0.72 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0909400.1-p1   -            344 14652at5820          -             79   3.1e-06   25.9  17.3   5   5   2.5e-06     0.001   17.8   0.9    17    43   211   237   197   244 0.81 | transcript=PVP01_0909400.1 | gene=PVP01_0909400 | organism=Plasmodium_vivax_P01 | gene_product=endoplasmic reticulum-resident calcium binding protein, putative | transcript_product=endoplasmic reticulum-resident calcium binding protein, putative | location=PvP01_09_v2:498657-499691(-) | protein_length=344 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 14652at5820          -             79   1.2e-05   24.0  14.1   1   3     2e-07     8e-05   21.3   5.2     9    73     6    76     1    82 0.83 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 14652at5820          -             79   1.2e-05   24.0  14.1   2   3         1   4.3e+02   -0.2   0.0    13    34    88   106    75   121 0.59 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0906300.1-p1   -            167 14652at5820          -             79   1.2e-05   24.0  14.1   3   3    0.0033       1.3    7.8   0.5    23    51   133   159   120   167 0.79 | transcript=PVP01_0906300.1 | gene=PVP01_0906300 | organism=Plasmodium_vivax_P01 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=PvP01_09_v2:359830-360606(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518900.1-p1   -            275 14652at5820          -             79   0.00013   20.7   4.8   1   2   3.5e-05     0.014   14.1   3.0    19    57   162   200   146   211 0.82 | transcript=PVP01_0518900.1 | gene=PVP01_0518900 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_05_v2:782536-783694(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0518900.1-p1   -            275 14652at5820          -             79   0.00013   20.7   4.8   2   2     0.019       7.8    5.3   0.0    23    42   251   270   229   274 0.78 | transcript=PVP01_0518900.1 | gene=PVP01_0518900 | organism=Plasmodium_vivax_P01 | gene_product=EF-hand calcium-binding domain-containing protein, putative | transcript_product=EF-hand calcium-binding domain-containing protein, putative | location=PvP01_05_v2:782536-783694(-) | protein_length=275 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 14652at5820          -             79   0.00032   19.4   9.4   1   3   4.3e-06    0.0018   17.0   0.3     9    46     2    39     1    58 0.90 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 14652at5820          -             79   0.00032   19.4   9.4   2   3       1.9   7.8e+02   -1.1   0.1    28    53   129   156   110   164 0.54 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615900.1-p1   -            236 14652at5820          -             79   0.00032   19.4   9.4   3   3    0.0066       2.7    6.8   1.5    17    47   169   199   151   223 0.82 | transcript=PVP01_0615900.1 | gene=PVP01_0615900 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_06_v2:665940-666650(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224800.1-p1   -            467 14652at5820          -             79   0.00099   17.8   7.3   1   4     0.064        26    3.7   0.0    55    72   166   183   161   189 0.89 | transcript=PVP01_1224800.1 | gene=PVP01_1224800 | organism=Plasmodium_vivax_P01 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=PvP01_12_v2:952477-953880(+) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224800.1-p1   -            467 14652at5820          -             79   0.00099   17.8   7.3   2   4      0.47   1.9e+02    0.9   0.1    24    42   205   223   187   235 0.80 | transcript=PVP01_1224800.1 | gene=PVP01_1224800 | organism=Plasmodium_vivax_P01 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=PvP01_12_v2:952477-953880(+) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224800.1-p1   -            467 14652at5820          -             79   0.00099   17.8   7.3   3   4   0.00023     0.095   11.5   0.2    20    77   309   367   292   369 0.86 | transcript=PVP01_1224800.1 | gene=PVP01_1224800 | organism=Plasmodium_vivax_P01 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=PvP01_12_v2:952477-953880(+) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1224800.1-p1   -            467 14652at5820          -             79   0.00099   17.8   7.3   4   4      0.14        56    2.6   0.0    23    40   430   447   414   456 0.88 | transcript=PVP01_1224800.1 | gene=PVP01_1224800 | organism=Plasmodium_vivax_P01 | gene_product=apicoplast calcium binding protein 1, putative | transcript_product=apicoplast calcium binding protein 1, putative | location=PvP01_12_v2:952477-953880(+) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 14652at5820          -             79    0.0021   16.8   6.5   1   3   3.4e-05     0.014   14.2   0.9    12    78    21    91    13    92 0.82 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 14652at5820          -             79    0.0021   16.8   6.5   2   3    0.0023      0.93    8.3   1.2    28    71    71   121    61   128 0.75 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1260400.1-p1   -            168 14652at5820          -             79    0.0021   16.8   6.5   3   3     0.045        18    4.2   0.5    16    73    98   159    94   165 0.68 | transcript=PVP01_1260400.1 | gene=PVP01_1260400 | organism=Plasmodium_vivax_P01 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=PvP01_12_v2:2483484-2484244(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 14652at5820          -             79    0.0062   15.3   2.8   1   2      0.22        91    1.9   0.0    53    73   501   521   494   528 0.83 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0830100.1-p1   -            604 14652at5820          -             79    0.0062   15.3   2.8   2   2    0.0017      0.69    8.7   1.2    12    71   527   595   517   601 0.68 | transcript=PVP01_0830100.1 | gene=PVP01_0830100 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=PvP01_08_v2:1311078-1313873(-) | protein_length=604 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 14652at5820          -             79    0.0078   15.0   1.1   1   4       3.1   1.3e+03   -1.7   0.2    43    43   289   289   251   326 0.50 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 14652at5820          -             79    0.0078   15.0   1.1   2   4      0.17        69    2.3   0.1    17    72   295   355   281   358 0.68 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 14652at5820          -             79    0.0078   15.0   1.1   3   4   1.9e-05    0.0078   15.0   1.1    19    73   334   392   326   398 0.84 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1202200.1-p1   -            423 14652at5820          -             79    0.0078   15.0   1.1   4   4       3.3   1.3e+03   -1.8   0.1     6    27   397   419   391   420 0.72 | transcript=PVP01_1202200.1 | gene=PVP01_1202200 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_12_v2:92438-95743(+) | protein_length=423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 14652at5820          -             79    0.0093   14.7  18.6   1   4       4.6   1.9e+03   -2.3   0.0    41    57   167   183   164   188 0.82 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 14652at5820          -             79    0.0093   14.7  18.6   2   4      0.14        58    2.6   0.2    43    62   325   347   320   354 0.79 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 14652at5820          -             79    0.0093   14.7  18.6   3   4   0.00039      0.16   10.8   0.4    12    73   418   482   413   487 0.77 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216900.1-p1   -            563 14652at5820          -             79    0.0093   14.7  18.6   4   4    0.0069       2.8    6.8   4.1    23    73   500   556   491   561 0.74 | transcript=PVP01_1216900.1 | gene=PVP01_1216900 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=PvP01_12_v2:704678-706369(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0823300.1-p1   -            130 14652at5820          -             79     0.022   13.5   0.0   1   1    0.0001     0.042   12.6   0.0    40    70    34    64    23    68 0.90 | transcript=PVP01_0823300.1 | gene=PVP01_0823300 | organism=Plasmodium_vivax_P01 | gene_product=40S ribosomal protein S15A, putative | transcript_product=40S ribosomal protein S15A, putative | location=PvP01_08_v2:1043932-1044453(-) | protein_length=130 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 14652at5820          -             79       1.3    7.9  23.2   1   5       4.2   1.7e+03   -2.2   0.1    41    56   119   134   107   138 0.77 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 14652at5820          -             79       1.3    7.9  23.2   2   5      0.38   1.6e+02    1.2   0.4    10    53   294   334   286   345 0.69 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 14652at5820          -             79       1.3    7.9  23.2   3   5     0.026        10    4.9   3.9    12    73   371   444   362   447 0.65 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 14652at5820          -             79       1.3    7.9  23.2   4   5     0.034        14    4.6   4.1    17    71   420   478   403   485 0.72 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0407500.1-p1   -            526 14652at5820          -             79       1.3    7.9  23.2   5   5    0.0032       1.3    7.8   0.2    25    46   498   519   482   524 0.81 | transcript=PVP01_0407500.1 | gene=PVP01_0407500 | organism=Plasmodium_vivax_P01 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=PvP01_04_v2:307075-309539(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14652at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14652at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:02 2026
# [ok]
