#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5   1  15   5.4e-11   3.5e-07   26.9   0.0     1    50     1    63     1    72 0.77 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5  12  15   2.9e-28   1.9e-24   84.1   2.7   736   806  1356  1433  1350  1437 0.91 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5  13  15   4.8e-11   3.1e-07   27.1   0.0   806   856  1498  1550  1495  1555 0.91 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5  14  15     6e-18   3.9e-14   50.0   0.1   861   907  1614  1660  1602  1681 0.90 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1234900.1-p1   -           1965 821at5820            -           1086         0 1129.2  80.5  15  15   4.3e-66   2.8e-62  209.4  14.6   918  1085  1776  1955  1765  1956 0.92 | transcript=PVP01_1234900.1 | gene=PVP01_1234900 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1388584-1394759(+) | protein_length=1965 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/821at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/821at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/821at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:50:29 2026
# [ok]
