#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1006300.1-p1   -            467 11717at5820          -            359  2.8e-217  719.2  81.9   1   3   1.3e-19   3.7e-17   60.8   6.0     1    57     4    70     4    79 0.84 | transcript=PVP01_1006300.1 | gene=PVP01_1006300 | organism=Plasmodium_vivax_P01 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=PvP01_10_v2:279693-281543(-) | protein_length=467 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941500.1-p1   -            954 11717at5820          -            359   3.2e-06   24.9  14.5   1   2       2.8   7.9e+02   -2.8   0.4   213   248    60    95    53   138 0.63 | transcript=PVP01_0941500.1 | gene=PVP01_0941500 | organism=Plasmodium_vivax_P01 | gene_product=CID domain-containing protein, putative | transcript_product=CID domain-containing protein, putative | location=PvP01_09_v2:1831063-1833927(+) | protein_length=954 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941500.1-p1   -            954 11717at5820          -            359   3.2e-06   24.9  14.5   2   2   1.1e-08   3.2e-06   24.9  14.5   250   306   440   494   401   521 0.74 | transcript=PVP01_0941500.1 | gene=PVP01_0941500 | organism=Plasmodium_vivax_P01 | gene_product=CID domain-containing protein, putative | transcript_product=CID domain-containing protein, putative | location=PvP01_09_v2:1831063-1833927(+) | protein_length=954 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 11717at5820          -            359   2.4e-05   21.9   5.9   1   2     0.047        13    3.1   3.4   190   267  1482  1560  1452  1590 0.70 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1267000.1-p1   -           2003 11717at5820          -            359   2.4e-05   21.9   5.9   2   2   8.5e-08   2.4e-05   21.9   5.9   239   314  1610  1689  1597  1710 0.76 | transcript=PVP01_1267000.1 | gene=PVP01_1267000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:2788536-2795166(+) | protein_length=2003 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0405500.1-p1   -            372 11717at5820          -            359   6.5e-05   20.5   1.8   1   1   3.9e-07   0.00011   19.8   1.8   267   303   249   285   233   297 0.58 | transcript=PVP01_0405500.1 | gene=PVP01_0405500 | organism=Plasmodium_vivax_P01 | gene_product=pseudouridine synthase, putative | transcript_product=pseudouridine synthase, putative | location=PvP01_04_v2:252361-253893(+) | protein_length=372 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216200.1-p1   -            718 11717at5820          -            359   8.3e-05   20.2   9.5   1   2   3.2e-07   9.1e-05   20.1   1.0   265   319   272   327   259   334 0.62 | transcript=PVP01_1216200.1 | gene=PVP01_1216200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:676792-678948(-) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1216200.1-p1   -            718 11717at5820          -            359   8.3e-05   20.2   9.5   2   2     0.021       5.8    4.2   1.9   178   212   569   600   543   607 0.72 | transcript=PVP01_1216200.1 | gene=PVP01_1216200 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:676792-678948(-) | protein_length=718 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 11717at5820          -            359   0.00054   17.5   0.2   1   3       2.9   8.3e+02   -2.8  18.9    94   220   255   386   240   403 0.68 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 11717at5820          -            359   0.00054   17.5   0.2   2   3    0.0054       1.5    6.2   1.8    96   178   392   474   386   508 0.78 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315200.1-p1   -            559 11717at5820          -            359   0.00054   17.5   0.2   3   3   1.9e-06   0.00054   17.5   0.2   309   348   506   545   502   553 0.89 | transcript=PVP01_1315200.1 | gene=PVP01_1315200 | organism=Plasmodium_vivax_P01 | gene_product=Hsp70/Hsp90 organizing protein, putative | transcript_product=Hsp70/Hsp90 organizing protein, putative | location=PvP01_13_v2:700803-702482(-) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1106300.1-p1   -            465 11717at5820          -            359    0.0012   16.3  10.6   1   1   4.3e-06    0.0012   16.3  10.6   227   306     8    88     3   101 0.58 | transcript=PVP01_1106300.1 | gene=PVP01_1106300 | organism=Plasmodium_vivax_P01 | gene_product=SNARE associated Golgi protein, putative | transcript_product=SNARE associated Golgi protein, putative | location=PvP01_11_v2:255631-257334(+) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 11717at5820          -            359    0.0015   16.0  33.0   1   3   9.3e-06    0.0026   15.2  12.6   268   306   164   202   160   218 0.66 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 11717at5820          -            359    0.0015   16.0  33.0   2   3    0.0015      0.42    8.0   1.9   282   310   644   672   633   694 0.66 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0615000.1-p1   -           1528 11717at5820          -            359    0.0015   16.0  33.0   3   3     0.034       9.6    3.5   3.1   267   301  1101  1134  1091  1155 0.46 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1405100.1-p1   -            544 11717at5820          -            359     0.007   13.9   1.8   1   1   6.3e-05     0.018   12.5   1.8   193   306    36   159     5   181 0.50 | transcript=PVP01_1405100.1 | gene=PVP01_1405100 | organism=Plasmodium_vivax_P01 | gene_product=CorA-like Mg2+ transporter protein, putative | transcript_product=CorA-like Mg2+ transporter protein, putative | location=PvP01_14_v2:258279-260108(-) | protein_length=544 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0703100.1-p1   -            188 11717at5820          -            359    0.0075   13.7   5.9   1   1   2.9e-05    0.0084   13.6   5.9    67   197    53   185    17   188 0.85 | transcript=PVP01_0703100.1 | gene=PVP01_0703100 | organism=Plasmodium_vivax_P01 | gene_product=bacterial histone-like protein, putative | transcript_product=bacterial histone-like protein, putative | location=PvP01_07_v2:180728-181555(-) | protein_length=188 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 11717at5820          -            359     0.011   13.2  10.8   1   2   3.7e-05     0.011   13.3   3.3   255   351   115   206    71   221 0.63 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0914200.1-p1   -            394 11717at5820          -            359     0.011   13.2  10.8   2   2     0.018       5.1    4.4   0.8   295   333   279   319   265   329 0.76 | transcript=PVP01_0914200.1 | gene=PVP01_0914200 | organism=Plasmodium_vivax_P01 | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=PvP01_09_v2:656494-658175(-) | protein_length=394 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1127400.1-p1   -           1234 11717at5820          -            359     0.017   12.6   6.0   1   1   0.00011      0.03   11.8   6.0   264   307  1083  1123  1065  1135 0.64 | transcript=PVP01_1127400.1 | gene=PVP01_1127400 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1203609-1207313(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408000.1-p1   -            946 11717at5820          -            359     0.037   11.5   3.1   1   1   0.00025     0.072   10.5   3.1   254   301   311   357   297   368 0.77 | transcript=PVP01_0408000.1 | gene=PVP01_0408000 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:324186-327463(+) | protein_length=946 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0007950.1-p1   -            156 11717at5820          -            359     0.099   10.1   3.3   1   1   0.00046      0.13    9.7   3.3   239   299    73   133    62   149 0.50 | transcript=PVP01_0007950.1 | gene=PVP01_0007950 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=Transfer.PvP01_00_32.final:14392-14902(+) | protein_length=156 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0800500.1-p1   -            295 11717at5820          -            359      0.12    9.8   5.1   1   1    0.0009      0.26    8.7   5.1   264   298   253   287   236   294 0.55 | transcript=PVP01_0800500.1 | gene=PVP01_0800500 | organism=Plasmodium_vivax_P01 | gene_product=PIR protein | transcript_product=PIR protein | location=PvP01_08_v2:24155-25166(-) | protein_length=295 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0604500.1-p1   -           1489 11717at5820          -            359      0.67    7.3   8.0   1   1    0.0093       2.6    5.4   8.0   267   301   126   160   116   168 0.71 | transcript=PVP01_0604500.1 | gene=PVP01_0604500 | organism=Plasmodium_vivax_P01 | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=PvP01_06_v2:176094-181149(-) | protein_length=1489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519400.1-p1   -            674 11717at5820          -            359         1    6.8  10.6   1   1    0.0074       2.1    5.7  10.6   266   296    58    88    42    98 0.53 | transcript=PVP01_0519400.1 | gene=PVP01_0519400 | organism=Plasmodium_vivax_P01 | gene_product=dihydrolipoyl dehydrogenase, apicoplast, putative | transcript_product=dihydrolipoyl dehydrogenase, apicoplast, putative | location=PvP01_05_v2:795786-797810(-) | protein_length=674 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0801500.1-p1   -            316 11717at5820          -            359         5    4.5  11.5   1   1     0.024       6.8    4.0  11.5   256   304   150   194   124   211 0.55 | transcript=PVP01_0801500.1 | gene=PVP01_0801500 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_08_v2:78401-79566(-) | protein_length=316 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11717at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11717at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11717at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:25 2026
# [ok]
