#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1245400.1-p1   -            326 9005at5820           -            283    5e-147  487.0  30.0   1   2   3.5e-05     0.021   12.4   0.2     1    19     1    19     1    25 0.92 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019200.1-p1   -           1376 9005at5820           -            283   0.00015   19.5   6.1   1   5     0.059        35    1.9   0.2   186   221    67   102    56   114 0.84 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019200.1-p1   -           1376 9005at5820           -            283   0.00015   19.5   6.1   2   5     0.035        21    2.6   5.5    46   105   135   201   102   208 0.71 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019200.1-p1   -           1376 9005at5820           -            283   0.00015   19.5   6.1   3   5     0.032        19    2.8   1.4   156   180   260   284   255   295 0.84 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019200.1-p1   -           1376 9005at5820           -            283   0.00015   19.5   6.1   4   5   2.5e-07   0.00015   19.5   6.1    43    97   294   349   284   394 0.74 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1019200.1-p1   -           1376 9005at5820           -            283   0.00015   19.5   6.1   5   5       1.6   9.2e+02   -2.8   1.9    70   125   826   880   791   885 0.62 | transcript=PVP01_1019200.1 | gene=PVP01_1019200 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_10_v2:845868-849998(-) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 9005at5820           -            283    0.0031   15.2   8.6   1   2   0.00013     0.076   10.6   1.8    46    81    17    53     9    76 0.65 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0413200.1-p1   -           1029 9005at5820           -            283    0.0031   15.2   8.6   2   2    0.0012       0.7    7.4   0.8   176   201    94   119    72   138 0.77 | transcript=PVP01_0413200.1 | gene=PVP01_0413200 | organism=Plasmodium_vivax_P01 | gene_product=tyrosine kinase-like protein, putative | transcript_product=tyrosine kinase-like protein, putative | location=PvP01_04_v2:537325-540414(-) | protein_length=1029 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9005at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9005at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:32 2026
# [ok]
