#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0810500.1-p1   -            381 10889at5820          -            305  3.1e-129  429.3  67.7   1   2   5.7e-50   1.5e-47  161.1  37.7     1   155     5   162     5   170 0.64 | transcript=PVP01_0810500.1 | gene=PVP01_0810500 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_08_v2:465010-467095(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419900.1-p1   -            191 10889at5820          -            305   7.5e-21   73.4  16.9   2   2   5.4e-21   1.4e-18   65.9  10.0   189   290    69   170    63   176 0.96 | transcript=PVP01_0419900.1 | gene=PVP01_0419900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_04_v2:815831-817052(+) | protein_length=191 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 10889at5820          -            305   6.1e-12   44.1  36.5   1   4   1.7e-05    0.0043   15.1   3.0    41    79    49    87    42    91 0.83 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 10889at5820          -            305   6.1e-12   44.1  36.5   2   4   1.4e-07   3.7e-05   21.9   3.4    36    95    90   149    86   157 0.85 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 10889at5820          -            305   6.1e-12   44.1  36.5   3   4   0.00028     0.073   11.0   8.6    39    84   162   207   139   212 0.77 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1245400.1-p1   -            326 10889at5820          -            305   6.1e-12   44.1  36.5   4   4   2.7e-06   0.00071   17.6  14.8   196   289   169   265   161   270 0.83 | transcript=PVP01_1245400.1 | gene=PVP01_1245400 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_12_v2:1873860-1875370(+) | protein_length=326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 10889at5820          -            305   3.7e-09   35.0  17.6   1   3     4e-10     1e-07   30.2   8.1   183   271    13   103     1   105 0.78 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 10889at5820          -            305   3.7e-09   35.0  17.6   2   3   0.00098      0.25    9.3   1.7   190   227    91   127    85   141 0.83 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724500.1-p1   -           1177 10889at5820          -            305   3.7e-09   35.0  17.6   3   3       0.2        51    1.7   0.2   132   162   784   810   769   858 0.41 | transcript=PVP01_0724500.1 | gene=PVP01_0724500 | organism=Plasmodium_vivax_P01 | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=PvP01_07_v2:1044650-1048727(+) | protein_length=1177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 10889at5820          -            305   2.5e-08   32.3  20.6   1   3   9.4e-11   2.5e-08   32.3  20.6   128   276    54   205    29   223 0.74 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 10889at5820          -            305   2.5e-08   32.3  20.6   2   3       3.2   8.2e+02   -2.3   1.3   107   137   341   371   327   427 0.40 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1336700.1-p1   -            798 10889at5820          -            305   2.5e-08   32.3  20.6   3   3      0.48   1.3e+02    0.4  10.3    99   181   564   649   525   665 0.39 | transcript=PVP01_1336700.1 | gene=PVP01_1336700 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1587292-1590081(+) | protein_length=798 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322900.1-p1   -            148 10889at5820          -            305   6.8e-06   24.3   0.4   1   2   2.6e-08   6.8e-06   24.3   0.4   248   281    12    45     5    48 0.91 | transcript=PVP01_1322900.1 | gene=PVP01_1322900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1036981-1037924(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1322900.1-p1   -            148 10889at5820          -            305   6.8e-06   24.3   0.4   2   2      0.19        49    1.8   0.9   240   262    49    71    47   107 0.75 | transcript=PVP01_1322900.1 | gene=PVP01_1322900 | organism=Plasmodium_vivax_P01 | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=PvP01_13_v2:1036981-1037924(+) | protein_length=148 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 10889at5820          -            305   0.00018   19.6  25.5   1   2       2.8   7.4e+02   -2.1   8.0    96   167    24    95     2   122 0.48 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1430000.1-p1   -            559 10889at5820          -            305   0.00018   19.6  25.5   2   2     7e-07   0.00018   19.6  25.5    77   215   249   383   189   391 0.63 | transcript=PVP01_1430000.1 | gene=PVP01_1430000 | organism=Plasmodium_vivax_P01 | gene_product=protein phosphatase PPM5, putative | transcript_product=protein phosphatase PPM5, putative | location=PvP01_14_v2:1294483-1297856(+) | protein_length=559 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306500.1-p1   -            352 10889at5820          -            305   0.00026   19.1  20.8   1   2      0.47   1.2e+02    0.4   2.9   113   142    63    92    52   116 0.29 | transcript=PVP01_1306500.1 | gene=PVP01_1306500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:301120-302328(+) | protein_length=352 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1306500.1-p1   -            352 10889at5820          -            305   0.00026   19.1  20.8   2   2   9.8e-07   0.00026   19.1  20.8    87   205   139   261   123   274 0.47 | transcript=PVP01_1306500.1 | gene=PVP01_1306500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:301120-302328(+) | protein_length=352 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722100.1-p1   -            409 10889at5820          -            305   0.00097   17.2   1.3   1   1   6.9e-06    0.0018   16.3   1.3   122   193    81   155    60   168 0.51 | transcript=PVP01_0722100.1 | gene=PVP01_0722100 | organism=Plasmodium_vivax_P01 | gene_product=lipoate-protein ligase 2, putative | transcript_product=lipoate-protein ligase 2, putative | location=PvP01_07_v2:957346-958575(+) | protein_length=409 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 10889at5820          -            305    0.0022   16.0  45.9   1   3     3e-05    0.0079   14.2  15.8    75   174   197   291   176   316 0.46 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 10889at5820          -            305    0.0022   16.0  45.9   2   3     4e-05      0.01   13.8  14.6    71   179   385   496   334   506 0.54 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 10889at5820          -            305    0.0022   16.0  45.9   3   3       2.8   7.3e+02   -2.1   0.8    53    86   583   620   572   631 0.53 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 10889at5820          -            305    0.0085   14.1  32.9   1   2    0.0096       2.5    6.0   6.6   106   171    73   134     2   161 0.53 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 10889at5820          -            305    0.0085   14.1  32.9   2   2   3.3e-05    0.0085   14.1  18.3    87   182   241   339   227   371 0.53 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1423500.1-p1   -            244 10889at5820          -            305      0.02   12.9  16.2   1   1    0.0001     0.026   12.5  16.2    84   171    65   150    13   177 0.55 | transcript=PVP01_1423500.1 | gene=PVP01_1423500 | organism=Plasmodium_vivax_P01 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=PvP01_14_v2:1036514-1037658(-) | protein_length=244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 10889at5820          -            305      0.45    8.5  70.5   1   4      0.15        39    2.1  23.8    97   274    49   243    14   250 0.58 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 10889at5820          -            305      0.45    8.5  70.5   2   4   0.00021     0.054   11.5   4.6    40    88   251   299   243   312 0.85 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 10889at5820          -            305      0.45    8.5  70.5   3   4    0.0034      0.88    7.5   6.7    39    90   319   371   314   376 0.78 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0930300.1-p1   -           1007 10889at5820          -            305      0.45    8.5  70.5   4   4   0.00032     0.084   10.8   3.4    97   153   531   586   448   619 0.50 | transcript=PVP01_0930300.1 | gene=PVP01_0930300 | organism=Plasmodium_vivax_P01 | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=PvP01_09_v2:1317686-1320709(+) | protein_length=1007 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312000.1-p1   -            510 10889at5820          -            305      0.52    8.2  12.2   1   2   0.00067      0.18    9.8   1.9    99   128   126   167   105   242 0.35 | transcript=PVP01_0312000.1 | gene=PVP01_0312000 | organism=Plasmodium_vivax_P01 | gene_product=PDCD2 domain-containing protein, putative | transcript_product=PDCD2 domain-containing protein, putative | location=PvP01_03_v2:530378-531910(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0312000.1-p1   -            510 10889at5820          -            305      0.52    8.2  12.2   2   2     0.049        13    3.7   2.9    88   160   264   336   246   366 0.47 | transcript=PVP01_0312000.1 | gene=PVP01_0312000 | organism=Plasmodium_vivax_P01 | gene_product=PDCD2 domain-containing protein, putative | transcript_product=PDCD2 domain-containing protein, putative | location=PvP01_03_v2:530378-531910(+) | protein_length=510 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 10889at5820          -            305         1    7.3  28.6   1   2    0.0033      0.86    7.5  24.5    86   160   191   266   176   300 0.52 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 10889at5820          -            305         1    7.3  28.6   2   2      0.43   1.1e+02    0.6   0.1   116   182   455   523   441   536 0.49 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119000.1-p1   -            513 10889at5820          -            305         4    5.3  14.6   1   1     0.032       8.4    4.3  14.6    88   170    12    94     4   116 0.35 | transcript=PVP01_1119000.1 | gene=PVP01_1119000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome biogenesis protein YTM1, putative | transcript_product=ribosome biogenesis protein YTM1, putative | location=PvP01_11_v2:801133-802674(-) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139600.1-p1   -            671 10889at5820          -            305       4.1    5.3  11.4   1   1     0.041        11    3.9  11.4    87   150    56   119    43   163 0.52 | transcript=PVP01_1139600.1 | gene=PVP01_1139600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1677852-1680056(-) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1344600.1-p1   -            132 10889at5820          -            305       4.1    5.3  19.6   1   1     0.018       4.7    5.1  19.6    92   163    17    83     2   114 0.38 | transcript=PVP01_1344600.1 | gene=PVP01_1344600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_13_v2:1953668-1954201(-) | protein_length=132 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731600.1-p1   -            264 10889at5820          -            305       4.2    5.2  28.6   1   1     0.028       7.2    4.5  28.6    89   181    71   166    57   201 0.37 | transcript=PVP01_0731600.1 | gene=PVP01_0731600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:1327085-1327879(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1229300.1-p1   -            177 10889at5820          -            305       4.4    5.2  13.1   1   1    0.0091       2.4    6.1  11.3   107   197    20   112     2   121 0.55 | transcript=PVP01_1229300.1 | gene=PVP01_1229300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1174345-1174878(-) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 10889at5820          -            305       6.1    4.7   8.9   1   2     0.058        15    3.4   4.8   120   160   113   153    58   171 0.49 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0732800.1-p1   -           1031 10889at5820          -            305       6.1    4.7   8.9   2   2     0.088        23    2.8   0.1    16    38   252   274   246   279 0.90 | transcript=PVP01_0732800.1 | gene=PVP01_0732800 | organism=Plasmodium_vivax_P01 | gene_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | transcript_product=TFIIH basal transcription factor complex helicase XPD subunit, putative | location=PvP01_07_v2:1359461-1362556(+) | protein_length=1031 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331200.1-p1   -            228 10889at5820          -            305       6.7    4.6  21.9   1   1     0.034       8.9    4.2  21.9    85   170    68   150    40   170 0.47 | transcript=PVP01_1331200.1 | gene=PVP01_1331200 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_13_v2:1308345-1309900(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0812300.1-p1   -            254 10889at5820          -            305       6.9    4.6  27.0   1   1     0.041        11    3.9  27.0    87   164    58   133    20   158 0.41 | transcript=PVP01_0812300.1 | gene=PVP01_0812300 | organism=Plasmodium_vivax_P01 | gene_product=rhoptry associated adhesin, putative | transcript_product=rhoptry associated adhesin, putative | location=PvP01_08_v2:525093-526201(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 10889at5820          -            305       8.7    4.2  19.0   1   2   0.00068      0.18    9.8  12.4    70   121   113   164   106   195 0.65 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 10889at5820          -            305       8.7    4.2  19.0   2   2       7.7     2e+03   -3.5   0.5   156   167   302   313   294   324 0.47 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10889at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10889at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10889at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:43 2026
# [ok]
