#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9   1  12     2e-26   3.2e-23   79.2   0.7     1    70     1    84     1    89 0.88 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331500.1-p1   -           3356 230at5820            -           2204         0 3311.0 315.9  12  12  7.9e-298  1.3e-294  979.3  25.3  1667  2204  2709  3264  2683  3264 0.95 | transcript=PVP01_1331500.1 | gene=PVP01_1331500 | organism=Plasmodium_vivax_P01 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=PvP01_13_v2:1333051-1344140(-) | protein_length=3356 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 230at5820            -           2204     2e-29   99.8  12.2   1   3   7.9e-12   1.3e-08   30.8   1.0  1413  1549    33   163    12   169 0.76 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 230at5820            -           2204     2e-29   99.8  12.2   2   3   4.4e-13   7.2e-10   34.9   0.8  1081  1198   165   281   148   334 0.70 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1312900.1-p1   -            854 230at5820            -           2204     2e-29   99.8  12.2   3   3   5.2e-15   8.6e-12   41.3   0.2  1088  1208   411   533   400   584 0.86 | transcript=PVP01_1312900.1 | gene=PVP01_1312900 | organism=Plasmodium_vivax_P01 | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=PvP01_13_v2:580904-584724(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441300.1-p1   -            440 230at5820            -           2204   1.6e-24   83.5   6.4   1   2   1.9e-11   3.2e-08   29.5   1.3  2043  2136   179   270   158   277 0.86 | transcript=PVP01_1441300.1 | gene=PVP01_1441300 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=PvP01_14_v2:1788405-1790686(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1441300.1-p1   -            440 230at5820            -           2204   1.6e-24   83.5   6.4   2   2   1.4e-19   2.3e-16   56.4   0.3  2017  2175   278   426   272   436 0.90 | transcript=PVP01_1441300.1 | gene=PVP01_1441300 | organism=Plasmodium_vivax_P01 | gene_product=cAMP-dependent protein kinase regulatory subunit, putative | transcript_product=cAMP-dependent protein kinase regulatory subunit, putative | location=PvP01_14_v2:1788405-1790686(-) | protein_length=440 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 230at5820            -           2204   0.00016   17.2   0.3   1   2     0.029        47   -1.0   0.1   459   506    16    64     3    75 0.71 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612800.1-p1   -            179 230at5820            -           2204   0.00016   17.2   0.3   2   2   9.8e-08   0.00016   17.2   0.3  1712  1756    80   123    72   140 0.79 | transcript=PVP01_0612800.1 | gene=PVP01_0612800 | organism=Plasmodium_vivax_P01 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=PvP01_06_v2:553783-555183(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/230at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/230at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/230at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:09 2026
# [ok]
