#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1030300.1-p1   -            800 3060at5820           -            709         0 1354.9  75.9   1   1         0         0 1353.2  75.9     1   709    10   796    10   796 0.95 | transcript=PVP01_1030300.1 | gene=PVP01_1030300 | organism=Plasmodium_vivax_P01 | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=PvP01_10_v2:1304867-1308631(+) | protein_length=800 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 3060at5820           -            709   1.7e-39  134.3  18.4   6   6   3.9e-09   4.2e-06   24.0   0.4   549   609   776   839   767   896 0.89 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 3060at5820           -            709   1.1e-31  108.5  21.3   1   5   1.9e-11     2e-08   31.6   0.4    29   166    32   187     7   198 0.76 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 3060at5820           -            709   1.1e-31  108.5  21.3   2   5   1.1e-11   1.2e-08   32.4   0.0   176   238   288   350   276   368 0.85 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 3060at5820           -            709   1.1e-31  108.5  21.3   3   5     0.039        43    0.8   0.3   238   271   388   422   384   427 0.86 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 3060at5820           -            709   1.1e-31  108.5  21.3   4   5    0.0086       9.4    3.0   0.0   279   318   548   589   542   598 0.82 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1135200.1-p1   -           1986 3060at5820           -            709   1.1e-31  108.5  21.3   5   5     1e-13   1.1e-10   39.1   5.4   391   531   724   894   718   902 0.76 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3060at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3060at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3060at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:35 2026
# [ok]
