#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0   1  12  6.6e-154  4.3e-150  500.1   5.3     2   263    40   301    39   322 0.96 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0109600.1-p1   -           2443 2879at5820           -           1693         0 2345.5  69.0  12  12   9.1e-61   5.9e-57  191.3   0.4  1576  1691  2322  2441  2313  2443 0.93 | transcript=PVP01_0109600.1 | gene=PVP01_0109600 | organism=Plasmodium_vivax_P01 | gene_product=mediator of RNA polymerase II transcription subunit 14, putative | transcript_product=mediator of RNA polymerase II transcription subunit 14, putative | location=PvP01_01_v2:453522-460853(-) | protein_length=2443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2879at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2879at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2879at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:18 2026
# [ok]
