#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8   1  16   3.7e-21   2.4e-17   60.5   0.5     1    87   213   325   213   328 0.72 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0316700.1-p1   -           2700 603at5820            -           1553         0 1812.3  75.8  16  16     3e-11   1.9e-07   27.7   0.9  1529  1553  2674  2698  2671  2698 0.95 | transcript=PVP01_0316700.1 | gene=PVP01_0316700 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:723885-732108(+) | protein_length=2700 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/603at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/603at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/603at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:47 2026
# [ok]
