#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0732500.1-p1   -            671 5700at5820           -            479  2.1e-241  800.3  19.6   1   4   1.9e-31   2.1e-28   97.8   0.1     1    79     1   103     1   119 0.81 | transcript=PVP01_0732500.1 | gene=PVP01_0732500 | organism=Plasmodium_vivax_P01 | gene_product=tubulin delta chain, putative | transcript_product=tubulin delta chain, putative | location=PvP01_07_v2:1351862-1353877(+) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0702100.1-p1   -            453 5700at5820           -            479   3.1e-16   57.7   0.0   3   3    0.0055       5.9    4.0   0.0   413   475   372   434   364   438 0.83 | transcript=PVP01_0702100.1 | gene=PVP01_0702100 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 1, putative | transcript_product=alpha tubulin 1, putative | location=PvP01_07_v2:135347-137437(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530800.1-p1   -            450 5700at5820           -            479   3.5e-16   57.5   0.0   1   3     0.034        37    1.4   0.0    57    74    60    77    54    83 0.88 | transcript=PVP01_0530800.1 | gene=PVP01_0530800 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 2, putative | transcript_product=alpha tubulin 2, putative | location=PvP01_05_v2:1309600-1311349(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530800.1-p1   -            450 5700at5820           -            479   3.5e-16   57.5   0.0   2   3   2.4e-16   2.6e-13   48.1   0.0   106   308    87   289    78   297 0.85 | transcript=PVP01_0530800.1 | gene=PVP01_0530800 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 2, putative | transcript_product=alpha tubulin 2, putative | location=PvP01_05_v2:1309600-1311349(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0530800.1-p1   -            450 5700at5820           -            479   3.5e-16   57.5   0.0   3   3    0.0054       5.9    4.0   0.0   413   475   372   434   364   438 0.83 | transcript=PVP01_0530800.1 | gene=PVP01_0530800 | organism=Plasmodium_vivax_P01 | gene_product=alpha tubulin 2, putative | transcript_product=alpha tubulin 2, putative | location=PvP01_05_v2:1309600-1311349(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5700at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5700at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5700at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:58 2026
# [ok]
