#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1215900.1-p1   -            565 5037at5820           -            422  1.1e-218  724.7  34.1   1   3    0.0019       1.3    6.3   0.0     7    55    28    75    24    95 0.73 | transcript=PVP01_1215900.1 | gene=PVP01_1215900 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:664006-667437(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 5037at5820           -            422   1.6e-37  127.9  62.9   2   3   5.6e-24   4.1e-21   73.9  22.8   227   403   217   400   214   403 0.86 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0820000.1-p1   -            560 5037at5820           -            422   1.6e-37  127.9  62.9   3   3   8.9e-21   6.4e-18   63.3  19.2   237   404   362   522   360   535 0.89 | transcript=PVP01_0820000.1 | gene=PVP01_0820000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_08_v2:882648-884330(-) | protein_length=560 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 5037at5820           -            422     5e-32  109.8  26.0   1   4   4.5e-08   3.3e-05   21.5   0.5   345   403    32    91    26    93 0.76 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 5037at5820           -            422     5e-32  109.8  26.0   2   4     4e-10   2.9e-07   28.2   4.3   109   169    93   153    91   157 0.64 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 5037at5820           -            422     5e-32  109.8  26.0   3   4   4.5e-11   3.3e-08   31.4   1.2   283   362   156   232   153   239 0.91 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1320100.1-p1   -            378 5037at5820           -            422     5e-32  109.8  26.0   4   4   8.7e-15   6.3e-12   43.6   0.8   236   350   240   349   233   359 0.92 | transcript=PVP01_1320100.1 | gene=PVP01_1320100 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_13_v2:912676-916179(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 5037at5820           -            422   5.5e-20   70.1  45.4   1   3   1.6e-08   1.2e-05   22.9   9.5   106   195    79   176    23   179 0.55 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 5037at5820           -            422   5.5e-20   70.1  45.4   2   3   2.3e-08   1.7e-05   22.4   8.1   104   194   149   236   145   237 0.81 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1223200.1-p1   -            481 5037at5820           -            422   5.5e-20   70.1  45.4   3   3   1.8e-13   1.3e-10   39.3  21.6   229   362   222   355   216   419 0.80 | transcript=PVP01_1223200.1 | gene=PVP01_1223200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_12_v2:902793-904238(-) | protein_length=481 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 5037at5820           -            422   1.6e-11   42.2  13.8   1   2   2.9e-09   2.1e-06   25.4  10.1    13   168    29   187    20   194 0.77 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1119500.1-p1   -            282 5037at5820           -            422   1.6e-11   42.2  13.8   2   2   5.1e-07   0.00037   18.0   0.1   289   339   197   245   191   252 0.93 | transcript=PVP01_1119500.1 | gene=PVP01_1119500 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:825513-827766(+) | protein_length=282 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1003000.1-p1   -            250 5037at5820           -            422   1.9e-09   35.4  13.5   1   1     2e-11   1.5e-08   32.5  13.5    99   221    83   223    70   231 0.73 | transcript=PVP01_1003000.1 | gene=PVP01_1003000 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_10_v2:163742-165868(-) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1125200.1-p1   -            185 5037at5820           -            422   3.4e-05   21.4   5.8   1   1   8.4e-08   6.1e-05   20.6   5.4   197   277    70   154    64   184 0.71 | transcript=PVP01_1125200.1 | gene=PVP01_1125200 | organism=Plasmodium_vivax_P01 | gene_product=CPW-WPC family protein | transcript_product=CPW-WPC family protein | location=PvP01_11_v2:1101312-1103077(-) | protein_length=185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5037at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5037at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5037at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:09 2026
# [ok]
