#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0907500.1-p1   -           1087 3032at5820           -            718         0 1311.1  72.0   1   4  1.5e-104  1.4e-101  339.3  13.2     1   205    52   271    52   284 0.94 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 3032at5820           -            718   7.1e-41  138.6   2.9   6   6   1.6e-20   1.5e-17   61.5   0.0   593   690  2128  2220  2114  2225 0.89 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 3032at5820           -            718   2.3e-30  103.9  41.2   1   7       5.2   4.9e+03   -6.3   3.9   458   553    63   156    53   161 0.60 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 3032at5820           -            718   2.3e-30  103.9  41.2   2   7      0.16   1.5e+02   -1.3   0.6   462   516   322   379   315   408 0.72 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 3032at5820           -            718   2.3e-30  103.9  41.2   3   7   2.3e-06    0.0021   14.7   0.0   212   260   616   663   605   671 0.81 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 3032at5820           -            718   2.3e-30  103.9  41.2   4   7    0.0016       1.5    5.3   0.0   256   284   900   929   886   932 0.78 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 3032at5820           -            718   2.3e-30  103.9  41.2   5   7   6.6e-24   6.1e-21   72.7   5.0   363   521   972  1128   956  1151 0.83 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 3032at5820           -            718   2.3e-30  103.9  41.2   6   7   1.8e-09   1.6e-06   25.0   0.2   593   650  1240  1297  1228  1305 0.89 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0810300.1-p1   -           1751 3032at5820           -            718   2.3e-30  103.9  41.2   7   7   2.7e-05     0.025   11.2   0.1   660   688  1357  1385  1353  1406 0.87 | transcript=PVP01_0810300.1 | gene=PVP01_0810300 | organism=Plasmodium_vivax_P01 | gene_product=DNA2/NAM7 helicase, putative | transcript_product=DNA2/NAM7 helicase, putative | location=PvP01_08_v2:454507-459762(-) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   1   6         7   6.5e+03   -8.0   6.6   511   569    71   125     8   188 0.59 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   2   6         7   6.5e+03   -8.0   7.6    80   210   299   436   277   470 0.54 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   3   6   1.7e-05     0.016   11.8   0.0   219   259  1751  1792  1735  1803 0.76 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   4   6     0.013        12    2.3   0.1   262   293  1823  1854  1812  1857 0.81 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   5   6   1.2e-26   1.1e-23   81.8  10.6   328   653  2069  2363  2040  2373 0.77 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403400.1-p1   -           2656 3032at5820           -            718   8.6e-28   95.4  18.3   6   6   7.7e-10   7.2e-07   26.2   0.2   656   696  2446  2486  2436  2495 0.86 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 3032at5820           -            718     1e-22   78.6  25.5   1   5      0.31   2.9e+02   -2.2   0.3   356   396   361   402   339   416 0.79 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 3032at5820           -            718     1e-22   78.6  25.5   2   5   5.3e-06    0.0049   13.5   0.0   237   288   658   710   638   719 0.89 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 3032at5820           -            718     1e-22   78.6  25.5   3   5   3.3e-08   3.1e-05   20.8   5.2   407   504   743   841   721   846 0.86 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 3032at5820           -            718     1e-22   78.6  25.5   4   5   0.00074      0.69    6.4   0.2   571   614   932   978   923   993 0.81 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 3032at5820           -            718     1e-22   78.6  25.5   5   5   3.8e-17   3.5e-14   50.4   0.7   630   691  1167  1228  1159  1237 0.92 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 3032at5820           -            718   1.8e-11   41.4   8.3   1   5      0.39   3.6e+02   -2.5   0.0   239   261  1210  1232  1206  1239 0.83 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 3032at5820           -            718   1.8e-11   41.4   8.3   2   5    0.0085       7.9    2.9   0.0   263   295  1304  1337  1299  1349 0.85 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 3032at5820           -            718   1.8e-11   41.4   8.3   3   5   1.8e-06    0.0017   15.1   1.2   366   467  1419  1515  1406  1523 0.78 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 3032at5820           -            718   1.8e-11   41.4   8.3   4   5     2e-08   1.8e-05   21.6   0.0   571   651  1706  1786  1701  1790 0.82 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 3032at5820           -            718   1.8e-11   41.4   8.3   5   5     0.015        14    2.1   0.0   660   689  1838  1867  1834  1880 0.87 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3032at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3032at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3032at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:02 2026
# [ok]
