#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1403400.1-p1   -           2656 327at5820            -           1976         0 3212.7 251.4   1   9   2.5e-93   2.3e-90  302.2  31.2     1   229    13   264    13   269 0.92 | transcript=PVP01_1403400.1 | gene=PVP01_1403400 | organism=Plasmodium_vivax_P01 | gene_product=AAA domain-containing protein, putative | transcript_product=AAA domain-containing protein, putative | location=PvP01_14_v2:156669-165240(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0805200.1-p1   -           1554 327at5820            -           1976   3.2e-50  169.1   3.4   3   3   1.2e-08   1.1e-05   21.4   0.0  1865  1899  1209  1243  1205  1271 0.87 | transcript=PVP01_0805200.1 | gene=PVP01_0805200 | organism=Plasmodium_vivax_P01 | gene_product=regulator of nonsense transcripts 1, putative | transcript_product=regulator of nonsense transcripts 1, putative | location=PvP01_08_v2:236900-241564(-) | protein_length=1554 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 327at5820            -           1976     8e-34  114.8   9.5   1   6         7   6.5e+03  -11.7   9.8  1904  1971    77   141    54   145 0.67 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 327at5820            -           1976     8e-34  114.8   9.5   2   6         7   6.5e+03   -9.4   7.0   358   425   985  1055   900  1063 0.60 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 327at5820            -           1976     8e-34  114.8   9.5   3   6       0.6   5.6e+02   -4.1   3.4    56   133  1294  1375  1283  1438 0.65 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 327at5820            -           1976     8e-34  114.8   9.5   4   6   9.5e-05     0.088    8.5   0.0  1335  1403  1821  1877  1788  1889 0.69 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 327at5820            -           1976     8e-34  114.8   9.5   5   6   1.1e-35   1.1e-32  111.0   0.3  1594  1835  1942  2184  1933  2186 0.81 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0103700.1-p1   -           2328 327at5820            -           1976     8e-34  114.8   9.5   6   6     2e-07   0.00019   17.3   3.9  1862  1973  2185  2298  2183  2301 0.76 | transcript=PVP01_0103700.1 | gene=PVP01_0103700 | organism=Plasmodium_vivax_P01 | gene_product=erythrocyte membrane-associated antigen, putative | transcript_product=erythrocyte membrane-associated antigen, putative | location=PvP01_01_v2:168176-175162(+) | protein_length=2328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 327at5820            -           1976   2.7e-29   99.7  38.5   1   5       2.5   2.3e+03   -6.1   2.7  1501  1561   152   211    98   231 0.54 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 327at5820            -           1976   2.7e-29   99.7  38.5   2   5   3.6e-08   3.4e-05   19.8   2.1  1333  1425   392   471   363   534 0.74 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 327at5820            -           1976   2.7e-29   99.7  38.5   3   5   2.5e-17   2.3e-14   50.2   7.3  1592  1709   554   678   512   691 0.80 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 327at5820            -           1976   2.7e-29   99.7  38.5   4   5     7e-10   6.5e-07   25.5   1.3  1743  1834   929  1018   918  1021 0.62 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907500.1-p1   -           1087 327at5820            -           1976   2.7e-29   99.7  38.5   5   5     3e-10   2.8e-07   26.7   0.2  1861  1907  1019  1065  1016  1079 0.86 | transcript=PVP01_0907500.1 | gene=PVP01_0907500 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | transcript_product=DNA replication ATP-dependent helicase/nuclease DNA2, putative | location=PvP01_09_v2:398603-401866(-) | protein_length=1087 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 327at5820            -           1976   3.7e-14   49.5   1.0   1   2    0.0004      0.37    6.4   0.1  1617  1670  1458  1513  1446  1528 0.77 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1452300.1-p1   -           1884 327at5820            -           1976   3.7e-14   49.5   1.0   2   2   7.5e-14     7e-11   38.7   0.1  1682  1904  1642  1874  1638  1883 0.69 | transcript=PVP01_1452300.1 | gene=PVP01_1452300 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=PvP01_14_v2:2288506-2294160(+) | protein_length=1884 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 327at5820            -           1976   5.5e-11   39.0  19.7   1   3   2.5e-08   2.3e-05   20.4   2.4  1612  1714   739   843   712   848 0.85 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 327at5820            -           1976   5.5e-11   39.0  19.7   2   3     0.083        78   -1.3   0.4  1742  1771   930   958   914   978 0.70 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220800.1-p1   -           1256 327at5820            -           1976   5.5e-11   39.0  19.7   3   3   1.1e-09     1e-06   24.8   3.2  1850  1904  1176  1234  1167  1238 0.79 | transcript=PVP01_1220800.1 | gene=PVP01_1220800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:830978-834945(-) | protein_length=1256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/327at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/327at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/327at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:18 2026
# [ok]
