#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1335400.1-p1   -            351 8708at5820           -            293  5.4e-185  612.0   5.2   1   1  1.1e-187  6.8e-185  611.7   5.2     9   293    64   350    47   350 0.98 | transcript=PVP01_1335400.1 | gene=PVP01_1335400 | organism=Plasmodium_vivax_P01 | gene_product=iron-sulfur cluster assembly protein SufC, putative | transcript_product=iron-sulfur cluster assembly protein SufC, putative | location=PvP01_13_v2:1534587-1535642(+) | protein_length=351 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 8708at5820           -            293   2.1e-09   35.7   3.2   1   4     0.093        55    1.4   0.0    73    96   116   139   107   146 0.88 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 8708at5820           -            293   2.1e-09   35.7   3.2   2   4   2.9e-05     0.017   12.9   0.1   182   258   222   298   205   315 0.88 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 8708at5820           -            293   2.1e-09   35.7   3.2   3   4   0.00057      0.34    8.7   0.0    61    96   371   411   349   419 0.73 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1103800.1-p1   -            619 8708at5820           -            293   2.1e-09   35.7   3.2   4   4   0.00028      0.16    9.7   0.1   181   249   472   540   455   560 0.80 | transcript=PVP01_1103800.1 | gene=PVP01_1103800 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=PvP01_11_v2:160047-162035(+) | protein_length=619 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 8708at5820           -            293   1.3e-08   33.0   2.2   1   2   1.7e-06     0.001   17.0   0.1    63   101    24    62    13    80 0.88 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1315500.1-p1   -            257 8708at5820           -            293   1.3e-08   33.0   2.2   2   2   3.8e-06    0.0023   15.8   0.4   192   255   131   195   113   229 0.82 | transcript=PVP01_1315500.1 | gene=PVP01_1315500 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=PvP01_13_v2:709520-711155(+) | protein_length=257 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 8708at5820           -            293     3e-08   31.8   5.3   1   3      0.24   1.4e+02    0.1   0.1     2    34   300   333   299   351 0.77 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 8708at5820           -            293     3e-08   31.8   5.3   2   3   1.5e-07     9e-05   20.4   0.1    54   100   496   542   481   569 0.86 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1214900.1-p1   -            819 8708at5820           -            293     3e-08   31.8   5.3   3   3   6.1e-05     0.036   11.9   0.2   189   279   714   801   700   805 0.86 | transcript=PVP01_1214900.1 | gene=PVP01_1214900 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 5, putative | transcript_product=ABC transporter B family member 5, putative | location=PvP01_12_v2:627516-629975(-) | protein_length=819 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 8708at5820           -            293   1.1e-06   26.7  19.2   1   3    0.0001     0.062   11.1   1.3    38    98   174   235   144   254 0.74 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 8708at5820           -            293   1.1e-06   26.7  19.2   2   3   1.1e-06   0.00067   17.6   0.4    41   102   802   867   763   875 0.66 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1426600.1-p1   -           1288 8708at5820           -            293   1.1e-06   26.7  19.2   3   3    0.0011      0.68    7.7   2.6   164   252  1008  1095   998  1115 0.74 | transcript=PVP01_1426600.1 | gene=PVP01_1426600 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=PvP01_14_v2:1131739-1135605(+) | protein_length=1288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 8708at5820           -            293   1.9e-05   22.7   2.0   1   2   8.6e-06    0.0051   14.7   0.1    58   108   568   616   538   634 0.84 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0946200.1-p1   -            783 8708at5820           -            293   1.9e-05   22.7   2.0   2   2    0.0019       1.1    7.0   0.3   195   267   703   774   664   782 0.81 | transcript=PVP01_0946200.1 | gene=PVP01_0946200 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 3, putative | transcript_product=ABC transporter B family member 3, putative | location=PvP01_09_v2:2021063-2023701(+) | protein_length=783 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 8708at5820           -            293   4.7e-05   21.4   1.3   1   2       0.1        59    1.3   0.0    65    94   618   647   606   655 0.72 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1309000.1-p1   -            918 8708at5820           -            293   4.7e-05   21.4   1.3   2   2     8e-07   0.00047   18.1   0.3   191   272   816   894   795   902 0.89 | transcript=PVP01_1309000.1 | gene=PVP01_1309000 | organism=Plasmodium_vivax_P01 | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=PvP01_13_v2:410323-413079(-) | protein_length=918 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8708at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8708at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8708at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:12 2026
# [ok]
