#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5   1  15         1   6.5e+03  -15.7  21.4   438   865    53   185    19   283 0.48 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5  12  15     0.019   1.2e+02   -1.2   6.8   400   480  1770  1853  1757  1866 0.55 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5  13  15    0.0017        11    2.2   0.1   739   765  1955  1981  1935  2008 0.66 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5  14  15   4.7e-24   3.1e-20   70.3  15.4   772   908  2025  2229  2001  2238 0.77 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0815000.1-p1   -           2433 682at5820            -           1021  8.2e-249  827.0 210.5  15  15   3.4e-66   2.2e-62  209.8   4.5   906  1021  2311  2428  2294  2428 0.93 | transcript=PVP01_0815000.1 | gene=PVP01_0815000 | organism=Plasmodium_vivax_P01 | gene_product=protein KIC8, putative | transcript_product=protein KIC8, putative | location=PvP01_08_v2:664917-672218(-) | protein_length=2433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/682at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/682at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:45 2026
# [ok]
