#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2   1  22         6   6.5e+03  -13.1  11.9    18   345   483   528   463   553 0.42 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  16  22   8.5e-74   9.3e-71  237.2   3.8  1175  1321  3229  3380  3210  3383 0.92 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  17  22   2.2e-56   2.3e-53  179.5  13.3  1320  1480  3453  3628  3447  3727 0.74 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  18  22   5.8e-18   6.3e-15   52.0   6.9  1476  1587  3732  3850  3729  3865 0.68 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  19  22   4.1e-59   4.5e-56  188.5  28.6  1546  1706  3890  4079  3841  4096 0.70 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  20  22  3.9e-214  4.3e-211  702.7  34.5  1700  2054  4154  4520  4143  4526 0.94 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  21  22         6   6.5e+03   -9.7  13.3   303   361  4519  4577  4507  4598 0.42 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1331700.1-p1   -           4736 171at5820            -           2190         0 2864.5 460.2  22  22   7.6e-94   8.2e-91  303.7   4.7  2062  2190  4608  4736  4603  4736 0.98 | transcript=PVP01_1331700.1 | gene=PVP01_1331700 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1, putative | location=PvP01_13_v2:1350759-1365113(-) | protein_length=4736 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   1  10         6   6.5e+03   -9.8  16.5     6   236   224   464   220   494 0.63 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   2  10   7.9e-47   8.6e-44  147.8   9.7   382   582   616   824   605   861 0.89 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   3  10   4.6e-49     5e-46  155.2  12.0   794  1059  1065  1338  1051  1378 0.88 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   4  10     3e-10   3.2e-07   26.5   2.0  1217  1362  1439  1586  1433  1615 0.85 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   5  10     0.056        61   -1.0   3.3  1350  1403  1641  1694  1632  1728 0.74 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   6  10      0.38   4.1e+02   -3.7   9.5  1562  1691  2004  2116  1866  2146 0.60 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   7  10         6   6.5e+03  -25.9  32.8    28   371  2216  2561  2198  2577 0.49 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   8  10      0.19     2e+02   -2.7   3.2   317   379  2565  2627  2546  2630 0.73 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9   9  10     5e-93   5.5e-90  301.0  34.3  1728  2014  2665  2954  2652  2960 0.93 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0904600.1-p1   -           3423 171at5820            -           2190  1.8e-221  737.1  96.9  10  10   1.3e-54   1.4e-51  173.6   7.3  2074  2188  2972  3086  2964  3088 0.96 | transcript=PVP01_0904600.1 | gene=PVP01_0904600 | organism=Plasmodium_vivax_P01 | gene_product=CCR4-NOT transcription complex subunit NOT1-G, putative | transcript_product=CCR4-NOT transcription complex subunit NOT1-G, putative | location=PvP01_09_v2:281582-291853(+) | protein_length=3423 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 171at5820            -           2190      0.08    8.6  15.7   1   1    0.0001      0.11    8.1  15.7   274   365    91   156    39   174 0.47 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1435300.1-p1   -            288 171at5820            -           2190      0.43    6.2  33.2   1   1   0.00045      0.49    6.0  33.2   149   384    41   272    10   287 0.68 | transcript=PVP01_1435300.1 | gene=PVP01_1435300 | organism=Plasmodium_vivax_P01 | gene_product=male development gene 1, putative | transcript_product=male development gene 1, putative | location=PvP01_14_v2:1491858-1492724(-) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0612100.1-p1   -           1745 171at5820            -           2190         4    3.0  11.0   1   1     0.005       5.4    2.5  11.0   184   346  1100  1265  1070  1291 0.60 | transcript=PVP01_0612100.1 | gene=PVP01_0612100 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:529128-534365(-) | protein_length=1745 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1406800.1-p1   -            543 171at5820            -           2190       6.6    2.2  23.7   1   1    0.0086       9.4    1.7  23.7   280   369   123   216    87   235 0.50 | transcript=PVP01_1406800.1 | gene=PVP01_1406800 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_14_v2:325846-327839(-) | protein_length=543 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/171at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/171at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/171at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:23 2026
# [ok]
