#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1425300.1-p1   -            943 4272at5820           -            672         0 1062.5  49.2   1   5   7.4e-21     4e-18   63.5   0.2     7    73    11    79     3    87 0.89 | transcript=PVP01_1425300.1 | gene=PVP01_1425300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1089356-1092187(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4272at5820           -            672   7.2e-09   33.0   3.8   3   4    0.0043       2.3    4.8   2.4   358   397   462   501   450   512 0.88 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1439800.1-p1   -            833 4272at5820           -            672   7.2e-09   33.0   3.8   4   4       1.2   6.3e+02   -3.2   6.5    34   121   668   760   661   795 0.61 | transcript=PVP01_1439800.1 | gene=PVP01_1439800 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_14_v2:1699346-1701847(+) | protein_length=833 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1236200.1-p1   -            443 4272at5820           -            672   5.4e-08   30.1   2.6   1   1   1.9e-10   1.1e-07   29.1   2.6   547   640   341   434   331   442 0.81 | transcript=PVP01_1236200.1 | gene=PVP01_1236200 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein RAP21, putative | transcript_product=RAP protein RAP21, putative | location=PvP01_12_v2:1440485-1441985(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 4272at5820           -            672   1.3e-07   28.8   9.0   1   3   0.00011     0.057   10.2   0.6   183   310    66   193    52   193 0.92 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 4272at5820           -            672   1.3e-07   28.8   9.0   2   3   0.00027      0.15    8.8   4.2   319   421   130   230   116   243 0.80 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0614900.1-p1   -            441 4272at5820           -            672   1.3e-07   28.8   9.0   3   3   2.5e-07   0.00014   18.8   0.2   476   608   258   390   245   435 0.82 | transcript=PVP01_0614900.1 | gene=PVP01_0614900 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_06_v2:626167-627492(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 4272at5820           -            672   1.5e-06   25.3   1.2   1   2      0.11        60    0.2   5.5   313   390   398   474   384   484 0.85 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1130700.1-p1   -            978 4272at5820           -            672   1.5e-06   25.3   1.2   2   2   2.7e-09   1.5e-06   25.3   1.2   292   389   491   588   476   605 0.79 | transcript=PVP01_1130700.1 | gene=PVP01_1130700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1323128-1326230(+) | protein_length=978 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 4272at5820           -            672   6.1e-06   23.3   2.1   1   2   0.00032      0.17    8.6   0.1   330   379    61   110    47   119 0.88 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609800.1-p1   -            446 4272at5820           -            672   6.1e-06   23.3   2.1   2   2   6.5e-06    0.0035   14.2   0.2   497   606   329   437   325   440 0.93 | transcript=PVP01_0609800.1 | gene=PVP01_0609800 | organism=Plasmodium_vivax_P01 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=PvP01_06_v2:431528-433542(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4272at5820           -            672   4.3e-05   20.5   9.0   1   5      0.32   1.8e+02   -1.4   3.0    66    96    54    84    42   102 0.44 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4272at5820           -            672   4.3e-05   20.5   9.0   2   5      0.16        87   -0.4   0.1   291   340   173   228   157   248 0.57 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4272at5820           -            672   4.3e-05   20.5   9.0   3   5   7.8e-08   4.3e-05   20.5   9.0   212   386   249   424   238   430 0.92 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4272at5820           -            672   4.3e-05   20.5   9.0   4   5   6.2e-06    0.0034   14.2   6.5   234   380   347   492   334   499 0.90 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0828300.1-p1   -            643 4272at5820           -            672   4.3e-05   20.5   9.0   5   5    0.0025       1.3    5.6   7.8   214   355   437   584   433   604 0.66 | transcript=PVP01_0828300.1 | gene=PVP01_0828300 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_08_v2:1221034-1222965(+) | protein_length=643 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   1   8         2   1.1e+03   -4.0   0.2   216   260   121   165    77   188 0.48 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   2   8     0.011       6.1    3.5   0.0   216   244   302   330   260   339 0.84 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   3   8    0.0013      0.69    6.6   1.8   215   308   410   503   407   511 0.91 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   4   8     0.013       7.3    3.2   0.1   212   251   526   565   507   569 0.84 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   5   8    0.0016      0.86    6.3   0.4   324   385   641   702   620   715 0.82 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   6   8      0.12        67    0.0   5.5   215   308   717   808   712   813 0.84 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   7   8     0.048        26    1.4   0.3   450   537   868   955   857   967 0.80 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444700.1-p1   -           1244 4272at5820           -            672    0.0021   14.9   0.2   8   8   3.9e-06    0.0021   14.9   0.2   548   605  1037  1094  1033  1105 0.90 | transcript=PVP01_1444700.1 | gene=PVP01_1444700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=PvP01_14_v2:1935514-1939248(+) | protein_length=1244 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0311600.1-p1   -            360 4272at5820           -            672    0.0083   12.9   0.7   1   1   2.1e-05     0.012   12.5   0.7   491   571   156   235   141   239 0.90 | transcript=PVP01_0311600.1 | gene=PVP01_0311600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_03_v2:517450-518532(-) | protein_length=360 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4272at5820           -            672       2.1    5.0  16.8   1   4     0.006       3.3    4.3   0.0   327   351   197   221   186   244 0.74 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4272at5820           -            672       2.1    5.0  16.8   2   4     0.014       7.6    3.1   4.3   238   287   341   389   333   403 0.78 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4272at5820           -            672       2.1    5.0  16.8   3   4    0.0081       4.4    3.9   0.3   215   265   393   445   390   450 0.84 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1140700.1-p1   -           1220 4272at5820           -            672       2.1    5.0  16.8   4   4      0.18        99   -0.5   0.1   224   248   563   587   551   639 0.64 | transcript=PVP01_1140700.1 | gene=PVP01_1140700 | organism=Plasmodium_vivax_P01 | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=PvP01_11_v2:1728239-1731901(-) | protein_length=1220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4272at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4272at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:58 2026
# [ok]
