#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0904400.1-p1   -            491 5577at5820           -            435  5.7e-261  864.6  20.8   1   2  2.2e-153    2e-150  500.3   2.5     1   237     1   252     1   266 0.95 | transcript=PVP01_0904400.1 | gene=PVP01_0904400 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:273305-274780(+) | protein_length=491 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1028800.1-p1   -            606 5577at5820           -            435   1.5e-18   65.8  24.3   2   2   7.6e-18   7.1e-15   53.7  17.8    93   434   272   606   244   606 0.76 | transcript=PVP01_1028800.1 | gene=PVP01_1028800 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_10_v2:1228590-1230410(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 5577at5820           -            435   3.9e-13   48.0   0.1   1   3      0.26   2.4e+02   -0.8   0.0     6    40     4    38     2    65 0.87 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 5577at5820           -            435   3.9e-13   48.0   0.1   2   3   2.2e-14     2e-11   42.3   0.1    97   246    83   235    70   242 0.83 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 5577at5820           -            435   3.9e-13   48.0   0.1   3   3     0.036        34    2.0   0.0   347   427   285   367   264   374 0.74 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5577at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5577at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5577at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:22 2026
# [ok]
