#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1427000.1-p1   -            315 12286at5820          -            258  3.3e-118  392.2 107.3   1   3   3.7e-81   8.7e-79  263.0  11.9     1   131     1   139     1   142 0.93 | transcript=PVP01_1427000.1 | gene=PVP01_1427000 | organism=Plasmodium_vivax_P01 | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=PvP01_14_v2:1151492-1152934(-) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228600.1-p1   -            822 12286at5820          -            258     0.013   13.4   3.4   1   1    0.0001     0.024   12.5   3.4   160   194   506   539   496   573 0.48 | transcript=PVP01_1228600.1 | gene=PVP01_1228600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1134415-1137148(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 12286at5820          -            258     0.014   13.3  20.3   1   1   0.00012     0.027   12.3  20.3   136   197    98   156    91   175 0.35 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 12286at5820          -            258     0.034   12.0  50.6   1   2   5.6e-06    0.0013   16.6  31.7   112   190   211   294   191   342 0.41 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0531000.1-p1   -           2684 12286at5820          -            258     0.034   12.0  50.6   2   2      0.65   1.5e+02    0.0  10.9   157   196   536   565   487   609 0.55 | transcript=PVP01_0531000.1 | gene=PVP01_0531000 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing helicase BRR2, putative | transcript_product=pre-mRNA-splicing helicase BRR2, putative | location=PvP01_05_v2:1316973-1325027(+) | protein_length=2684 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0924700.1-p1   -           1497 12286at5820          -            258     0.039   11.8  23.7   1   1   0.00035     0.082   10.7  23.7   146   195   824   872   807   879 0.45 | transcript=PVP01_0924700.1 | gene=PVP01_0924700 | organism=Plasmodium_vivax_P01 | gene_product=BEACH domain-containing protein, putative | transcript_product=BEACH domain-containing protein, putative | location=PvP01_09_v2:1100164-1104657(-) | protein_length=1497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901800.1-p1   -            335 12286at5820          -            258     0.061   11.2  13.9   1   1   0.00044       0.1   10.4  13.9   131   158   136   163   114   182 0.46 | transcript=PVP01_0901800.1 | gene=PVP01_0901800 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:113304-114434(+) | protein_length=335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1450300.1-p1   -            710 12286at5820          -            258     0.061   11.1  34.3   1   1   0.00057      0.13   10.0  34.3   145   183   666   704   633   710 0.49 | transcript=PVP01_1450300.1 | gene=PVP01_1450300 | organism=Plasmodium_vivax_P01 | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=PvP01_14_v2:2195193-2197694(-) | protein_length=710 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1411700.1-p1   -            158 12286at5820          -            258     0.079   10.8  18.8   1   1   0.00037     0.087   10.6  18.8   131   187    99   155    32   158 0.53 | transcript=PVP01_1411700.1 | gene=PVP01_1411700 | organism=Plasmodium_vivax_P01 | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=PvP01_14_v2:528162-528638(-) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1456500.1-p1   -            300 12286at5820          -            258      0.11   10.3  18.9   1   1   0.00072      0.17    9.7  18.9   132   222    70   157    54   167 0.41 | transcript=PVP01_1456500.1 | gene=PVP01_1456500 | organism=Plasmodium_vivax_P01 | gene_product=dynactin subunit 3, putative | transcript_product=dynactin subunit 3, putative | location=PvP01_14_v2:2444763-2446328(-) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218000.1-p1   -            139 12286at5820          -            258      0.15    9.9  41.5   1   1   0.00088       0.2    9.4  41.5   134   193    78   135    54   138 0.55 | transcript=PVP01_1218000.1 | gene=PVP01_1218000 | organism=Plasmodium_vivax_P01 | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=PvP01_12_v2:750454-750873(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 12286at5820          -            258      0.37    8.6  58.0   1   2   5.9e-05     0.014   13.3  20.9   119   210   202   288   192   306 0.53 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905400.1-p1   -            632 12286at5820          -            258      0.37    8.6  58.0   2   2      0.14        33    2.2  27.4   124   193   396   458   384   492 0.40 | transcript=PVP01_0905400.1 | gene=PVP01_0905400 | organism=Plasmodium_vivax_P01 | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=PvP01_09_v2:320444-322342(+) | protein_length=632 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 12286at5820          -            258      0.39    8.5  34.1   1   2     0.064        15    3.3   5.1   130   188    62   123    51   160 0.50 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1466200.1-p1   -            400 12286at5820          -            258      0.39    8.5  34.1   2   2    0.0003     0.069   11.0  21.0   123   209   230   320   221   343 0.56 | transcript=PVP01_1466200.1 | gene=PVP01_1466200 | organism=Plasmodium_vivax_P01 | gene_product=THUMP domain-containing protein, putative | transcript_product=THUMP domain-containing protein, putative | location=PvP01_14_v2:2820825-2822550(+) | protein_length=400 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1144600.1-p1   -            709 12286at5820          -            258      0.68    7.7  16.1   1   1    0.0055       1.3    6.8  16.1   131   168   299   336   285   347 0.59 | transcript=PVP01_1144600.1 | gene=PVP01_1144600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1893939-1896068(-) | protein_length=709 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1139600.1-p1   -            671 12286at5820          -            258         1    7.1  15.9   1   1     0.011       2.5    5.9  15.9   132   215    58   145    45   152 0.55 | transcript=PVP01_1139600.1 | gene=PVP01_1139600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_11_v2:1677852-1680056(-) | protein_length=671 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 12286at5820          -            258       2.3    6.0  22.9   1   1     0.018       4.2    5.1  22.9   109   200    23   112     3   158 0.56 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 12286at5820          -            258       2.6    5.8  36.5   1   1     0.026         6    4.6  36.5   135   187   199   250   177   283 0.44 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421400.1-p1   -            385 12286at5820          -            258       2.7    5.8 113.1   1   2       1.2   2.9e+02   -0.9  51.4   139   188   219   268   169   269 0.49 | transcript=PVP01_0421400.1 | gene=PVP01_0421400 | organism=Plasmodium_vivax_P01 | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=PvP01_04_v2:869293-870692(+) | protein_length=385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0421400.1-p1   -            385 12286at5820          -            258       2.7    5.8 113.1   2   2    0.0024      0.55    8.0  66.6   140   225   261   349   259   364 0.66 | transcript=PVP01_0421400.1 | gene=PVP01_0421400 | organism=Plasmodium_vivax_P01 | gene_product=protein MAK16, putative | transcript_product=protein MAK16, putative | location=PvP01_04_v2:869293-870692(+) | protein_length=385 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0419500.1-p1   -            665 12286at5820          -            258         4    5.2  19.1   1   1     0.044        10    3.9  19.1   133   179   607   655   559   665 0.42 | transcript=PVP01_0419500.1 | gene=PVP01_0419500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_04_v2:804511-806508(-) | protein_length=665 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1321400.1-p1   -            281 12286at5820          -            258       4.6    5.0  46.4   1   1   0.00055      0.13   10.1  40.4    87   196   159   266   147   281 0.66 | transcript=PVP01_1321400.1 | gene=PVP01_1321400 | organism=Plasmodium_vivax_P01 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=PvP01_13_v2:963407-964252(-) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1220900.1-p1   -            302 12286at5820          -            258       6.2    4.6  28.6   1   1     0.008       1.9    6.3  25.6    98   179   217   300   195   302 0.53 | transcript=PVP01_1220900.1 | gene=PVP01_1220900 | organism=Plasmodium_vivax_P01 | gene_product=Voldacs domain-containing protein, putative | transcript_product=Voldacs domain-containing protein, putative | location=PvP01_12_v2:836857-837765(-) | protein_length=302 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0526300.1-p1   -           2224 12286at5820          -            258       7.2    4.3  25.7   1   1     0.099        23    2.7  25.7   124   187    76   139    59   158 0.48 | transcript=PVP01_0526300.1 | gene=PVP01_0526300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_05_v2:1061019-1067947(-) | protein_length=2224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 12286at5820          -            258       8.4    4.1  44.9   1   2       3.6   8.4e+02   -2.4   0.1    94   114   678   698   673   705 0.85 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1314200.1-p1   -           3056 12286at5820          -            258       8.4    4.1  44.9   2   2   2.8e-05    0.0065   14.3  31.9   135   212  1640  1712  1604  1732 0.64 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12286at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:27 2026
# [ok]
