#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1107700.1-p1   -           1127 2381at5820           -            857         0 1795.7  69.2   1   5     0.044        36    0.6   0.1     4    21    30    47    27    61 0.85 | transcript=PVP01_1107700.1 | gene=PVP01_1107700 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=PvP01_11_v2:300411-303794(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2381at5820           -            857  1.1e-121  405.9  11.9   2   4    0.0031       2.6    4.4   0.0   426   455   273   302   270   308 0.92 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2381at5820           -            857  1.1e-121  405.9  11.9   3   4   2.9e-52   2.4e-49  166.6   0.1   476   690   361   576   354   583 0.96 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0513000.1-p1   -            824 2381at5820           -            857  1.1e-121  405.9  11.9   4   4   3.5e-22   2.8e-19   67.1   2.4   693   849   639   802   637   809 0.87 | transcript=PVP01_0513000.1 | gene=PVP01_0513000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=PvP01_05_v2:542431-545227(+) | protein_length=824 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   1   4         8   6.5e+03  -12.5  12.1   164   211   178   228   142   264 0.53 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   2   4   7.2e-50   5.9e-47  158.7   5.9   196   447   407   666   399   690 0.87 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   3   4   8.5e-18     7e-15   52.6   2.1   479   634   915  1088   890  1094 0.86 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1403600.1-p1   -           1608 2381at5820           -            857   3.2e-58  196.0  15.6   4   4      0.22   1.8e+02   -1.7   1.8   790   840  1399  1450  1375  1466 0.74 | transcript=PVP01_1403600.1 | gene=PVP01_1403600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHR1, putative | transcript_product=ATP-dependent RNA helicase DHR1, putative | location=PvP01_14_v2:170445-175592(+) | protein_length=1608 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 2381at5820           -            857   5.9e-43  145.5  22.7   1   2   2.2e-10   1.8e-07   28.1   0.2   297   369   101   173    20   191 0.88 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1270100.1-p1   -            928 2381at5820           -            857   5.9e-43  145.5  22.7   2   2   2.9e-38   2.4e-35  120.3  17.3   516   853   574   915   557   919 0.85 | transcript=PVP01_1270100.1 | gene=PVP01_1270100 | organism=Plasmodium_vivax_P01 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=PvP01_12_v2:2945067-2947853(+) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 2381at5820           -            857   1.9e-37  127.2  18.1   1   3   2.5e-28     2e-25   87.4   2.4   208   382   403   586   389   602 0.85 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 2381at5820           -            857   1.9e-37  127.2  18.1   2   3   1.1e-13   9.1e-11   39.0   1.0   479   607   767   896   755   900 0.87 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0829700.1-p1   -           2092 2381at5820           -            857   1.9e-37  127.2  18.1   3   3   4.8e-05     0.039   10.4   1.1   615   688   963  1039   953  1095 0.87 | transcript=PVP01_0829700.1 | gene=PVP01_0829700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DHX57, putative | transcript_product=ATP-dependent RNA helicase DHX57, putative | location=PvP01_08_v2:1277283-1283561(+) | protein_length=2092 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2381at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2381at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2381at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:32 2026
# [ok]
