#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1024900.1-p1   -           1455 1309at5820           -           1140         0 2012.2 133.6   1   4     1e-57   1.7e-54  183.5   2.6     1    90    54   143    54   145 0.98 | transcript=PVP01_1024900.1 | gene=PVP01_1024900 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=PvP01_10_v2:1081785-1086152(-) | protein_length=1455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0520500.1-p1   -           1193 1309at5820           -           1140    0.0021   14.3 176.6   1   1   7.4e-06     0.012   11.8 176.6     5  1122     3  1160     1  1169 0.67 | transcript=PVP01_0520500.1 | gene=PVP01_0520500 | organism=Plasmodium_vivax_P01 | gene_product=structural maintenance of chromosomes protein 3, putative | transcript_product=structural maintenance of chromosomes protein 3, putative | location=PvP01_05_v2:828521-835340(-) | protein_length=1193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1309at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1309at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:42 2026
# [ok]
