#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0924000.1-p1   -            547 5094at5820           -            473         0 1057.4   8.8   1   2   1.9e-07   9.6e-05   19.7   0.7     1    20     1    20     1    24 0.92 | transcript=PVP01_0924000.1 | gene=PVP01_0924000 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | transcript_product=eukaryotic peptide chain release factor GTP-binding subunit, putative | location=PvP01_09_v2:1074814-1076720(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 5094at5820           -            473    0.0012   16.0   3.0   2   3      0.85   4.3e+02   -2.2   0.0   252   352   420   520   413   533 0.68 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1453500.1-p1   -           1110 5094at5820           -            473    0.0012   16.0   3.0   3   3       1.1   5.6e+02   -2.6   0.1   410   436   949   975   935   980 0.79 | transcript=PVP01_1453500.1 | gene=PVP01_1453500 | organism=Plasmodium_vivax_P01 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=PvP01_14_v2:2335852-2339184(-) | protein_length=1110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 5094at5820           -            473    0.0037   14.5   0.2   1   2   3.8e-05     0.019   12.1   0.1    77   168   219   306   187   341 0.72 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710200.1-p1   -            910 5094at5820           -            473    0.0037   14.5   0.2   2   2      0.39     2e+02   -1.1   0.0   254   330   350   429   338   469 0.66 | transcript=PVP01_0710200.1 | gene=PVP01_0710200 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_07_v2:516692-519424(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5094at5820           -            473    0.0084   13.3   0.1   1   3     0.096        48    0.9   0.0    38    61     4    27     2    42 0.81 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5094at5820           -            473    0.0084   13.3   0.1   2   3   0.00043      0.22    8.7   0.0   117   197   127   199   121   229 0.75 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204900.1-p1   -            776 5094at5820           -            473    0.0084   13.3   0.1   3   3      0.44   2.2e+02   -1.3   0.0   285   374   372   463   348   475 0.67 | transcript=PVP01_0204900.1 | gene=PVP01_0204900 | organism=Plasmodium_vivax_P01 | gene_product=selenocysteine-specific elongation factor, putative | transcript_product=selenocysteine-specific elongation factor, putative | location=PvP01_02_v2:226816-229146(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338300.1-p1   -            465 5094at5820           -            473     0.011   12.9   0.4   1   2     0.035        17    2.4   0.0    24    57    21    55    10    74 0.80 | transcript=PVP01_1338300.1 | gene=PVP01_1338300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=PvP01_13_v2:1653729-1655126(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1338300.1-p1   -            465 5094at5820           -            473     0.011   12.9   0.4   2   2   0.00049      0.25    8.5   0.1   115   184   122   185   111   335 0.74 | transcript=PVP01_1338300.1 | gene=PVP01_1338300 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 2 subunit gamma, putative | transcript_product=eukaryotic translation initiation factor 2 subunit gamma, putative | location=PvP01_13_v2:1653729-1655126(-) | protein_length=465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5094at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5094at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:16 2026
# [ok]
