#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0719300.1-p1   -            475 7792at5820           -            318  1.1e-152  506.1  20.8   1   2  2.4e-150    6e-148  490.6  18.8     1   291    72   384    72   389 0.95 | transcript=PVP01_0719300.1 | gene=PVP01_0719300 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 snRNA-associated-splicing factor, putative | transcript_product=U4/U6 snRNA-associated-splicing factor, putative | location=PvP01_07_v2:848364-850021(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1436000.1-p1   -           1121 7792at5820           -            318     1e-10   39.7  30.2   4   4      0.69   1.7e+02   -0.5   2.3   142   206  1043  1113  1035  1118 0.72 | transcript=PVP01_1436000.1 | gene=PVP01_1436000 | organism=Plasmodium_vivax_P01 | gene_product=multiple RNA-binding domain-containing protein 1, putative | transcript_product=multiple RNA-binding domain-containing protein 1, putative | location=PvP01_14_v2:1514796-1518161(+) | protein_length=1121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0927500.1-p1   -           1064 7792at5820           -            318   2.8e-10   38.2   0.0   1   1   1.1e-12   2.8e-10   38.2   0.0   207   292     3    86     1    98 0.91 | transcript=PVP01_0927500.1 | gene=PVP01_0927500 | organism=Plasmodium_vivax_P01 | gene_product=alternative splicing factor SR-MG, putative | transcript_product=alternative splicing factor SR-MG, putative | location=PvP01_09_v2:1212670-1215864(+) | protein_length=1064 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0722400.1-p1   -            202 7792at5820           -            318   3.3e-10   38.0   0.2   1   1   1.7e-12   4.2e-10   37.7   0.2   177   286    38   144    17   155 0.81 | transcript=PVP01_0722400.1 | gene=PVP01_0722400 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 2, putative | transcript_product=polyadenylate-binding protein 2, putative | location=PvP01_07_v2:965522-966980(-) | protein_length=202 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 7792at5820           -            318   1.9e-09   35.5   0.7   1   1   1.2e-11   2.9e-09   34.9   0.7   196   285    82   169    72   178 0.82 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519700.1-p1   -            269 7792at5820           -            318   1.8e-08   32.3   1.1   1   1     7e-11   1.8e-08   32.3   1.1   203   271   181   246   146   256 0.80 | transcript=PVP01_0519700.1 | gene=PVP01_0519700 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic translation initiation factor 3 subunit G, putative | transcript_product=eukaryotic translation initiation factor 3 subunit G, putative | location=PvP01_05_v2:808160-810266(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 7792at5820           -            318   5.5e-08   30.7   1.5   1   2   0.00021     0.053   11.1   0.2   223   266   131   171   121   195 0.77 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 7792at5820           -            318   5.5e-08   30.7   1.5   2   2   1.2e-06   0.00031   18.4   0.0    24    85   202   263   193   277 0.86 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 7792at5820           -            318   7.6e-08   30.2   0.9   1   2   0.00026     0.066   10.7   1.2    24    85    10    73     5   110 0.77 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0733700.1-p1   -            192 7792at5820           -            318   7.6e-08   30.2   0.9   2   2   1.9e-06   0.00049   17.7   0.0    25    90   121   181    80   189 0.90 | transcript=PVP01_0733700.1 | gene=PVP01_0733700 | organism=Plasmodium_vivax_P01 | gene_product=U2 small nuclear ribonucleoprotein B'', putative | transcript_product=U2 small nuclear ribonucleoprotein B'', putative | location=PvP01_07_v2:1381870-1382448(-) | protein_length=192 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 7792at5820           -            318   9.7e-08   29.9   8.8   1   3    0.0097       2.4    5.6   1.8    19    90    13    80     1    92 0.78 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 7792at5820           -            318   9.7e-08   29.9   8.8   2   3     4e-05      0.01   13.4   0.7   148   271    56   175    52   206 0.73 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1111100.1-p1   -            392 7792at5820           -            318   9.7e-08   29.9   8.8   3   3   2.2e-06   0.00056   17.6   0.1    26    99   211   285   201   292 0.86 | transcript=PVP01_1111100.1 | gene=PVP01_1111100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:447981-450642(+) | protein_length=392 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 7792at5820           -            318   3.6e-07   28.0  16.6   1   3   8.7e-05     0.022   12.3   0.7    23    85   226   290   200   305 0.71 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 7792at5820           -            318   3.6e-07   28.0  16.6   2   3     0.012       3.1    5.2   2.5    64   117   340   393   327   397 0.82 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1407800.1-p1   -            505 7792at5820           -            318   3.6e-07   28.0  16.6   3   3   7.2e-07   0.00018   19.2   0.4    24    89   433   493   424   501 0.88 | transcript=PVP01_1407800.1 | gene=PVP01_1407800 | organism=Plasmodium_vivax_P01 | gene_product=U1 small nuclear ribonucleoprotein A, putative | transcript_product=U1 small nuclear ribonucleoprotein A, putative | location=PvP01_14_v2:373119-374956(+) | protein_length=505 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 7792at5820           -            318   2.3e-06   25.4  13.7   1   4       6.1   1.5e+03   -3.6   0.1    29    43    26    40     6    69 0.43 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 7792at5820           -            318   2.3e-06   25.4  13.7   2   4     0.068        17    2.8   0.2    24    82    82   141    79   149 0.77 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 7792at5820           -            318   2.3e-06   25.4  13.7   3   4   1.7e-06   0.00042   17.9   0.5    21    84   177   240   159   256 0.85 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1339100.1-p1   -            503 7792at5820           -            318   2.3e-06   25.4  13.7   4   4   6.8e-05     0.017   12.7   0.1   239   272   420   453   400   493 0.78 | transcript=PVP01_1339100.1 | gene=PVP01_1339100 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 2, putative | transcript_product=CUGBP Elav-like family member 2, putative | location=PvP01_13_v2:1701554-1703065(-) | protein_length=503 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1342700.1-p1   -            119 7792at5820           -            318   2.7e-06   25.2   2.5   1   1   1.2e-08     3e-06   25.0   2.5   192   271     6    93     2   118 0.74 | transcript=PVP01_1342700.1 | gene=PVP01_1342700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein 8A, putative | transcript_product=RNA-binding protein 8A, putative | location=PvP01_13_v2:1878663-1879391(-) | protein_length=119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0522000.1-p1   -            236 7792at5820           -            318   3.6e-06   24.7   0.1   1   1   1.9e-08   4.9e-06   24.3   0.1   207   286    31   108    15   132 0.89 | transcript=PVP01_0522000.1 | gene=PVP01_0522000 | organism=Plasmodium_vivax_P01 | gene_product=nuclear cap-binding protein subunit 2, putative | transcript_product=nuclear cap-binding protein subunit 2, putative | location=PvP01_05_v2:891747-892619(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7792at5820           -            318   4.2e-06   24.5   1.1   1   3      0.93   2.3e+02   -0.9   0.1    25    86    89   151    87   156 0.71 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7792at5820           -            318   4.2e-06   24.5   1.1   2   3   0.00039     0.098   10.2   0.0    20    85   183   249   176   255 0.81 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1112500.1-p1   -            513 7792at5820           -            318   4.2e-06   24.5   1.1   3   3   0.00016     0.039   11.5   0.0    31    82   379   431   370   480 0.61 | transcript=PVP01_1112500.1 | gene=PVP01_1112500 | organism=Plasmodium_vivax_P01 | gene_product=CUGBP Elav-like family member 1, putative | transcript_product=CUGBP Elav-like family member 1, putative | location=PvP01_11_v2:536358-538080(+) | protein_length=513 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 7792at5820           -            318   4.5e-06   24.4   1.6   1   2    0.0016       0.4    8.2   0.0   206   292    16   100     5   105 0.75 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1328900.1-p1   -            475 7792at5820           -            318   4.5e-06   24.4   1.6   2   2     1e-05    0.0025   15.4   0.4    25    91   108   174   103   184 0.90 | transcript=PVP01_1328900.1 | gene=PVP01_1328900 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 4, putative | transcript_product=splicing factor 3B subunit 4, putative | location=PvP01_13_v2:1225767-1227448(+) | protein_length=475 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1421700.1-p1   -            124 7792at5820           -            318   4.8e-06   24.3   0.5   1   1   2.2e-08   5.6e-06   24.1   0.5   223   292    21    88     2   113 0.82 | transcript=PVP01_1421700.1 | gene=PVP01_1421700 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_14_v2:939195-940065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 7792at5820           -            318   9.9e-06   23.3  11.5   1   2     4e-05      0.01   13.4   0.7    24    77     9    61     3    68 0.89 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1142800.1-p1   -            606 7792at5820           -            318   9.9e-06   23.3  11.5   2   2   3.1e-05    0.0078   13.8   4.3   201   287   156   238   135   258 0.78 | transcript=PVP01_1142800.1 | gene=PVP01_1142800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_11_v2:1815171-1817570(-) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 7792at5820           -            318   1.7e-05   22.6   0.0   1   2    0.0059       1.5    6.3   0.0    22    85     5    68     1    76 0.78 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 7792at5820           -            318   1.7e-05   22.6   0.0   2   2   2.1e-05    0.0053   14.3   0.0    27    88   158   219   154   245 0.66 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 7792at5820           -            318   1.9e-05   22.4   0.2   1   2   1.5e-05    0.0037   14.8   0.0    25    94    22    91     7   115 0.92 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 7792at5820           -            318   1.9e-05   22.4   0.2   2   2     0.009       2.3    5.7   0.1   204   242   166   204   155   245 0.77 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 7792at5820           -            318     7e-05   20.5   2.0   1   2   2.8e-07     7e-05   20.5   2.0   197   286    16   103     3   125 0.77 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261400.1-p1   -            786 7792at5820           -            318     7e-05   20.5   2.0   2   2       5.5   1.4e+03   -3.5   0.0   122   158   446   482   442   484 0.83 | transcript=PVP01_1261400.1 | gene=PVP01_1261400 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_12_v2:2531620-2534682(-) | protein_length=786 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0931800.1-p1   -            156 7792at5820           -            318   0.00018   19.1   1.2   1   1     9e-07   0.00023   18.8   1.2   212   286     6    84     2   120 0.69 | transcript=PVP01_0931800.1 | gene=PVP01_0931800 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=PvP01_09_v2:1363219-1363689(-) | protein_length=156 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 7792at5820           -            318   0.00076   17.1   2.9   1   2    0.0026      0.65    7.5   0.3    17    86     9    78     2   109 0.64 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1454200.1-p1   -            497 7792at5820           -            318   0.00076   17.1   2.9   2   2   0.00055      0.14    9.7   0.2    31    85   421   475   402   492 0.57 | transcript=PVP01_1454200.1 | gene=PVP01_1454200 | organism=Plasmodium_vivax_P01 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=PvP01_14_v2:2366174-2367667(-) | protein_length=497 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1133400.1-p1   -            153 7792at5820           -            318    0.0024   15.4   3.0   1   1   1.2e-05     0.003   15.2   3.0   191   283    42   131    34   149 0.56 | transcript=PVP01_1133400.1 | gene=PVP01_1133400 | organism=Plasmodium_vivax_P01 | gene_product=THO complex subunit 4, putative | transcript_product=THO complex subunit 4, putative | location=PvP01_11_v2:1425869-1427281(-) | protein_length=153 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0731700.1-p1   -            725 7792at5820           -            318     0.025   12.1   0.1   1   1   0.00016      0.04   11.4   0.1    24    82     7    66     1    81 0.81 | transcript=PVP01_0731700.1 | gene=PVP01_0731700 | organism=Plasmodium_vivax_P01 | gene_product=CSTF domain-containing protein, putative | transcript_product=CSTF domain-containing protein, putative | location=PvP01_07_v2:1329363-1331540(+) | protein_length=725 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7792at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7792at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7792at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:50 2026
# [ok]
