#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1114400.1-p1   -            877 2392at5820           -            678         0 1402.0  32.2   1   3   3.4e-26     2e-23   81.2   0.7     1    53     3    55     3    62 0.92 | transcript=PVP01_1114400.1 | gene=PVP01_1114400 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_11_v2:617560-620193(-) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2392at5820           -            678   3.4e-31  106.8  29.4   2   4   7.5e-17   4.5e-14   50.3   6.9   200   373   222   416   167   428 0.77 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2392at5820           -            678   3.4e-31  106.8  29.4   3   4      0.15        90   -0.3   3.7   387   439   526   581   512   616 0.69 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0516600.1-p1   -           1117 2392at5820           -            678   3.4e-31  106.8  29.4   4   4   6.4e-22   3.8e-19   67.1   0.1   512   629   988  1103   976  1110 0.88 | transcript=PVP01_0516600.1 | gene=PVP01_0516600 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase, putative | transcript_product=DNA helicase, putative | location=PvP01_05_v2:691310-695680(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0609100.1-p1   -           3265 2392at5820           -            678   1.3e-28   98.3   9.9   1   1     2e-29   1.2e-26   91.9   9.9   199   625  1386  1859  1345  1869 0.67 | transcript=PVP01_0609100.1 | gene=PVP01_0609100 | organism=Plasmodium_vivax_P01 | gene_product=SNF2 helicase, putative, chromodomain-helicase-DNA-binding protein 1 homolog, putative | transcript_product=chromodomain-helicase-DNA-binding protein 1 homolog, putative | location=PvP01_06_v2:399358-409155(-) | protein_length=3265 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0010870.1-p1   -            335 2392at5820           -            678   8.1e-23   79.2   4.4   1   1   1.8e-25     1e-22   78.8   4.4   200   433     3   249     1   257 0.76 | transcript=PVP01_0010870.1 | gene=PVP01_0010870 | organism=Plasmodium_vivax_P01 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Transfer.PvP01_00_203.final:1-1104(+) | protein_length=335 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 2392at5820           -            678   1.8e-22   78.0  10.2   1   2   1.2e-16   7.3e-14   49.6   8.2   201   536   697  1087   660  1090 0.59 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0409000.1-p1   -           1597 2392at5820           -            678   1.8e-22   78.0  10.2   2   2     1e-08   6.1e-06   23.4   0.0   538   613  1124  1198  1120  1218 0.89 | transcript=PVP01_0409000.1 | gene=PVP01_0409000 | organism=Plasmodium_vivax_P01 | gene_product=SNF2-like chromatin remodeling ATPase, putative | transcript_product=SNF2-like chromatin remodeling ATPase, putative | location=PvP01_04_v2:363099-367892(-) | protein_length=1597 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2392at5820           -            678   8.2e-21   72.6  22.1   1   4   2.4e-05     0.014   12.3   0.0   194   238   218   266   201   272 0.79 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2392at5820           -            678   8.2e-21   72.6  22.1   2   4       1.6   9.2e+02   -3.6   0.7   249   311   376   442   372   452 0.69 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2392at5820           -            678   8.2e-21   72.6  22.1   3   4   0.00012     0.074    9.9   1.4   306   377   962  1031   953  1071 0.71 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1467900.1-p1   -           1589 2392at5820           -            678   8.2e-21   72.6  22.1   4   4     1e-20   6.2e-18   63.0   2.1   472   615  1419  1562  1403  1580 0.90 | transcript=PVP01_1467900.1 | gene=PVP01_1467900 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein rhp16, putative | transcript_product=DNA repair protein rhp16, putative | location=PvP01_14_v2:2891982-2896942(+) | protein_length=1589 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2392at5820           -            678   1.5e-10   38.6   5.4   1   4       2.3   1.3e+03   -4.2   1.7    99   120   169   191   118   263 0.54 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2392at5820           -            678   1.5e-10   38.6   5.4   2   4    0.0061       3.6    4.3   0.0   221   240   726   745   723   757 0.89 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2392at5820           -            678   1.5e-10   38.6   5.4   3   4     0.063        37    1.0   0.0   305   352   959  1004   954  1012 0.79 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1211400.1-p1   -           1529 2392at5820           -            678   1.5e-10   38.6   5.4   4   4     1e-11     6e-09   33.4   0.0   541   627  1416  1501  1409  1518 0.88 | transcript=PVP01_1211400.1 | gene=PVP01_1211400 | organism=Plasmodium_vivax_P01 | gene_product=DNA repair protein RAD5, putative | transcript_product=DNA repair protein RAD5, putative | location=PvP01_12_v2:492837-497910(-) | protein_length=1529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2392at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2392at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2392at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:34 2026
# [ok]
