#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0615000.1-p1   -           1528 1709at5820           -            999         0 1629.9  88.8   1   8   4.4e-75   1.4e-71  240.0   3.7     1   143     3   164     3   169 0.89 | transcript=PVP01_0615000.1 | gene=PVP01_0615000 | organism=Plasmodium_vivax_P01 | gene_product=ORC3 domain-containing protein, putative | transcript_product=ORC3 domain-containing protein, putative | location=PvP01_06_v2:632675-637261(+) | protein_length=1528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710500.1-p1   -           1463 1709at5820           -            999   8.4e-11   38.9  72.3   4   5   1.6e-05     0.054    9.7   5.1   771   836  1111  1178  1103  1266 0.59 | transcript=PVP01_0710500.1 | gene=PVP01_0710500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:525203-529594(-) | protein_length=1463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0710500.1-p1   -           1463 1709at5820           -            999   8.4e-11   38.9  72.3   5   5     0.089   2.9e+02   -2.6   0.2   902   927  1331  1356  1326  1364 0.87 | transcript=PVP01_0710500.1 | gene=PVP01_0710500 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_07_v2:525203-529594(-) | protein_length=1463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1709at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1709at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1709at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:15 2026
# [ok]
