#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1   1  12      0.27   1.8e+03   -5.6  10.4    14    93    43   131    33   151 0.56 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1250400.1-p1   -           2398 580at5820            -           1578         0 2666.8 266.1  12  12   1.1e-37   6.9e-34  115.1  15.4  1475  1578  2271  2398  2253  2398 0.81 | transcript=PVP01_1250400.1 | gene=PVP01_1250400 | organism=Plasmodium_vivax_P01 | gene_product=STAG domain-containing protein, putative | transcript_product=STAG domain-containing protein, putative | location=PvP01_12_v2:2054789-2061985(-) | protein_length=2398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/580at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/580at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/580at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:31 2026
# [ok]
