#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1311100.1-p1   -           1341 1301at5820           -           1082         0 2259.6   6.4   1   1         0         0 2259.3   6.4    11  1082   192  1341   184  1341 0.96 | transcript=PVP01_1311100.1 | gene=PVP01_1311100 | organism=Plasmodium_vivax_P01 | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=PvP01_13_v2:516370-520395(-) | protein_length=1341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 1301at5820           -           1082   9.9e-11   38.7   2.4   3   4    0.0089        12    2.0   0.1   591   644  1104  1157  1061  1168 0.73 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0213500.1-p1   -           1690 1301at5820           -           1082   9.9e-11   38.7   2.4   4   4   1.7e-10   2.2e-07   27.6   0.0   671   725  1293  1347  1279  1353 0.93 | transcript=PVP01_0213500.1 | gene=PVP01_0213500 | organism=Plasmodium_vivax_P01 | gene_product=cation transporting ATPase, putative | transcript_product=cation transporting ATPase, putative | location=PvP01_02_v2:562878-567950(+) | protein_length=1690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1301at5820           -           1082   0.00033   17.1   1.9   1   3    0.0049       6.4    2.9   0.1   198   359   346   524   326   530 0.51 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1301at5820           -           1082   0.00033   17.1   1.9   2   3   7.3e-06    0.0095   12.2   0.1   586   650  1052  1117   947  1131 0.73 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0821200.1-p1   -           1723 1301at5820           -           1082   0.00033   17.1   1.9   3   3      0.09   1.2e+02   -1.3   0.0   679   732  1276  1329  1271  1343 0.71 | transcript=PVP01_0821200.1 | gene=PVP01_0821200 | organism=Plasmodium_vivax_P01 | gene_product=P4-type ATPase ATP7, putative | transcript_product=P4-type ATPase ATP7, putative | location=PvP01_08_v2:924410-929581(-) | protein_length=1723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1301at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1301at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1301at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:30 2026
# [ok]
