#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1135200.1-p1   -           1986 719at5820            -           1037         0 1396.1  86.6   1   8   5.1e-84   5.6e-81  271.3   2.7     3   174     5   189     3   194 0.92 | transcript=PVP01_1135200.1 | gene=PVP01_1135200 | organism=Plasmodium_vivax_P01 | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=PvP01_11_v2:1496584-1502544(+) | protein_length=1986 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 719at5820            -           1037   1.5e-46  157.3   1.8   1   2   1.6e-33   1.8e-30  104.1   0.0    32   253    35   275    12   281 0.79 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225400.1-p1   -           1992 719at5820            -           1037   1.5e-46  157.3   1.8   2   2   3.1e-16   3.4e-13   46.9   0.3   325   562   410   680   375   758 0.78 | transcript=PVP01_1225400.1 | gene=PVP01_1225400 | organism=Plasmodium_vivax_P01 | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=PvP01_12_v2:985781-992295(+) | protein_length=1992 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 719at5820            -           1037   1.9e-27   94.1  63.0   1   6   3.8e-14   4.1e-11   40.0   5.6    57   174    91   222    28   235 0.81 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 719at5820            -           1037   1.9e-27   94.1  63.0   2   6   1.3e-16   1.5e-13   48.1   0.4   181   277   345   441   334   446 0.84 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 719at5820            -           1037   1.9e-27   94.1  63.0   3   6      0.32   3.5e+02   -2.8   0.0   294   321   555   582   542   591 0.71 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 719at5820            -           1037   1.9e-27   94.1  63.0   4   6   7.5e-09   8.2e-06   22.5  13.6   418   551   743   912   738   930 0.64 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 719at5820            -           1037   1.9e-27   94.1  63.0   5   6   0.00024      0.26    7.5   8.7   566   695   993  1151   987  1343 0.76 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0941200.1-p1   -           1716 719at5820            -           1037   1.9e-27   94.1  63.0   6   6       1.7   1.8e+03   -5.1   3.1   767   805  1596  1631  1573  1650 0.48 | transcript=PVP01_0941200.1 | gene=PVP01_0941200 | organism=Plasmodium_vivax_P01 | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=PvP01_09_v2:1802551-1808175(+) | protein_length=1716 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 719at5820            -           1037   2.4e-24   83.8  21.1   1   4   1.5e-14   1.7e-11   41.3   0.2    60   177    95   228    43   242 0.80 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 719at5820            -           1037   2.4e-24   83.8  21.1   2   4   1.1e-15   1.1e-12   45.2   9.5   182   471   264   601   257   637 0.74 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 719at5820            -           1037   2.4e-24   83.8  21.1   3   4      0.11   1.2e+02   -1.2   0.0   512   556   674   718   634   719 0.89 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1448000.1-p1   -           1872 719at5820            -           1037   2.4e-24   83.8  21.1   4   4     0.096     1e+02   -1.0   0.8   608   672   792   863   774   889 0.65 | transcript=PVP01_1448000.1 | gene=PVP01_1448000 | organism=Plasmodium_vivax_P01 | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=PvP01_14_v2:2078986-2085183(-) | protein_length=1872 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/719at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/719at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/719at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:36 2026
# [ok]
