#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1202800.1-p1   -           1793 1177at5820           -           1061         0 1501.7 134.9   1  10     3e-12   6.4e-09   33.0   2.4     1    38     1    39     1    58 0.82 | transcript=PVP01_1202800.1 | gene=PVP01_1202800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:116814-122195(-) | protein_length=1793 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1247800.1-p1   -            795 1177at5820           -           1061   1.5e-15   54.9  36.1   2   2   5.1e-16   1.1e-12   45.4  28.3   698  1058   377   721   334   724 0.76 | transcript=PVP01_1247800.1 | gene=PVP01_1247800 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=PvP01_12_v2:1944432-1946819(-) | protein_length=795 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1020500.1-p1   -            288 1177at5820           -           1061    0.0051   13.4   0.1   1   1     4e-06    0.0086   12.7   0.1   793   884    57   138    30   144 0.72 | transcript=PVP01_1020500.1 | gene=PVP01_1020500 | organism=Plasmodium_vivax_P01 | gene_product=GTP-binding protein YihA1, putative | transcript_product=GTP-binding protein YihA1, putative | location=PvP01_10_v2:886857-889055(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1177at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1177at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1177at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:38 2026
# [ok]
