#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1314200.1-p1   -           3056 142at5820            -           2479         0 5357.4 107.5   1   5  3.5e-269  1.1e-266  886.5   6.3     2   390    52   440    51   455 0.99 | transcript=PVP01_1314200.1 | gene=PVP01_1314200 | organism=Plasmodium_vivax_P01 | gene_product=glutamate synthase [NADH], putative | transcript_product=glutamate synthase [NADH], putative | location=PvP01_13_v2:645712-654882(+) | protein_length=3056 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0901900.1-p1   -            315 142at5820            -           2479      0.48    5.4  25.0   1   1    0.0019      0.63    5.0  25.0  1403  1458   100   159    88   173 0.42 | transcript=PVP01_0901900.1 | gene=PVP01_0901900 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:121387-122455(+) | protein_length=315 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1233000.1-p1   -            697 142at5820            -           2479       1.4    3.9  12.2   1   1    0.0052       1.7    3.6  12.2  1412  1474   412   472   370   567 0.74 | transcript=PVP01_1233000.1 | gene=PVP01_1233000 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly 1 protein, putative | transcript_product=ribosome assembly 1 protein, putative | location=PvP01_12_v2:1328725-1330818(-) | protein_length=697 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1228600.1-p1   -            822 142at5820            -           2479       1.5    3.7   4.1   1   1    0.0063       2.1    3.3   4.1  1417  1453   505   538   475   554 0.47 | transcript=PVP01_1228600.1 | gene=PVP01_1228600 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_12_v2:1134415-1137148(-) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0617300.1-p1   -            247 142at5820            -           2479       1.6    3.7  18.8   1   1    0.0048       1.6    3.7  18.8  1406  1466   156   219    45   230 0.78 | transcript=PVP01_0617300.1 | gene=PVP01_0617300 | organism=Plasmodium_vivax_P01 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=PvP01_06_v2:716723-718100(-) | protein_length=247 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1318100.1-p1   -            780 142at5820            -           2479       2.3    3.1  17.5   1   1      0.01       3.3    2.6  17.5  1402  1445   203   246   120   264 0.61 | transcript=PVP01_1318100.1 | gene=PVP01_1318100 | organism=Plasmodium_vivax_P01 | gene_product=large subunit GTPase 1, putative | transcript_product=large subunit GTPase 1, putative | location=PvP01_13_v2:841539-844043(-) | protein_length=780 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1218000.1-p1   -            139 142at5820            -           2479       4.2    2.3  25.0   1   1     0.014       4.6    2.1  25.0  1409  1461    83   135    58   139 0.43 | transcript=PVP01_1218000.1 | gene=PVP01_1218000 | organism=Plasmodium_vivax_P01 | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=PvP01_12_v2:750454-750873(+) | protein_length=139 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301400.1-p1   -            380 142at5820            -           2479       8.5    1.3  21.4   1   1     0.033        11    0.9  21.4  1399  1464   191   254   152   302 0.55 | transcript=PVP01_1301400.1 | gene=PVP01_1301400 | organism=Plasmodium_vivax_P01 | gene_product=SRAP domain-containing protein, putative | transcript_product=SRAP domain-containing protein, putative | location=PvP01_13_v2:56021-58293(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0106500.1-p1   -            162 142at5820            -           2479       9.9    1.0  11.7   1   1     0.034        11    0.9  11.7  1405  1468     6    66     1    88 0.49 | transcript=PVP01_0106500.1 | gene=PVP01_0106500 | organism=Plasmodium_vivax_P01 | gene_product=apicomplexan kinetochore protein 11, putative | transcript_product=apicomplexan kinetochore protein 11, putative | location=PvP01_01_v2:338072-338769(+) | protein_length=162 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/142at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/142at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/142at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:09 2026
# [ok]
