#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1319200.1-p1   -            723 5905at5820           -            437  5.2e-255  844.5  20.6   1   3   2.3e-15   2.5e-12   44.8   0.3    18    74    62   119    57   130 0.82 | transcript=PVP01_1319200.1 | gene=PVP01_1319200 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IX, putative | transcript_product=plasmepsin IX, putative | location=PvP01_13_v2:877201-880554(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1340900.1-p1   -            450 5905at5820           -            437   8.5e-25   85.9  11.1   2   2   0.00016      0.17    9.1   1.7   301   409   329   440   322   450 0.72 | transcript=PVP01_1340900.1 | gene=PVP01_1340900 | organism=Plasmodium_vivax_P01 | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=PvP01_13_v2:1801248-1802600(-) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0618900.1-p1   -            479 5905at5820           -            437     3e-11   41.2   3.7   1   1   4.9e-14   5.3e-11   40.4   3.7    75   409    84   428    71   448 0.72 | transcript=PVP01_0618900.1 | gene=PVP01_0618900 | organism=Plasmodium_vivax_P01 | gene_product=aspartyl protease, putative | transcript_product=aspartyl protease, putative | location=PvP01_06_v2:775043-777616(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5905at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5905at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5905at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:44:01 2026
# [ok]
