#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1238100.1-p1   -            398 6975at5820           -            385  5.5e-275  909.6   5.6   1   1  3.6e-277  6.2e-275  909.5   5.6     1   385     8   393     8   393 1.00 | transcript=PVP01_1238100.1 | gene=PVP01_1238100 | organism=Plasmodium_vivax_P01 | gene_product=eukaryotic initiation factor 4a, putative | transcript_product=eukaryotic initiation factor 4a, putative | location=PvP01_12_v2:1503914-1505456(-) | protein_length=398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1025300.1-p1   -           1465 6975at5820           -            385   1.7e-55  187.1   0.2   1   1   1.5e-57   2.5e-55  186.5   0.2    14   384   682  1064   670  1065 0.89 | transcript=PVP01_1025300.1 | gene=PVP01_1025300 | organism=Plasmodium_vivax_P01 | gene_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | transcript_product=pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative | location=PvP01_10_v2:1104501-1108898(-) | protein_length=1465 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0406600.1-p1   -            542 6975at5820           -            385   7.4e-55  185.0   0.3   1   1   5.8e-57   9.9e-55  184.6   0.3    14   365   134   484   121   503 0.90 | transcript=PVP01_0406600.1 | gene=PVP01_0406600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX47, putative | transcript_product=ATP-dependent RNA helicase DDX47, putative | location=PvP01_04_v2:278406-280034(+) | protein_length=542 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1005900.1-p1   -            667 6975at5820           -            385   1.2e-53  181.1   0.0   1   1     1e-55   1.7e-53  180.5   0.0    23   364   226   579   208   591 0.87 | transcript=PVP01_1005900.1 | gene=PVP01_1005900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX41, putative | transcript_product=ATP-dependent RNA helicase DDX41, putative | location=PvP01_10_v2:267076-269079(-) | protein_length=667 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 6975at5820           -            385     6e-52  175.4   0.3   1   2   7.4e-06    0.0013   16.3   0.0    21    71   132   182   120   192 0.88 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1029600.1-p1   -            720 6975at5820           -            385     6e-52  175.4   0.3   2   2   1.3e-48   2.2e-46  157.1   0.1    86   374   227   517   220   530 0.87 | transcript=PVP01_1029600.1 | gene=PVP01_1029600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=PvP01_10_v2:1280812-1282974(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0616600.1-p1   -           1015 6975at5820           -            385   1.1e-51  174.5   1.4   1   1     1e-53   1.7e-51  173.9   1.4    24   368   634   996   624  1007 0.84 | transcript=PVP01_0616600.1 | gene=PVP01_0616600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase DDX3X, putative | transcript_product=ATP-dependent DNA helicase DDX3X, putative | location=PvP01_06_v2:688120-692213(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1222000.1-p1   -            489 6975at5820           -            385   5.6e-47  159.1   0.1   1   1   1.7e-48   2.9e-46  156.7   0.1    15   362    58   425    45   432 0.86 | transcript=PVP01_1222000.1 | gene=PVP01_1222000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP8, putative | transcript_product=ATP-dependent RNA helicase DBP8, putative | location=PvP01_12_v2:871025-872494(+) | protein_length=489 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1118600.1-p1   -            599 6975at5820           -            385   1.7e-45  154.1   0.8   1   1   1.5e-47   2.5e-45  153.6   0.8    16   360   147   496   134   513 0.89 | transcript=PVP01_1118600.1 | gene=PVP01_1118600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=PvP01_11_v2:784229-786377(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507400.1-p1   -           1175 6975at5820           -            385   1.2e-42  144.8   1.5   1   2     7e-45   1.2e-42  144.8   1.5    14   362   165   523   156   526 0.90 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507400.1-p1   -           1175 6975at5820           -            385   1.2e-42  144.8   1.5   2   2       6.2   1.1e+03   -3.1   0.1   156   176   955   975   947   977 0.80 | transcript=PVP01_0507400.1 | gene=PVP01_0507400 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP10, putative | transcript_product=ATP-dependent RNA helicase DBP10, putative | location=PvP01_05_v2:324795-328322(+) | protein_length=1175 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 6975at5820           -            385   3.7e-42  143.2   5.6   1   2   0.00015     0.025   12.1   0.0    23    82   262   322   252   326 0.87 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0818600.1-p1   -            762 6975at5820           -            385   3.7e-42  143.2   5.6   2   2   8.8e-41   1.5e-38  131.3   3.1    84   363   379   659   374   675 0.90 | transcript=PVP01_0818600.1 | gene=PVP01_0818600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX42, putative | transcript_product=ATP-dependent RNA helicase DDX42, putative | location=PvP01_08_v2:816280-818806(-) | protein_length=762 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468600.1-p1   -            731 6975at5820           -            385   9.8e-41  138.5   1.8   1   1   9.7e-41   1.7e-38  131.2   1.8    20   371   109   494    92   503 0.81 | transcript=PVP01_1468600.1 | gene=PVP01_1468600 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DRS1, putative | transcript_product=ATP-dependent RNA helicase DRS1, putative | location=PvP01_14_v2:2916347-2918542(+) | protein_length=731 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 6975at5820           -            385   2.7e-33  114.0   4.1   1   3     8e-11   1.4e-08   32.7   0.0    16    78     3    65     1    71 0.95 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 6975at5820           -            385   2.7e-33  114.0   4.1   2   3   1.1e-12   1.9e-10   38.8   0.2    57   246   303   496   296   543 0.80 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1012200.1-p1   -            816 6975at5820           -            385   2.7e-33  114.0   4.1   3   3   1.2e-13     2e-11   42.0   0.3   272   365   599   692   543   701 0.88 | transcript=PVP01_1012200.1 | gene=PVP01_1012200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX1, putative | transcript_product=ATP-dependent RNA helicase DDX1, putative | location=PvP01_10_v2:558667-561117(-) | protein_length=816 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1330000.1-p1   -            877 6975at5820           -            385   3.8e-32  110.2   5.4   1   1   3.3e-34   5.7e-32  109.7   5.4    16   366   135   497   120   513 0.81 | transcript=PVP01_1330000.1 | gene=PVP01_1330000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP4, putative | transcript_product=ATP-dependent RNA helicase DBP4, putative | location=PvP01_13_v2:1271625-1274418(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1408200.1-p1   -            626 6975at5820           -            385     1e-31  108.8   4.4   1   1   1.1e-33     2e-31  107.9   4.4    50   362   185   511   148   525 0.79 | transcript=PVP01_1408200.1 | gene=PVP01_1408200 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP6, putative | transcript_product=ATP-dependent RNA helicase DBP6, putative | location=PvP01_14_v2:382345-384225(+) | protein_length=626 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 6975at5820           -            385   3.1e-28   97.3   0.2   1   2   6.3e-17   1.1e-14   52.8   0.0    15   214    92   303    79   312 0.76 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458900.1-p1   -            847 6975at5820           -            385   3.1e-28   97.3   0.2   2   2     1e-13   1.8e-11   42.2   0.0   313   378   511   577   507   583 0.88 | transcript=PVP01_1458900.1 | gene=PVP01_1458900 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DBP9, putative | transcript_product=ATP-dependent RNA helicase DBP9, putative | location=PvP01_14_v2:2575210-2577753(-) | protein_length=847 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 6975at5820           -            385   2.2e-27   94.6   0.2   1   2   2.8e-18   4.8e-16   57.2   0.1    22   182   139   310   129   317 0.82 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0317000.1-p1   -            838 6975at5820           -            385   2.2e-27   94.6   0.2   2   2   1.5e-11   2.6e-09   35.1   0.0   281   358   604   684   586   702 0.85 | transcript=PVP01_0317000.1 | gene=PVP01_0317000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX31, putative | transcript_product=ATP-dependent RNA helicase DDX31, putative | location=PvP01_03_v2:738869-741385(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 6975at5820           -            385   9.9e-25   85.8   1.8   1   2   9.5e-14   1.6e-11   42.3   0.2    26   198   251   447   242   474 0.77 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1261800.1-p1   -            791 6975at5820           -            385   9.9e-25   85.8   1.8   2   2   7.1e-14   1.2e-11   42.7   0.1   282   372   600   693   584   704 0.85 | transcript=PVP01_1261800.1 | gene=PVP01_1261800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase MAK5, putative | transcript_product=ATP-dependent RNA helicase MAK5, putative | location=PvP01_12_v2:2548870-2551662(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 6975at5820           -            385   7.2e-23   79.7   4.7   1   2   1.4e-07   2.4e-05   22.0   0.0    27    73   143   190   137   197 0.85 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0606700.1-p1   -            634 6975at5820           -            385   7.2e-23   79.7   4.7   2   2     2e-18   3.5e-16   57.7   2.2    85   363   262   546   257   565 0.80 | transcript=PVP01_0606700.1 | gene=PVP01_0606700 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase ROK1, putative | transcript_product=ATP-dependent RNA helicase ROK1, putative | location=PvP01_06_v2:268849-270753(-) | protein_length=634 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6975at5820           -            385   3.6e-21   74.1   5.3   1   4   0.00041      0.07   10.6   0.0    15    70    27    82    16    94 0.84 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6975at5820           -            385   3.6e-21   74.1   5.3   2   4       7.9   1.4e+03   -3.5   0.0    86   100   133   147   131   152 0.84 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6975at5820           -            385   3.6e-21   74.1   5.3   3   4   0.00075      0.13    9.7   0.5   112   198   213   323   193   336 0.71 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0113300.1-p1   -           1261 6975at5820           -            385   3.6e-21   74.1   5.3   4   4   2.1e-16   3.7e-14   51.0   0.2   281   361   622   704   563   713 0.85 | transcript=PVP01_0113300.1 | gene=PVP01_0113300 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase PSH3, putative | transcript_product=DNA helicase PSH3, putative | location=PvP01_01_v2:597824-601609(+) | protein_length=1261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6975at5820           -            385   5.9e-21   73.4   4.7   1   4     0.024       4.2    4.8   0.0    17    77    50   110    40   119 0.84 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6975at5820           -            385   5.9e-21   73.4   4.7   2   4     0.056       9.6    3.6   0.0    83   105   240   262   231   281 0.85 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6975at5820           -            385   5.9e-21   73.4   4.7   3   4   8.3e-07   0.00014   19.5   0.0   128   201   311   387   289   398 0.85 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1329800.1-p1   -            995 6975at5820           -            385   5.9e-21   73.4   4.7   4   4   5.3e-14   9.1e-12   43.2   1.4   272   365   547   643   530   662 0.81 | transcript=PVP01_1329800.1 | gene=PVP01_1329800 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent RNA helicase DDX55, putative | transcript_product=ATP-dependent RNA helicase DDX55, putative | location=PvP01_13_v2:1260717-1263704(-) | protein_length=995 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 6975at5820           -            385   1.6e-18   65.4   0.5   1   2     0.037       6.4    4.2   0.1    51   108   196   255   160   280 0.77 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1301300.1-p1   -            869 6975at5820           -            385   1.6e-18   65.4   0.5   2   2   6.9e-19   1.2e-16   59.2   0.0   253   370   533   650   522   659 0.87 | transcript=PVP01_1301300.1 | gene=PVP01_1301300 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA/RNA helicase PSH2, putative | transcript_product=ATP-dependent DNA/RNA helicase PSH2, putative | location=PvP01_13_v2:50765-54538(-) | protein_length=869 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 6975at5820           -            385   8.8e-16   56.4   1.2   1   2     0.033       5.6    4.3   0.0   128   175   429   479   410   493 0.76 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105800.1-p1   -           1051 6975at5820           -            385   8.8e-16   56.4   1.2   2   2   4.1e-16     7e-14   50.1   0.5   255   344   761   849   755   859 0.92 | transcript=PVP01_0105800.1 | gene=PVP01_0105800 | organism=Plasmodium_vivax_P01 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=PvP01_01_v2:313457-316612(-) | protein_length=1051 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 6975at5820           -            385   2.8e-13   48.2   0.3   1   2      0.51        87    0.4   0.0    10    89   137   216   130   222 0.82 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0907400.1-p1   -           1329 6975at5820           -            385   2.8e-13   48.2   0.3   2   2   1.3e-14   2.3e-12   45.1   0.2   254   352   885   983   876  1006 0.85 | transcript=PVP01_0907400.1 | gene=PVP01_0907400 | organism=Plasmodium_vivax_P01 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=PvP01_09_v2:394370-398359(+) | protein_length=1329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717000.1-p1   -            732 6975at5820           -            385   2.7e-12   44.9   0.3   1   2       2.6   4.4e+02   -1.9   0.2    73   130   163   220   156   228 0.77 | transcript=PVP01_0717000.1 | gene=PVP01_0717000 | organism=Plasmodium_vivax_P01 | gene_product=ATP-dependent DNA helicase Q1, putative | transcript_product=ATP-dependent DNA helicase Q1, putative | location=PvP01_07_v2:757887-760085(+) | protein_length=732 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
