#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0709200.1-p1   -            599 4838at5820           -            434  6.5e-236  781.6  14.3   1   3  3.6e-102   2.9e-99  331.3   3.8     1   180    13   199    13   215 0.98 | transcript=PVP01_0709200.1 | gene=PVP01_0709200 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_07_v2:473382-475181(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0911500.1-p1   -            378 4838at5820           -            434   2.9e-09   34.7   0.1   1   1   8.2e-11   6.7e-08   30.2   0.1   321   423   266   369    92   376 0.82 | transcript=PVP01_0911500.1 | gene=PVP01_0911500 | organism=Plasmodium_vivax_P01 | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=PvP01_09_v2:560130-561977(+) | protein_length=378 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 4838at5820           -            434   4.5e-05   20.9   1.8   1   2      0.97   7.9e+02   -2.9   0.1   181   229   444   488   427   527 0.52 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0315000.1-p1   -            855 4838at5820           -            434   4.5e-05   20.9   1.8   2   2   5.6e-08   4.5e-05   20.9   1.8   317   419   753   852   744   854 0.86 | transcript=PVP01_0315000.1 | gene=PVP01_0315000 | organism=Plasmodium_vivax_P01 | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=PvP01_03_v2:671191-673758(+) | protein_length=855 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4838at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4838at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4838at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:10 2026
# [ok]
