#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1449600.1-p1   -           2142 1010at5820           -           1125         0 1722.4 140.4   1  11  5.1e-206  1.7e-202  673.8  27.6     1   302     1   305     1   311 0.98 | transcript=PVP01_1449600.1 | gene=PVP01_1449600 | organism=Plasmodium_vivax_P01 | gene_product=membrane protein ICM1, putative | transcript_product=membrane protein ICM1, putative | location=PvP01_14_v2:2151930-2158830(-) | protein_length=2142 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   1   4     4e-39   1.3e-35  121.2  35.7    16   257    62   293    52   309 0.89 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   2   4   1.7e-32   5.4e-29   99.2  30.4   373   534   322   499   314   514 0.86 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   3   4         2   6.5e+03   -8.5  10.9   764   847   755   837   722   894 0.35 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1307500.1-p1   -           1539 1010at5820           -           1125   7.6e-61  204.7  74.1   4   4       0.1   3.4e+02   -2.7   0.9  1087  1122  1501  1537  1487  1539 0.81 | transcript=PVP01_1307500.1 | gene=PVP01_1307500 | organism=Plasmodium_vivax_P01 | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=PvP01_13_v2:346682-351301(+) | protein_length=1539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1010at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1010at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1010at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:42 2026
# [ok]
