#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1202300.1-p1   -            209 12072at5820          -            169  3.7e-105  347.6   3.7   1   1  8.4e-108  4.6e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVP01_1202300.1 | gene=PVP01_1202300 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=PvP01_12_v2:97200-98220(+) | protein_length=209 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1209700.1-p1   -            157 12072at5820          -            169   4.9e-09   34.8   0.3   1   1   1.3e-11   7.2e-09   34.3   0.3    35   107    69   142    59   155 0.86 | transcript=PVP01_1209700.1 | gene=PVP01_1209700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=PvP01_12_v2:398246-399338(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0928200.1-p1   -            424 12072at5820          -            169   8.4e-07   27.5   0.4   1   1   4.1e-09   2.3e-06   26.1   0.4    33   114    43   134    15   155 0.74 | transcript=PVP01_0928200.1 | gene=PVP01_0928200 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=PvP01_09_v2:1231897-1235400(+) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1249700.1-p1   -            104 12072at5820          -            169   4.3e-06   25.2   0.1   1   1     9e-09   4.9e-06   25.0   0.1    38   103    21    85    10   102 0.85 | transcript=PVP01_1249700.1 | gene=PVP01_1249700 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=PvP01_12_v2:2029499-2029947(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0714500.1-p1   -            179 12072at5820          -            169   4.4e-06   25.2   0.1   1   1   1.1e-08   5.9e-06   24.8   0.1    24   100    75   149    60   173 0.85 | transcript=PVP01_0714500.1 | gene=PVP01_0714500 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=PvP01_07_v2:663476-664676(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0724000.1-p1   -            133 12072at5820          -            169   0.00023   19.6   0.0   1   1   5.2e-07   0.00028   19.3   0.0    38   103    44   108    19   125 0.80 | transcript=PVP01_0724000.1 | gene=PVP01_0724000 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=PvP01_07_v2:1027022-1028145(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 12072at5820          -            169    0.0059   15.0  11.9   1   4      0.14        77    1.6   0.1    13    74    39    98    20   105 0.72 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 12072at5820          -            169    0.0059   15.0  11.9   2   4      0.15        82    1.5   0.4    71   112   156   199   143   215 0.76 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 12072at5820          -            169    0.0059   15.0  11.9   3   4   0.00062      0.34    9.3   0.8    62   107   198   243   183   260 0.73 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905200.1-p1   -            430 12072at5820          -            169    0.0059   15.0  11.9   4   4    0.0015      0.83    8.0   0.2    72   120   344   392   332   403 0.89 | transcript=PVP01_0905200.1 | gene=PVP01_0905200 | organism=Plasmodium_vivax_P01 | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=PvP01_09_v2:315269-316690(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717800.1-p1   -            518 12072at5820          -            169     0.013   13.9   0.6   1   2   8.5e-05     0.046   12.1   0.3    48    98    75   126    24   188 0.82 | transcript=PVP01_0717800.1 | gene=PVP01_0717800 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=PvP01_07_v2:790787-792741(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0717800.1-p1   -            518 12072at5820          -            169     0.013   13.9   0.6   2   2      0.87   4.8e+02   -1.0   0.0    42    78   423   465   407   484 0.68 | transcript=PVP01_0717800.1 | gene=PVP01_0717800 | organism=Plasmodium_vivax_P01 | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=PvP01_07_v2:790787-792741(+) | protein_length=518 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:34 2026
# [ok]
