#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1006800.1-p1   -            971 2247at5820           -            776         0 1691.9  28.1   1   2         0         0 1574.8  19.6     1   712    25   796    25   821 0.96 | transcript=PVP01_1006800.1 | gene=PVP01_1006800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=PvP01_10_v2:298381-301416(+) | protein_length=971 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1116800.1-p1   -            944 2247at5820           -            776   6.9e-66  221.2   6.6   3   3   0.00079      0.64    6.4   0.2   626   694   689   756   674   788 0.76 | transcript=PVP01_1116800.1 | gene=PVP01_1116800 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=PvP01_11_v2:720577-723411(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 2247at5820           -            776   3.5e-64  215.6   0.3   1   2   9.1e-65   7.4e-62  207.9   0.1   223   549   281   612   267   630 0.88 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0105600.1-p1   -            832 2247at5820           -            776   3.5e-64  215.6   0.3   2   2    0.0012      0.94    5.8   0.0   623   691   639   709   627   716 0.76 | transcript=PVP01_0105600.1 | gene=PVP01_0105600 | organism=Plasmodium_vivax_P01 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=PvP01_01_v2:296834-299332(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 2247at5820           -            776   9.2e-42  141.4   0.3   1   2   8.7e-40   7.1e-37  125.3   0.0   331   545   809  1029   794  1040 0.87 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1310500.1-p1   -           1321 2247at5820           -            776   9.2e-42  141.4   0.3   2   2   4.6e-06    0.0038   13.7   0.3   625   706  1152  1231  1147  1309 0.70 | transcript=PVP01_1310500.1 | gene=PVP01_1310500 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM8, putative | transcript_product=DNA helicase MCM8, putative | location=PvP01_13_v2:482705-487343(-) | protein_length=1321 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 2247at5820           -            776   5.8e-29   99.1   4.0   1   2   9.8e-29     8e-26   88.7   0.6   373   535   878  1046   867  1053 0.84 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0525700.1-p1   -           1314 2247at5820           -            776   5.8e-29   99.1   4.0   2   2   2.7e-05     0.022   11.2   0.1   651   704  1189  1242  1170  1270 0.80 | transcript=PVP01_0525700.1 | gene=PVP01_0525700 | organism=Plasmodium_vivax_P01 | gene_product=DNA helicase MCM9, putative | transcript_product=DNA helicase MCM9, putative | location=PvP01_05_v2:1039092-1043036(-) | protein_length=1314 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2247at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2247at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2247at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:55 2026
# [ok]
