#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0921600.1-p1   -            289 10811at5820          -            241  6.8e-136  449.9  28.4   1   1  1.7e-138  8.5e-136  449.5  28.4     1   241     5   269     5   269 0.93 | transcript=PVP01_0921600.1 | gene=PVP01_0921600 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC3, putative | transcript_product=palmitoyltransferase DHHC3, putative | location=PvP01_09_v2:936511-938168(+) | protein_length=289 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1232100.1-p1   -            641 10811at5820          -            241     3e-09   35.2   3.7   1   1   1.2e-11     6e-09   34.2   3.7    87   155   434   500   421   540 0.79 | transcript=PVP01_1232100.1 | gene=PVP01_1232100 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC5, putative | transcript_product=palmitoyltransferase DHHC5, putative | location=PvP01_12_v2:1267021-1269831(-) | protein_length=641 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 10811at5820          -            241   1.8e-07   29.4  18.9   1   2       1.4   6.8e+02   -2.0   1.1    21    40   266   285   252   311 0.56 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0836800.1-p1   -            611 10811at5820          -            241   1.8e-07   29.4  18.9   2   2   3.6e-10   1.8e-07   29.4  18.9    92   218   432   548   404   562 0.63 | transcript=PVP01_0836800.1 | gene=PVP01_0836800 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC1, putative | transcript_product=palmitoyltransferase DHHC1, putative | location=PvP01_08_v2:1549276-1552050(-) | protein_length=611 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 10811at5820          -            241   6.2e-07   27.6  13.3   1   2       1.5   7.8e+02   -2.2   5.0   140   187    23    71    13    82 0.50 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0613000.1-p1   -            281 10811at5820          -            241   6.2e-07   27.6  13.3   2   2   1.2e-09   6.2e-07   27.6  13.3    89   220   109   232    58   245 0.71 | transcript=PVP01_0613000.1 | gene=PVP01_0613000 | organism=Plasmodium_vivax_P01 | gene_product=palmitoyltransferase DHHC10, putative | transcript_product=palmitoyltransferase DHHC10, putative | location=PvP01_06_v2:560817-563386(+) | protein_length=281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0801300.1-p1   -            220 10811at5820          -            241    0.0017   16.4   0.3   1   2      0.55   2.8e+02   -0.7   0.0    22    41    44    61    25    69 0.54 | transcript=PVP01_0801300.1 | gene=PVP01_0801300 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_08_v2:72077-72911(-) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0801300.1-p1   -            220 10811at5820          -            241    0.0017   16.4   0.3   2   2   1.3e-05    0.0064   14.5   0.1    27    66   164   203   138   209 0.87 | transcript=PVP01_0801300.1 | gene=PVP01_0801300 | organism=Plasmodium_vivax_P01 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=PvP01_08_v2:72077-72911(-) | protein_length=220 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10811at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10811at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10811at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:20 2026
# [ok]
