#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1439900.1-p1   -            430 8306at5820           -            317  7.3e-162  536.6  13.9   1   2   3.8e-36   1.3e-33  115.2   0.3     1    82     8   100     8   112 0.88 | transcript=PVP01_1439900.1 | gene=PVP01_1439900 | organism=Plasmodium_vivax_P01 | gene_product=protein TSSC1, putative | transcript_product=protein TSSC1, putative | location=PvP01_14_v2:1702773-1704065(+) | protein_length=430 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 8306at5820           -            317   8.3e-10   37.0   1.5   3   4   2.4e-12   8.3e-10   37.0   1.5   140   254   434   546   424   559 0.90 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1210900.1-p1   -            644 8306at5820           -            317   8.3e-10   37.0   1.5   4   4      0.13        46    1.7   0.6   179   221   558   601   544   636 0.61 | transcript=PVP01_1210900.1 | gene=PVP01_1210900 | organism=Plasmodium_vivax_P01 | gene_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | transcript_product=U4/U6 small nuclear ribonucleoprotein PRP4, putative | location=PvP01_12_v2:454911-456845(-) | protein_length=644 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 8306at5820           -            317   1.1e-09   36.6   4.1   1   2      0.61   2.1e+02   -0.4   0.0   191   210   272   292   270   298 0.81 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1225200.1-p1   -            533 8306at5820           -            317   1.1e-09   36.6   4.1   2   2   6.3e-12   2.2e-09   35.6   2.2   137   300   339   519   314   529 0.77 | transcript=PVP01_1225200.1 | gene=PVP01_1225200 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit B, putative | transcript_product=chromatin assembly factor 1 subunit B, putative | location=PvP01_12_v2:980220-981821(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8306at5820           -            317     3e-08   31.9   3.4   1   3       2.5   8.7e+02   -2.5   0.0   175   208   201   234   190   235 0.85 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8306at5820           -            317     3e-08   31.9   3.4   2   3   4.1e-10   1.4e-07   29.7   0.8   178   255   325   402   315   412 0.93 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0519300.1-p1   -            458 8306at5820           -            317     3e-08   31.9   3.4   3   3   0.00056      0.19    9.5   1.0   179   247   370   449   370   454 0.77 | transcript=PVP01_0519300.1 | gene=PVP01_0519300 | organism=Plasmodium_vivax_P01 | gene_product=ribosome assembly protein RRB1, putative | transcript_product=ribosome assembly protein RRB1, putative | location=PvP01_05_v2:793390-794766(+) | protein_length=458 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 8306at5820           -            317   9.2e-08   30.3   3.0   1   4       1.3   4.3e+02   -1.5   0.0   223   250    19    47    16    57 0.67 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 8306at5820           -            317   9.2e-08   30.3   3.0   2   4   5.1e-09   1.7e-06   26.1   0.3   172   257   105   190    86   213 0.80 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 8306at5820           -            317   9.2e-08   30.3   3.0   3   4       1.3   4.4e+02   -1.5   0.0   198   210   217   229   205   241 0.81 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0507600.1-p1   -            322 8306at5820           -            317   9.2e-08   30.3   3.0   4   4     0.071        25    2.6   0.0   196   254   255   317   227   321 0.74 | transcript=PVP01_0507600.1 | gene=PVP01_0507600 | organism=Plasmodium_vivax_P01 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=PvP01_05_v2:335035-336445(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 8306at5820           -            317   1.3e-07   29.8   0.2   1   2    0.0054       1.9    6.3   0.0   181   249   440   513   429   554 0.74 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605500.1-p1   -            735 8306at5820           -            317   1.3e-07   29.8   0.2   2   2   1.6e-07   5.6e-05   21.2   0.1   134   231   586   684   575   705 0.86 | transcript=PVP01_0605500.1 | gene=PVP01_0605500 | organism=Plasmodium_vivax_P01 | gene_product=cytoplasmic dynein intermediate chain, putative | transcript_product=cytoplasmic dynein intermediate chain, putative | location=PvP01_06_v2:223767-225974(+) | protein_length=735 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8306at5820           -            317   3.8e-07   28.3   4.4   1   3   6.9e-06    0.0024   15.8   0.1   144   210    25    93     2   113 0.73 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8306at5820           -            317   3.8e-07   28.3   4.4   2   3    0.0058         2    6.2   0.1   174   211    99   134    90   142 0.88 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1007500.1-p1   -            329 8306at5820           -            317   3.8e-07   28.3   4.4   3   3    0.0016      0.56    8.0   0.4    67   127   153   213   135   246 0.76 | transcript=PVP01_1007500.1 | gene=PVP01_1007500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 55, putative | transcript_product=WD repeat-containing protein 55, putative | location=PvP01_10_v2:341065-342054(+) | protein_length=329 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1141000.1-p1   -            361 8306at5820           -            317   1.4e-05   23.2   0.1   1   1   6.6e-08   2.3e-05   22.4   0.1   178   252   190   263   174   302 0.85 | transcript=PVP01_1141000.1 | gene=PVP01_1141000 | organism=Plasmodium_vivax_P01 | gene_product=diphthine methyltransferase, putative | transcript_product=diphthine methyltransferase, putative | location=PvP01_11_v2:1737892-1740448(+) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 8306at5820           -            317   1.5e-05   23.0   3.0   1   3   5.8e-08     2e-05   22.6   1.2   149   256    30   144     3   152 0.78 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 8306at5820           -            317   1.5e-05   23.0   3.0   2   3       1.6   5.5e+02   -1.8   0.0   202   216   194   208   185   247 0.60 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1207800.1-p1   -            363 8306at5820           -            317   1.5e-05   23.0   3.0   3   3       3.8   1.3e+03   -3.0   0.0   292   312   279   299   272   303 0.78 | transcript=PVP01_1207800.1 | gene=PVP01_1207800 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 92, putative | transcript_product=WD repeat-containing protein 92, putative | location=PvP01_12_v2:317847-320011(+) | protein_length=363 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 8306at5820           -            317   1.9e-05   22.7  15.4   1   2   5.4e-07   0.00018   19.4  12.0   153   295   384   529   354   548 0.77 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1444900.1-p1   -            638 8306at5820           -            317   1.9e-05   22.7  15.4   2   2      0.02       6.8    4.4   0.2   193   219   556   582   521   586 0.79 | transcript=PVP01_1444900.1 | gene=PVP01_1444900 | organism=Plasmodium_vivax_P01 | gene_product=U3 small nucleolar RNA-interacting protein 2, putative | transcript_product=U3 small nucleolar RNA-interacting protein 2, putative | location=PvP01_14_v2:1943799-1945715(+) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410800.1-p1   -           1432 8306at5820           -            317   2.1e-05   22.5   4.2   1   3      0.67   2.3e+02   -0.6   0.0   169   210   135   176    92   185 0.81 | transcript=PVP01_0410800.1 | gene=PVP01_0410800 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=PvP01_04_v2:441819-446681(+) | protein_length=1432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410800.1-p1   -           1432 8306at5820           -            317   2.1e-05   22.5   4.2   2   3   5.1e-05     0.017   13.0   0.8   157   217   167   231   115   242 0.66 | transcript=PVP01_0410800.1 | gene=PVP01_0410800 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=PvP01_04_v2:441819-446681(+) | protein_length=1432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0410800.1-p1   -           1432 8306at5820           -            317   2.1e-05   22.5   4.2   3   3   0.00055      0.19    9.6   0.2   180   248   239   310   232   335 0.85 | transcript=PVP01_0410800.1 | gene=PVP01_0410800 | organism=Plasmodium_vivax_P01 | gene_product=protein transport protein SEC31, putative | transcript_product=protein transport protein SEC31, putative | location=PvP01_04_v2:441819-446681(+) | protein_length=1432 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 8306at5820           -            317   2.3e-05   22.4   6.0   1   4     0.088        30    2.3   0.1   158   210   129   184    73   197 0.81 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 8306at5820           -            317   2.3e-05   22.4   6.0   2   4   0.00011     0.039   11.8   0.4   108   213   168   284   148   311 0.64 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 8306at5820           -            317   2.3e-05   22.4   6.0   3   4   0.00034      0.12   10.2   0.3   197   254   312   369   296   408 0.79 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0204400.1-p1   -            447 8306at5820           -            317   2.3e-05   22.4   6.0   4   4     0.032        11    3.8   0.4   174   254   333   428   323   438 0.64 | transcript=PVP01_0204400.1 | gene=PVP01_0204400 | organism=Plasmodium_vivax_P01 | gene_product=chromatin assembly factor 1 subunit C, putative | transcript_product=chromatin assembly factor 1 subunit C, putative | location=PvP01_02_v2:208734-210077(+) | protein_length=447 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 8306at5820           -            317   5.5e-05   21.2   2.2   1   2   9.7e-07   0.00033   18.6   0.3   123   250   346   465   334   470 0.85 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0611600.1-p1   -            661 8306at5820           -            317   5.5e-05   21.2   2.2   2   2      0.14        48    1.7   0.1   175   210   477   514   469   558 0.80 | transcript=PVP01_0611600.1 | gene=PVP01_0611600 | organism=Plasmodium_vivax_P01 | gene_product=cell division cycle protein 20 homolog, putative | transcript_product=cell division cycle protein 20 homolog, putative | location=PvP01_06_v2:510785-512770(-) | protein_length=661 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 8306at5820           -            317   0.00011   20.2   1.7   1   2   3.2e-07   0.00011   20.2   1.7   134   213   212   291   190   296 0.58 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1458200.1-p1   -            472 8306at5820           -            317   0.00011   20.2   1.7   2   2      0.06        21    2.9   1.0   145   230   318   406   309   450 0.69 | transcript=PVP01_1458200.1 | gene=PVP01_1458200 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylation factor subunit 2, putative | transcript_product=polyadenylation factor subunit 2, putative | location=PvP01_14_v2:2537122-2538780(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 8306at5820           -            317   0.00013   20.0   0.9   1   3     0.021       7.1    4.4   0.0   179   212    73   106    67   116 0.82 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 8306at5820           -            317   0.00013   20.0   0.9   2   3   0.00011     0.037   11.9   0.3   177   219   122   164   109   186 0.86 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1468300.1-p1   -            565 8306at5820           -            317   0.00013   20.0   0.9   3   3      0.46   1.6e+02   -0.0   0.0   204   223   241   260   226   268 0.84 | transcript=PVP01_1468300.1 | gene=PVP01_1468300 | organism=Plasmodium_vivax_P01 | gene_product=coronin, putative | transcript_product=coronin, putative | location=PvP01_14_v2:2907698-2909797(+) | protein_length=565 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 8306at5820           -            317    0.0037   15.2   4.4   1   2    0.0012      0.41    8.4   2.6   196   255   260   321   125   330 0.76 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0905300.1-p1   -            616 8306at5820           -            317    0.0037   15.2   4.4   2   2     0.031        11    3.8   0.0   177   211   578   609   563   613 0.81 | transcript=PVP01_0905300.1 | gene=PVP01_0905300 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_09_v2:317280-319130(-) | protein_length=616 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0903400.1-p1   -            261 8306at5820           -            317     0.011   13.6   0.2   1   1   4.7e-05     0.016   13.1   0.2    15    57    17    60     2    81 0.72 | transcript=PVP01_0903400.1 | gene=PVP01_0903400 | organism=Plasmodium_vivax_P01 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=PvP01_09_v2:223661-224570(+) | protein_length=261 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8306at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8306at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8306at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:40 2026
# [ok]
