#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_1142400.1-p1   -            757 4978at5820           -            500    2e-291  965.6  33.8   1   3   1.6e-17   9.5e-15   53.0   1.8     1    44     1    44     1    50 0.94 | transcript=PVP01_1142400.1 | gene=PVP01_1142400 | organism=Plasmodium_vivax_P01 | gene_product=polypyrimidine tract-binding protein, putative | transcript_product=polypyrimidine tract-binding protein, putative | location=PvP01_11_v2:1805221-1808242(+) | protein_length=757 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 4978at5820           -            500     2e-05   22.2   4.2   3   4    0.0066       3.9    4.8   0.3   418   483   189   254   174   267 0.67 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1442500.1-p1   -            885 4978at5820           -            500     2e-05   22.2   4.2   4   4    0.0011      0.62    7.4   0.0   283   342   429   487   388   552 0.63 | transcript=PVP01_1442500.1 | gene=PVP01_1442500 | organism=Plasmodium_vivax_P01 | gene_product=polyadenylate-binding protein 1, putative | transcript_product=polyadenylate-binding protein 1, putative | location=PvP01_14_v2:1852026-1854683(+) | protein_length=885 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0605000.1-p1   -            962 4978at5820           -            500   0.00011   19.8   0.1   1   1   2.8e-07   0.00016   19.2   0.1   399   445   393   439   363   462 0.78 | transcript=PVP01_0605000.1 | gene=PVP01_0605000 | organism=Plasmodium_vivax_P01 | gene_product=tRNA-specific 2-thiouridylase MnmA, putative | transcript_product=tRNA-specific 2-thiouridylase MnmA, putative | location=PvP01_06_v2:205917-208805(-) | protein_length=962 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 4978at5820           -            500   0.00025   18.6   0.0   1   2    0.0059       3.5    4.9   0.0   422   492    23    93     7    98 0.89 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0806500.1-p1   -            250 4978at5820           -            500   0.00025   18.6   0.0   2   2   4.7e-05     0.028   11.8   0.1   415   497   167   249   138   250 0.87 | transcript=PVP01_0806500.1 | gene=PVP01_0806500 | organism=Plasmodium_vivax_P01 | gene_product=G-strand-binding protein 2, putative | transcript_product=G-strand-binding protein 2, putative | location=PvP01_08_v2:283268-284886(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 4978at5820           -            500   0.00044   17.8   0.2   1   2   7.5e-07   0.00044   17.8   0.2   420   496    96   173    87   176 0.89 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0802200.1-p1   -            328 4978at5820           -            500   0.00044   17.8   0.2   2   2         3   1.8e+03   -4.0   1.7   386   420   267   301   251   310 0.57 | transcript=PVP01_0802200.1 | gene=PVP01_0802200 | organism=Plasmodium_vivax_P01 | gene_product=transformer-2 protein homolog beta, putative | transcript_product=transformer-2 protein homolog beta, putative | location=PvP01_08_v2:116660-119781(+) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 4978at5820           -            500     0.005   14.3   0.1   1   2   3.2e-05     0.019   12.4   0.1   422   486   120   185   110   198 0.89 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0521000.1-p1   -            361 4978at5820           -            500     0.005   14.3   0.1   2   2      0.32   1.9e+02   -0.8   0.0   421   492   203   273   197   280 0.79 | transcript=PVP01_0521000.1 | gene=PVP01_0521000 | organism=Plasmodium_vivax_P01 | gene_product=male development protein MD5, putative | transcript_product=male development protein MD5, putative | location=PvP01_05_v2:857281-859698(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_1443100.1-p1   -            110 4978at5820           -            500     0.012   13.1   0.0   1   1   2.2e-05     0.013   13.0   0.0   154   487    11    79     2    95 0.57 | transcript=PVP01_1443100.1 | gene=PVP01_1443100 | organism=Plasmodium_vivax_P01 | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=PvP01_14_v2:1872345-1872932(-) | protein_length=110 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 4978at5820           -            500     0.017   12.5   0.0   1   2     0.012       6.9    3.9   0.0   421   455     8    42     2    87 0.83 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0511100.1-p1   -            292 4978at5820           -            500     0.017   12.5   0.0   2   2    0.0019       1.1    6.6   0.0   418   496   153   231   140   234 0.87 | transcript=PVP01_0511100.1 | gene=PVP01_0511100 | organism=Plasmodium_vivax_P01 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=PvP01_05_v2:482035-483249(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4978at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4978at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4978at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:53 2026
# [ok]
