#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVP01_0704000.1-p1   -           1117 1750at5820           -            846         0 1450.7 105.6   1   4     1e-44   1.4e-41  141.3   0.2     1    92     8   115     8   122 0.90 | transcript=PVP01_0704000.1 | gene=PVP01_0704000 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein 66, putative | transcript_product=WD repeat-containing protein 66, putative | location=PvP01_07_v2:243307-246816(+) | protein_length=1117 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408500.1-p1   -           1498 1750at5820           -            846     0.014   12.3   7.1   2   4     0.023        29    1.3   0.1   357   400    88   132    71   139 0.73 | transcript=PVP01_0408500.1 | gene=PVP01_0408500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:345295-349986(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408500.1-p1   -           1498 1750at5820           -            846     0.014   12.3   7.1   3   4     0.013        18    2.0   0.0   346   404   460   517   453   531 0.74 | transcript=PVP01_0408500.1 | gene=PVP01_0408500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:345295-349986(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVP01_0408500.1-p1   -           1498 1750at5820           -            846     0.014   12.3   7.1   4   4   0.00097       1.3    5.8   0.2   334   398   656   716   630   727 0.76 | transcript=PVP01_0408500.1 | gene=PVP01_0408500 | organism=Plasmodium_vivax_P01 | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=PvP01_04_v2:345295-349986(-) | protein_length=1498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1750at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvP01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1750at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1750at5820.hmm /v3/inputs/annotations/plasmodb-68/PvP01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:28 2026
# [ok]
