#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67473.1           -            453 6375at5820           -            375  1.5e-235  779.6  16.5   1   1  3.2e-238    2e-235  779.2  16.5     7   375    61   451    57   451 0.96 UVB-resistance protein UVR8 homologue [Plasmodium vivax]
SCO67812.1           -           2251 6375at5820           -            375   1.6e-44  151.0  23.2   1   6   6.7e-05     0.041   11.4   0.2    88   175    20   108    10   121 0.74 guanidine nucleotide exchange factor, putative [Plasmodium vivax]
SCO66007.1           -           1729 6375at5820           -            375   5.6e-14   50.4   3.1   2   5   0.00079      0.48    7.8   0.0   195   238   596   639   560   649 0.76 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO66007.1           -           1729 6375at5820           -            375   5.6e-14   50.4   3.1   3   5     6e-05     0.037   11.5   0.0   179   230   666   717   650   730 0.81 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO66007.1           -           1729 6375at5820           -            375   5.6e-14   50.4   3.1   4   5   0.00021      0.12    9.8   0.3   119   165   785   831   771   849 0.79 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO66007.1           -           1729 6375at5820           -            375   5.6e-14   50.4   3.1   5   5      0.27   1.6e+02   -0.5   0.0   138   156  1705  1723  1688  1727 0.79 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO69959.1           -           2755 6375at5820           -            375   2.2e-13   48.5  24.3   1   4       1.5   9.2e+02   -3.0   1.1   297   362    65   133    23   138 0.72 cell cycle associated protein, putative [Plasmodium vivax]
SCO69959.1           -           2755 6375at5820           -            375   2.2e-13   48.5  24.3   2   4      0.12        70    0.7   0.1   215   231  2077  2093  2071  2120 0.87 cell cycle associated protein, putative [Plasmodium vivax]
SCO69959.1           -           2755 6375at5820           -            375   2.2e-13   48.5  24.3   3   4   5.7e-15   3.5e-12   44.5   4.2   102   220  2269  2395  2245  2402 0.78 cell cycle associated protein, putative [Plasmodium vivax]
SCO69959.1           -           2755 6375at5820           -            375   2.2e-13   48.5  24.3   4   4   2.5e-06    0.0015   16.0   1.6   181   292  2396  2517  2394  2533 0.73 cell cycle associated protein, putative [Plasmodium vivax]
SCO67532.1           -            985 6375at5820           -            375     6e-12   43.7   3.3   1   2   2.1e-11   1.3e-08   32.7   0.6   192   281   239   329   195   380 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67532.1           -            985 6375at5820           -            375     6e-12   43.7   3.3   2   2   0.00011     0.065   10.7   0.1   182   235   434   487   421   532 0.69 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66520.1           -           2579 6375at5820           -            375   4.5e-11   40.8  11.6   1   3     8e-09   4.8e-06   24.3   0.8   125   228    66   163    55   170 0.81 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO66520.1           -           2579 6375at5820           -            375   4.5e-11   40.8  11.6   2   3   1.9e-07   0.00012   19.7   2.0   125   232   206   315   194   413 0.70 regulator of chromosome condensation, putative [Plasmodium vivax]
SCO66520.1           -           2579 6375at5820           -            375   4.5e-11   40.8  11.6   3   3       1.5   8.9e+02   -2.9   0.0   111   190  1781  1863  1777  1871 0.73 regulator of chromosome condensation, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/6375at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6375at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:03:35 2026
# [ok]
