#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66542.1           -            147 3825at5820           -            620     2e-68  229.7   8.7   1   1   4.8e-71   3.3e-68  229.0   8.7     1   132     1   147     1   147 0.92 dynein intermediate chain, putative [Plasmodium vivax]
SCO69273.1           -            509 3825at5820           -            620     3e-05   21.1   4.6   2   3   4.4e-08     3e-05   21.1   4.6   408   506   328   436   326   441 0.74 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO69273.1           -            509 3825at5820           -            620     3e-05   21.1   4.6   3   3      0.67   4.5e+02   -2.7   0.1   473   508   460   495   453   496 0.71 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO66273.1           -            706 3825at5820           -            620   0.00014   18.8   0.3   1   3   2.1e-07   0.00014   18.8   0.3   470   513   183   226   129   254 0.80 WD repeat-containing protein 70, putative [Plasmodium vivax]
SCO66273.1           -            706 3825at5820           -            620   0.00014   18.8   0.3   2   3     0.024        17    2.1   0.9   433   507   248   329   234   341 0.66 WD repeat-containing protein 70, putative [Plasmodium vivax]
SCO66273.1           -            706 3825at5820           -            620   0.00014   18.8   0.3   3   3      0.69   4.7e+02   -2.7   0.1   367   388   539   560   533   590 0.87 WD repeat-containing protein 70, putative [Plasmodium vivax]
SCO70023.1           -            641 3825at5820           -            620   0.00015   18.7   1.5   1   3         8   5.4e+03   -6.2   2.9   159   233   110   182   107   197 0.44 U3 small nucleolar RNA-interacting protein 2, putative [Plasmodium vivax]
SCO70023.1           -            641 3825at5820           -            620   0.00015   18.7   1.5   2   3     7e-05     0.047   10.5   8.8   394   515   384   503   369   513 0.79 U3 small nucleolar RNA-interacting protein 2, putative [Plasmodium vivax]
SCO70023.1           -            641 3825at5820           -            620   0.00015   18.7   1.5   3   3   2.2e-07   0.00015   18.7   1.5   442   507   514   579   507   590 0.87 U3 small nucleolar RNA-interacting protein 2, putative [Plasmodium vivax]
SCO65922.1           -            458 3825at5820           -            620    0.0006   16.8   1.2   1   3      0.18   1.2e+02   -0.8   0.0   429   458   205   234   168   247 0.80 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO65922.1           -            458 3825at5820           -            620    0.0006   16.8   1.2   2   3   1.1e-05    0.0072   13.2   0.2   465   550   318   405   313   410 0.81 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO65922.1           -            458 3825at5820           -            620    0.0006   16.8   1.2   3   3      0.11        77   -0.1   0.1   286   311   426   450   417   454 0.73 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO68631.1           -            533 3825at5820           -            620     0.001   16.0  12.8   1   4       1.4   9.7e+02   -3.8   0.6   558   606   107   155    99   159 0.74 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68631.1           -            533 3825at5820           -            620     0.001   16.0  12.8   2   4      0.15        98   -0.5   0.0   354   371   281   298   270   309 0.76 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68631.1           -            533 3825at5820           -            620     0.001   16.0  12.8   3   4   1.7e-05     0.011   12.6   0.3   427   513   336   427   305   429 0.80 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68631.1           -            533 3825at5820           -            620     0.001   16.0  12.8   4   4   2.3e-05     0.015   12.1   0.2   471   552   427   508   422   530 0.69 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3825at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3825at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3825at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:40:51 2026
# [ok]
