#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65162.1           -           1408 3177at5820           -            625    2e-278  923.5  60.7   1   9       2.6   5.8e+02   -3.0   1.8     2    21   124   143   123   156 0.80 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO68599.1           -            489 3177at5820           -            625   9.2e-15   52.5   0.1   3   4    0.0047       1.1    6.0   0.0   284   364   149   225   136   229 0.74 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO68599.1           -            489 3177at5820           -            625   9.2e-15   52.5   0.1   4   4   2.7e-12   6.1e-10   36.6   0.1   539   600   369   430   347   442 0.88 ATP-dependent RNA helicase DBP8, putative [Plasmodium vivax]
SCO65404.1           -            850 3177at5820           -            625   1.1e-14   52.3   0.3   1   3   0.00017     0.038   10.8   0.0   178   213   176   211   143   219 0.85 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO65404.1           -            850 3177at5820           -            625   1.1e-14   52.3   0.3   2   3    0.0021      0.47    7.2   0.0   311   354   258   301   242   315 0.77 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO65404.1           -            850 3177at5820           -            625   1.1e-14   52.3   0.3   3   3   4.8e-10   1.1e-07   29.1   0.0   506   586   595   683   589   692 0.83 ATP-dependent RNA helicase DBP7, putative [Plasmodium vivax]
SCO67714.1           -           1006 3177at5820           -            625   5.1e-14   50.0   0.1   1   3       3.7   8.4e+02   -3.5   0.0   183   200   626   643   619   647 0.84 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO67714.1           -           1006 3177at5820           -            625   5.1e-14   50.0   0.1   2   3   9.5e-05     0.021   11.6   0.0   295   356   691   745   667   754 0.83 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO67714.1           -           1006 3177at5820           -            625   5.1e-14   50.0   0.1   3   3   6.6e-12   1.5e-09   35.3   0.0   540   597   903   960   854   979 0.85 ATP-dependent RNA helicase DDX23, putative [Plasmodium vivax]
SCO66904.1           -            761 3177at5820           -            625   5.5e-14   49.9  19.2   1   3     0.076        17    2.1   0.0   176   205   292   321   287   334 0.80 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO66904.1           -            761 3177at5820           -            625   5.5e-14   49.9  19.2   2   3     0.018       4.1    4.1   1.9   328   361   434   469   414   511 0.74 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO66904.1           -            761 3177at5820           -            625   5.5e-14   49.9  19.2   3   3   3.4e-16   7.6e-14   49.5   5.9   471   616   545   677   505   686 0.78 ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO66253.1           -           1015 3177at5820           -            625   2.2e-13   47.9   3.1   1   3      0.75   1.7e+02   -1.2   0.0   162   200   649   687   638   693 0.73 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO66253.1           -           1015 3177at5820           -            625   2.2e-13   47.9   3.1   2   3   4.2e-05    0.0095   12.8   0.1   286   370   731   809   715   826 0.78 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO66253.1           -           1015 3177at5820           -            625   2.2e-13   47.9   3.1   3   3   1.3e-11     3e-09   34.3   0.1   540   603   934   997   906  1005 0.89 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 3177at5820           -            625   4.1e-13   47.0  13.8   1   2    0.0047         1    6.1   0.0   183   251   385   447   351   459 0.77 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO69871.1           -            923 3177at5820           -            625   4.1e-13   47.0  13.8   2   2   1.5e-12   3.4e-10   37.4  11.6   293   603   461   738   450   749 0.74 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO66154.1           -            623 3177at5820           -            625   1.6e-12   45.1   1.9   1   2    0.0009       0.2    8.4   0.6   314   423   292   408   278   436 0.67 ATP-dependent RNA helicase ROK1, putative [Plasmodium vivax]
SCO66154.1           -            623 3177at5820           -            625   1.6e-12   45.1   1.9   2   2   6.6e-12   1.5e-09   35.3   0.0   530   614   468   552   460   560 0.81 ATP-dependent RNA helicase ROK1, putative [Plasmodium vivax]
SCO67810.1           -           1450 3177at5820           -            625   6.8e-12   43.0  19.1   1   4      0.35        79   -0.1   0.0   183   200   712   729   705   732 0.87 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO67810.1           -           1450 3177at5820           -            625   6.8e-12   43.0  19.1   2   4   8.3e-09   1.9e-06   25.0   0.1   284   365   763   840   756   857 0.86 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO67810.1           -           1450 3177at5820           -            625   6.8e-12   43.0  19.1   3   4   1.6e-09   3.7e-07   27.4   1.0   533   612   960  1038   954  1046 0.78 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO67810.1           -           1450 3177at5820           -            625   6.8e-12   43.0  19.1   4   4       7.7   1.7e+03   -4.6   6.8     9    79  1255  1309  1228  1370 0.58 pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative [Plasmodium vivax]
SCO66912.1           -            433 3177at5820           -            625   7.2e-12   42.9   4.2   1   2   6.1e-05     0.014   12.3   0.3   307   411   167   272   161   309 0.66 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO66912.1           -            433 3177at5820           -            625   7.2e-12   42.9   4.2   2   2   4.1e-10   9.2e-08   29.4   2.7   539   598   349   408   273   423 0.67 ATP-dependent RNA helicase DDX6, putative [Plasmodium vivax]
SCO68991.1           -            528 3177at5820           -            625   7.9e-11   39.5   0.2   1   3     0.093        21    1.8   0.0   183   201   158   176   152   182 0.89 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO68991.1           -            528 3177at5820           -            625   7.9e-11   39.5   0.2   2   3    0.0028      0.63    6.8   0.0   316   362   235   280   226   287 0.85 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO68991.1           -            528 3177at5820           -            625   7.9e-11   39.5   0.2   3   3   2.8e-09   6.3e-07   26.6   0.0   540   592   413   465   402   481 0.85 ATP-dependent RNA helicase DDX5, putative [Plasmodium vivax]
SCO67853.1           -            720 3177at5820           -            625   1.1e-10   39.1   9.5   1   4      0.11        24    1.5   0.0   183   256   171   247   164   252 0.62 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67853.1           -            720 3177at5820           -            625   1.1e-10   39.1   9.5   2   4   7.1e-07   0.00016   18.7   0.5   285   364   248   320   233   340 0.83 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67853.1           -            720 3177at5820           -            625   1.1e-10   39.1   9.5   3   4   7.2e-08   1.6e-05   22.0   0.1   540   601   452   513   426   534 0.86 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67853.1           -            720 3177at5820           -            625   1.1e-10   39.1   9.5   4   4      0.35        78   -0.1   0.8    78   112   627   662   583   680 0.78 ATP-dependent helicase, putative [Plasmodium vivax]
SCO65570.1           -            536 3177at5820           -            625   1.4e-10   38.7   3.6   1   3     0.077        17    2.0   0.0   183   208   174   199   166   210 0.86 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO65570.1           -            536 3177at5820           -            625   1.4e-10   38.7   3.6   2   3   2.5e-06   0.00056   16.9   0.5   287   356   223   286   195   312 0.85 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO65570.1           -            536 3177at5820           -            625   1.4e-10   38.7   3.6   3   3   9.8e-07   0.00022   18.2   0.1   539   593   420   473   400   495 0.81 ATP-dependent rRNA helicase RRP3, putative [Plasmodium vivax]
SCO70166.1           -            850 3177at5820           -            625   2.4e-10   37.9  14.3   1   3    0.0003     0.068   10.0   0.1   177   232   131   190    99   213 0.68 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO70166.1           -            850 3177at5820           -            625   2.4e-10   37.9  14.3   2   3   2.9e-12   6.5e-10   36.5   0.8   546   595   514   563   511   586 0.79 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO70166.1           -            850 3177at5820           -            625   2.4e-10   37.9  14.3   3   3       1.4   3.2e+02   -2.2   1.7   414   442   633   661   605   682 0.57 ATP-dependent RNA helicase DBP9, putative [Plasmodium vivax]
SCO68088.1           -            599 3177at5820           -            625   7.1e-10   36.3  13.4   1   5       1.4   3.1e+02   -2.1   0.0   107   146   142   180   135   187 0.81 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 3177at5820           -            625   7.1e-10   36.3  13.4   2   5      0.65   1.5e+02   -1.0   0.0   183   205   191   213   184   217 0.89 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 3177at5820           -            625   7.1e-10   36.3  13.4   3   5    0.0028      0.64    6.8   0.0   228   257   213   242   204   250 0.84 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 3177at5820           -            625   7.1e-10   36.3  13.4   4   5   3.5e-05    0.0079   13.1   0.3   310   356   261   307   249   319 0.83 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO68088.1           -            599 3177at5820           -            625   7.1e-10   36.3  13.4   5   5   2.5e-07   5.6e-05   20.2   2.6   539   613   441   516   373   525 0.76 ATP-dependent RNA helicase HAS1, putative [Plasmodium vivax]
SCO65802.1           -           1193 3177at5820           -            625     1e-09   35.9  16.0   1   4       1.6   3.7e+02   -2.3   0.0   183   200   212   229   205   237 0.80 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO65802.1           -           1193 3177at5820           -            625     1e-09   35.9  16.0   2   4     0.016       3.5    4.3   0.1   237   261   241   265   238   267 0.90 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO65802.1           -           1193 3177at5820           -            625     1e-09   35.9  16.0   3   4     4e-07     9e-05   19.5   5.0   284   367   261   337   250   344 0.84 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO65802.1           -           1193 3177at5820           -            625     1e-09   35.9  16.0   4   4     7e-07   0.00016   18.7   1.9   505   580   429   506   375   516 0.73 ATP-dependent RNA helicase DBP10, putative [Plasmodium vivax]
SCO69403.1           -            995 3177at5820           -            625   3.6e-09   34.0  51.0   1   3   0.00097      0.22    8.3   0.0   178   205    88   115    64   159 0.85 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 3177at5820           -            625   3.6e-09   34.0  51.0   2   3   3.8e-08   8.6e-06   22.9   9.7   221   389   226   383   211   395 0.78 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO69403.1           -            995 3177at5820           -            625   3.6e-09   34.0  51.0   3   3   2.1e-07   4.7e-05   20.4  15.8   465   613   500   658   479   669 0.69 ATP-dependent rRNA helicase SPB4, putative [Plasmodium vivax]
SCO70027.1           -            717 3177at5820           -            625   6.7e-09   33.1   3.9   1   3       5.1   1.2e+03   -4.0   0.0   184   200   323   339   321   341 0.88 DNA helicase 60, putative [Plasmodium vivax]
SCO70027.1           -            717 3177at5820           -            625   6.7e-09   33.1   3.9   2   3      0.01       2.3    4.9   0.1   304   357   444   490   416   509 0.74 DNA helicase 60, putative [Plasmodium vivax]
SCO70027.1           -            717 3177at5820           -            625   6.7e-09   33.1   3.9   3   3     1e-09   2.3e-07   28.1   0.5   539   591   626   678   545   702 0.79 DNA helicase 60, putative [Plasmodium vivax]
SCO67619.1           -            667 3177at5820           -            625   3.1e-08   30.9  18.5   1   4       5.1   1.1e+03   -4.0   9.6    17    74   106   171    89   260 0.45 RNA helicase 1, putative [Plasmodium vivax]
SCO67619.1           -            667 3177at5820           -            625   3.1e-08   30.9  18.5   2   4      0.59   1.3e+02   -0.9   0.0   184   197   264   277   255   283 0.88 RNA helicase 1, putative [Plasmodium vivax]
SCO67619.1           -            667 3177at5820           -            625   3.1e-08   30.9  18.5   3   4   0.00018     0.041   10.7   0.0   317   372   350   406   338   471 0.76 RNA helicase 1, putative [Plasmodium vivax]
SCO67619.1           -            667 3177at5820           -            625   3.1e-08   30.9  18.5   4   4   3.3e-09   7.5e-07   26.4   0.2   540   595   522   577   459   587 0.90 RNA helicase 1, putative [Plasmodium vivax]
SCO64986.1           -           1262 3177at5820           -            625   1.1e-07   29.2   0.5   1   1   4.7e-10   1.1e-07   29.2   0.5   530   593   645   708   636   728 0.87 RNA helicase, putative [Plasmodium vivax]
SCO69659.1           -            626 3177at5820           -            625   2.7e-07   27.8  10.4   1   3    0.0052       1.2    5.9   0.1   157   200   172   212   147   235 0.81 DEAD box helicase, putative [Plasmodium vivax]
SCO69659.1           -            626 3177at5820           -            625   2.7e-07   27.8  10.4   2   3     0.028       6.4    3.5   1.1   280   356   241   312   228   329 0.77 DEAD box helicase, putative [Plasmodium vivax]
SCO69659.1           -            626 3177at5820           -            625   2.7e-07   27.8  10.4   3   3   3.2e-08   7.2e-06   23.1   0.4   539   617   456   531   418   538 0.86 DEAD box helicase, putative [Plasmodium vivax]
SCO67855.1           -            522 3177at5820           -            625   2.4e-06   24.7  19.0   1   3       0.1        23    1.6   0.1   166   202   124   160   103   186 0.88 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67855.1           -            522 3177at5820           -            625   2.4e-06   24.7  19.0   2   3   0.00048      0.11    9.3   3.6   321   416   225   330   216   335 0.72 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67855.1           -            522 3177at5820           -            625   2.4e-06   24.7  19.0   3   3   1.1e-07   2.4e-05   21.4   3.0   534   595   403   463   341   487 0.73 ATP-dependent helicase, putative [Plasmodium vivax]
SCO67171.1           -           1329 3177at5820           -            625   1.9e-05   21.7   4.4   1   3     0.036       8.1    3.1   0.0   179   201   183   205   164   217 0.87 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO67171.1           -           1329 3177at5820           -            625   1.9e-05   21.7   4.4   2   3       1.8   4.1e+02   -2.5   0.1   344   366   529   552   493   564 0.62 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO67171.1           -           1329 3177at5820           -            625   1.9e-05   21.7   4.4   3   3   6.7e-07   0.00015   18.8   0.5   538   580   936   978   880   983 0.78 DEAD/DEAH box helicase, putative [Plasmodium vivax]
SCO70262.1           -            731 3177at5820           -            625   4.2e-05   20.6   9.9   1   4       0.5   1.1e+02   -0.6   0.0   103   147    98   139    92   143 0.81 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO70262.1           -            731 3177at5820           -            625   4.2e-05   20.6   9.9   2   4     0.096        22    1.7   0.0   182   201   148   167   141   205 0.76 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO70262.1           -            731 3177at5820           -            625   4.2e-05   20.6   9.9   3   4   0.00014     0.032   11.1   0.3   286   356   209   273   193   300 0.83 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
SCO70262.1           -            731 3177at5820           -            625   4.2e-05   20.6   9.9   4   4   1.9e-07   4.2e-05   20.6   9.9   466   602   349   494   303   501 0.71 DEAD/DEAH box ATP-dependent RNA helicase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3177at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3177at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3177at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:37:50 2026
# [ok]
