#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69563.1           -            661 5150at5820           -            522    1e-302 1003.0  65.2   1   3   2.7e-22   1.1e-19   69.2   2.1     1    56     1    60     1    68 0.92 U2 snRNP-associated SURP motif-containing protein, putative [Plasmodium vivax]
SCO70005.1           -            110 5150at5820           -            522   4.8e-05   20.8   0.0   1   1   1.3e-07   5.3e-05   20.7   0.0   121   206    15    94     6   110 0.80 splicing factor 3B subunit 6, putative [Plasmodium vivax]
SCO67408.1           -            156 5150at5820           -            522   0.00018   18.9   0.8   1   1   5.5e-07   0.00022   18.6   0.8   121   200     5    87     2   109 0.83 RNA-binding protein s1, putative [Plasmodium vivax]
SCO67297.1           -            208 5150at5820           -            522   0.00028   18.3   0.4   1   1   9.2e-07   0.00037   17.9   0.4   121   205     9    88     4   127 0.91 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO66658.1           -            725 5150at5820           -            522   0.00045   17.6   1.6   1   2   3.6e-06    0.0015   15.9   0.1   121   200     8    84     3    92 0.91 mRNA processing protein, putative [Plasmodium vivax]
SCO66658.1           -            725 5150at5820           -            522   0.00045   17.6   1.6   2   2      0.18        74    0.4   0.1   313   377   188   250   165   260 0.76 mRNA processing protein, putative [Plasmodium vivax]
SCO67727.1           -            314 5150at5820           -            522    0.0063   13.8   0.1   1   1   2.3e-05    0.0093   13.3   0.1   115   197     3    79     1    89 0.83 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5150at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5150at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5150at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:49:49 2026
# [ok]
