#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67648.1           -            984 7767at5820           -            425  6.8e-197  653.0 150.6   1   5  2.9e-112  1.8e-109  364.9  15.5     1   203    14   217    14   229 0.82 zinc finger protein, putative [Plasmodium vivax]
SCO66799.1           -            510 7767at5820           -            425     1e-25   89.0   7.4   2   3      0.23   1.4e+02   -0.4   1.3   203   263   233   295   218   333 0.64 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO66799.1           -            510 7767at5820           -            425     1e-25   89.0   7.4   3   3      0.85   5.1e+02   -2.3   1.6   233   256   446   473   368   506 0.54 zinc finger C-x8-C-x5-C-x3-H type, putative [Plasmodium vivax]
SCO68036.1           -            965 7767at5820           -            425   5.9e-22   76.6   6.4   1   5   9.6e-25   5.9e-22   76.6   6.4    14   117     8   113     3   121 0.91 zinc finger protein, putative [Plasmodium vivax]
SCO68036.1           -            965 7767at5820           -            425   5.9e-22   76.6   6.4   2   5        10   6.1e+03  -26.1  33.5   167   322   179   333   170   354 0.50 zinc finger protein, putative [Plasmodium vivax]
SCO68036.1           -            965 7767at5820           -            425   5.9e-22   76.6   6.4   3   5        10   6.1e+03  -11.7  17.1   148   236   278   362   260   378 0.51 zinc finger protein, putative [Plasmodium vivax]
SCO68036.1           -            965 7767at5820           -            425   5.9e-22   76.6   6.4   4   5         4   2.4e+03   -4.5   5.0   218   267   501   551   457   589 0.59 zinc finger protein, putative [Plasmodium vivax]
SCO68036.1           -            965 7767at5820           -            425   5.9e-22   76.6   6.4   5   5        10   6.1e+03   -9.2  13.0   139   272   799   938   784   953 0.57 zinc finger protein, putative [Plasmodium vivax]
SCO67670.1           -           1957 7767at5820           -            425   1.2e-21   75.6  11.5   1   7        10   6.1e+03  -17.3  22.4   172   325    50   212    14   224 0.55 zinc finger protein, putative [Plasmodium vivax]
SCO67670.1           -           1957 7767at5820           -            425   1.2e-21   75.6  11.5   2   7     2e-24   1.2e-21   75.6  11.5    16   117   384   489   378   499 0.88 zinc finger protein, putative [Plasmodium vivax]
SCO67670.1           -           1957 7767at5820           -            425   1.2e-21   75.6  11.5   3   7        10   6.1e+03  -10.8  10.5   149   202   672   727   654   754 0.42 zinc finger protein, putative [Plasmodium vivax]
SCO67670.1           -           1957 7767at5820           -            425   1.2e-21   75.6  11.5   4   7        10   6.1e+03  -13.7  13.7   153   162  1131  1140  1086  1261 0.50 zinc finger protein, putative [Plasmodium vivax]
SCO67670.1           -           1957 7767at5820           -            425   1.2e-21   75.6  11.5   5   7         1   6.3e+02   -2.6   3.6   171   222  1337  1388  1329  1441 0.79 zinc finger protein, putative [Plasmodium vivax]
SCO67670.1           -           1957 7767at5820           -            425   1.2e-21   75.6  11.5   6   7       4.7   2.9e+03   -4.7   4.3   158   227  1692  1762  1672  1782 0.71 zinc finger protein, putative [Plasmodium vivax]
SCO67670.1           -           1957 7767at5820           -            425   1.2e-21   75.6  11.5   7   7        10   6.1e+03   -6.7   2.7   140   192  1799  1852  1795  1883 0.71 zinc finger protein, putative [Plasmodium vivax]
SCO67444.1           -           2194 7767at5820           -            425   8.9e-19   66.1   8.9   1   7        10   6.1e+03   -8.1   4.3   139   188    19    70     9    82 0.65 zinc finger protein, putative [Plasmodium vivax]
SCO67444.1           -           2194 7767at5820           -            425   8.9e-19   66.1   8.9   2   7        10   6.1e+03   -8.2   8.5   148   248   223   324   186   346 0.60 zinc finger protein, putative [Plasmodium vivax]
SCO67444.1           -           2194 7767at5820           -            425   8.9e-19   66.1   8.9   3   7   1.5e-21   8.9e-19   66.1   8.9    15   117   489   591   484   596 0.95 zinc finger protein, putative [Plasmodium vivax]
SCO67444.1           -           2194 7767at5820           -            425   8.9e-19   66.1   8.9   4   7        10   6.1e+03  -11.6  10.0   164   249  1356  1443  1332  1474 0.52 zinc finger protein, putative [Plasmodium vivax]
SCO67444.1           -           2194 7767at5820           -            425   8.9e-19   66.1   8.9   5   7        10   6.1e+03   -6.7   7.3   255   316  1577  1642  1544  1711 0.67 zinc finger protein, putative [Plasmodium vivax]
SCO67444.1           -           2194 7767at5820           -            425   8.9e-19   66.1   8.9   6   7        10   6.1e+03   -7.9   9.0   159   211  1823  1878  1793  1887 0.47 zinc finger protein, putative [Plasmodium vivax]
SCO67444.1           -           2194 7767at5820           -            425   8.9e-19   66.1   8.9   7   7         3   1.8e+03   -4.1   1.8   158   205  1909  1956  1881  1978 0.54 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 7767at5820           -            425   1.1e-17   62.5  29.7   1   3   1.8e-20   1.1e-17   62.5  29.7    14   221    21   230    11   296 0.65 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 7767at5820           -            425   1.1e-17   62.5  29.7   2   3       1.1   6.8e+02   -2.7   2.0   222   277   412   468   334   512 0.53 zinc finger protein, putative [Plasmodium vivax]
SCO69204.1           -           1010 7767at5820           -            425   1.1e-17   62.5  29.7   3   3        10   6.1e+03   -6.8  10.0   206   295   845   940   783  1007 0.57 zinc finger protein, putative [Plasmodium vivax]
SCO66596.1           -           1236 7767at5820           -            425   1.3e-15   55.7   1.6   1   2   2.2e-18   1.3e-15   55.7   1.6    17   142     2   124     1   175 0.84 zinc finger protein, putative [Plasmodium vivax]
SCO66596.1           -           1236 7767at5820           -            425   1.3e-15   55.7   1.6   2   2       7.1   4.3e+03   -5.3   3.0   166   166   392   392   327   454 0.50 zinc finger protein, putative [Plasmodium vivax]
SCO66118.1           -           1457 7767at5820           -            425   1.7e-14   52.1   5.4   1   2   2.7e-17   1.7e-14   52.1   5.4    22   116     1    91     1    95 0.95 zinc finger protein, putative [Plasmodium vivax]
SCO66118.1           -           1457 7767at5820           -            425   1.7e-14   52.1   5.4   2   2       3.5   2.1e+03   -4.3   0.4   190   221   214   247   181   257 0.50 zinc finger protein, putative [Plasmodium vivax]
SCO69350.1           -           1289 7767at5820           -            425   2.6e-09   34.9   3.2   1   1   7.1e-12   4.3e-09   34.2   3.2    46   118   183   255   167   263 0.91 zinc finger protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7767at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7767at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 19:04:15 2026
# [ok]
