#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66658.1           -            725 7211at5820           -            625    1e-200  667.4   0.0   1   1  4.5e-203  1.5e-200  666.9   0.0     1   625     1   725     1   725 0.76 mRNA processing protein, putative [Plasmodium vivax]
SCO69492.1           -            503 7211at5820           -            625   2.4e-05   22.0   0.0   1   3     0.088        30    1.9  11.6   429   505     5    99     1   147 0.32 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 7211at5820           -            625   2.4e-05   22.0   0.0   2   3      0.36   1.2e+02   -0.1  26.2     2   160   175   341   174   344 0.73 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO69492.1           -            503 7211at5820           -            625   2.4e-05   22.0   0.0   3   3   7.2e-08   2.4e-05   22.0   0.0    11    82   398   469   393   500 0.82 CUGBP Elav-like family member 2, putative [Plasmodium vivax]
SCO66926.1           -            299 7211at5820           -            625     6e-05   20.8   3.3   1   1   1.8e-07     6e-05   20.8   3.3     8   107    37   137    31   173 0.74 RNA-binding protein, putative [Plasmodium vivax]
SCO66781.1           -            250 7211at5820           -            625    0.0001   20.0   1.0   1   2   0.00059       0.2    9.1   0.5     7    69    21    82    16   141 0.82 RNA-binding protein, putative [Plasmodium vivax]
SCO66781.1           -            250 7211at5820           -            625    0.0001   20.0   1.0   2   2   0.00062      0.21    9.1   0.0     1    36   166   201   166   207 0.93 RNA-binding protein, putative [Plasmodium vivax]
SCO68759.1           -            914 7211at5820           -            625   0.00015   19.4   0.1   1   1   4.5e-07   0.00015   19.4   0.1     8    71   678   741   672   748 0.95 splicing factor U2AF large subunit, putative [Plasmodium vivax]
SCO68708.1           -           1033 7211at5820           -            625    0.0002   19.0   0.1   1   1   5.9e-07    0.0002   19.0   0.1    17    86   754   823   741   872 0.79 splicing factor 1, putative [Plasmodium vivax]
SCO66561.1           -            202 7211at5820           -            625   0.00049   17.7   0.0   1   2       0.4   1.4e+02   -0.2   2.4   397   456    16    63     2    70 0.35 RNA-binding protein, putative [Plasmodium vivax]
SCO66561.1           -            202 7211at5820           -            625   0.00049   17.7   0.0   2   2   1.4e-06   0.00049   17.7   0.0     5    58    69   122    63   131 0.88 RNA-binding protein, putative [Plasmodium vivax]
SCO67297.1           -            208 7211at5820           -            625   0.00067   17.3   3.2   1   1   2.1e-06   0.00072   17.2   3.2     3    84     4    84     2   162 0.79 alternative splicing factor ASF-1, putative [Plasmodium vivax]
SCO67727.1           -            314 7211at5820           -            625    0.0015   16.1   0.0   1   1   4.5e-06    0.0015   16.1   0.0     8   104     9   103     1   122 0.82 serine/arginine-rich splicing factor 1, putative [Plasmodium vivax]
SCO66163.1           -            544 7211at5820           -            625    0.0098   13.4   0.2   1   1   2.9e-05    0.0098   13.4   0.2     8    84    14    90     7   115 0.83 serine/arginine-rich splicing factor 4, putative [Plasmodium vivax]
SCO67863.1           -            328 7211at5820           -            625     0.058   10.9   0.0   1   1   0.00017     0.058   10.9   0.0     7    84    12    89     5    94 0.86 serine/arginine-rich splicing factor 12, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7211at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7211at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7211at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:57:34 2026
# [ok]
