#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO67557.1           -            660 4853at5820           -            513  1.8e-304 1008.1  28.4   1   2  1.1e-137  1.9e-135  450.5   5.1     5   230    10   241     2   258 0.93 ribosome assembly protein 4, putative [Plasmodium vivax]
SCO68971.1           -           1238 4853at5820           -            513   6.5e-13   46.2  25.0   4   7      0.32        56    0.3   1.0   444   474   360   394   352   413 0.62 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 4853at5820           -            513   6.5e-13   46.2  25.0   5   7       0.2        34    1.0   0.1   111   187   627   700   601   722 0.60 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 4853at5820           -            513   6.5e-13   46.2  25.0   6   7   3.1e-06   0.00054   16.8   0.1   394   465   839   910   827   924 0.84 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68971.1           -           1238 4853at5820           -            513   6.5e-13   46.2  25.0   7   7   0.00057     0.098    9.4   0.2   120   181   925   986   910  1009 0.56 U3 small nucleolar RNA-associated protein 12, putative [Plasmodium vivax]
SCO68633.1           -           1981 4853at5820           -            513     3e-12   44.1   9.3   1   2   5.7e-13   9.9e-11   39.1   0.7   264   409  1715  1865  1707  1894 0.77 myosin C, putative [Plasmodium vivax]
SCO68633.1           -           1981 4853at5820           -            513     3e-12   44.1   9.3   2   2   0.00026     0.045   10.5   0.0   341   418  1899  1976  1887  1979 0.81 myosin C, putative [Plasmodium vivax]
SCO70158.1           -            472 4853at5820           -            513   1.5e-11   41.7  14.7   1   4       1.3   2.3e+02   -1.7   0.0   487   512    89   114    80   115 0.85 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO70158.1           -            472 4853at5820           -            513   1.5e-11   41.7  14.7   2   4     0.051       8.8    2.9   0.0   111   154   168   211   161   216 0.85 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO70158.1           -            472 4853at5820           -            513   1.5e-11   41.7  14.7   3   4   6.9e-07   0.00012   19.0   0.3   114   159   216   261   205   263 0.91 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO70158.1           -            472 4853at5820           -            513   1.5e-11   41.7  14.7   4   4   7.5e-08   1.3e-05   22.2   3.8   432   512   258   386   257   387 0.63 polyadenylation factor subunit 2, putative [Plasmodium vivax]
SCO65095.1           -            447 4853at5820           -            513   7.1e-11   39.5   0.3   1   3   0.00016     0.028   11.2   0.0   432   512   152   234   142   235 0.83 chromatin assembly factor 1 protein WD40 domain, putative [Plasmodium vivax]
SCO65095.1           -            447 4853at5820           -            513   7.1e-11   39.5   0.3   2   3   1.8e-07     3e-05   20.9   0.0   112   190   293   374   275   382 0.85 chromatin assembly factor 1 protein WD40 domain, putative [Plasmodium vivax]
SCO65095.1           -            447 4853at5820           -            513   7.1e-11   39.5   0.3   3   3     0.039       6.7    3.3   0.0   265   301   393   429   381   436 0.81 chromatin assembly factor 1 protein WD40 domain, putative [Plasmodium vivax]
SCO66848.1           -           1140 4853at5820           -            513   1.7e-10   38.3  10.3   1   3      0.57        98   -0.5   0.0   170   205   249   284   236   290 0.82 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO66848.1           -           1140 4853at5820           -            513   1.7e-10   38.3  10.3   2   3   9.9e-13   1.7e-10   38.3  10.3   240   465   537   751   472   767 0.83 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO66848.1           -           1140 4853at5820           -            513   1.7e-10   38.3  10.3   3   3       0.6   1.1e+02   -0.6   5.3   292   386   781   880   769   887 0.71 U3 small nucleolar RNA-associated protein 13, putative [Plasmodium vivax]
SCO65360.1           -            327 4853at5820           -            513     1e-09   35.7   0.2   1   3   3.5e-05     0.006   13.4   0.0   383   452     2    70     1    82 0.86 eukaryotic translation initiation factor 3 subunit I, putative [Plasmodium vivax]
SCO65360.1           -            327 4853at5820           -            513     1e-09   35.7   0.2   2   3   9.7e-06    0.0017   15.2   0.1   139   209   125   194   118   204 0.90 eukaryotic translation initiation factor 3 subunit I, putative [Plasmodium vivax]
SCO65360.1           -            327 4853at5820           -            513     1e-09   35.7   0.2   3   3     0.062        11    2.6   0.0   129   185   260   316   239   325 0.78 eukaryotic translation initiation factor 3 subunit I, putative [Plasmodium vivax]
SCO67313.1           -            555 4853at5820           -            513     2e-09   34.8  12.4   1   3   1.9e-09   3.4e-07   27.4   0.2   113   187    48   125    45   156 0.83 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67313.1           -            555 4853at5820           -            513     2e-09   34.8  12.4   2   3   7.7e-05     0.013   12.2   2.9   105   206   161   261   133   357 0.61 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67313.1           -            555 4853at5820           -            513     2e-09   34.8  12.4   3   3      0.48        83   -0.3   0.3   424   468   363   409   343   430 0.69 WD repeat-containing protein, putative [Plasmodium vivax]
SCO67896.1           -            944 4853at5820           -            513   4.2e-09   33.7   5.8   1   3   3.4e-07   5.9e-05   20.0   0.1   448   512   174   234   166   235 0.85 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 4853at5820           -            513   4.2e-09   33.7   5.8   2   3   7.7e-06    0.0013   15.5   0.3   365   463   283   339   253   368 0.61 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO67896.1           -            944 4853at5820           -            513   4.2e-09   33.7   5.8   3   3       3.1   5.3e+02   -3.0   0.1   402   456   790   847   781   866 0.68 chromosome assembly factor 1, putative [Plasmodium vivax]
SCO65922.1           -            458 4853at5820           -            513   7.1e-08   29.6   2.6   1   3       2.1   3.6e+02   -2.4   0.0   477   492   199   214   160   235 0.51 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO65922.1           -            458 4853at5820           -            513   7.1e-08   29.6   2.6   2   3     7e-06    0.0012   15.7   0.1   447   512   287   356   269   357 0.76 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO65922.1           -            458 4853at5820           -            513   7.1e-08   29.6   2.6   3   3   8.2e-08   1.4e-05   22.0   0.4   113   188   325   403   311   435 0.77 ribosome assembly protein RRB1, putative [Plasmodium vivax]
SCO68412.1           -            466 4853at5820           -            513   1.8e-07   28.3   4.3   1   1   4.8e-08   8.3e-06   22.8   4.3   169   383    45   276    38   297 0.64 U3 small nucleolar RNA-associated protein 15, putative [Plasmodium vivax]
SCO69273.1           -            509 4853at5820           -            513   2.4e-07   27.9  13.6   1   3   1.2e-07   2.1e-05   21.5   1.9   381   465   126   224    13   236 0.73 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO69273.1           -            509 4853at5820           -            513   2.4e-07   27.9  13.6   2   3   0.00016     0.027   11.2   1.2   132   207   335   412   327   428 0.87 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO69273.1           -            509 4853at5820           -            513   2.4e-07   27.9  13.6   3   3     0.051       8.8    2.9   0.2   426   462   454   491   399   502 0.48 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO69699.1           -            524 4853at5820           -            513   3.7e-07   27.3   2.8   1   3       1.9   3.2e+02   -2.2   0.4    62    80   123   141   103   157 0.57 alternative splicing regulator, putative [Plasmodium vivax]
SCO69699.1           -            524 4853at5820           -            513   3.7e-07   27.3   2.8   2   3    0.0075       1.3    5.7   0.1   398   463   227   300   203   303 0.60 alternative splicing regulator, putative [Plasmodium vivax]
SCO69699.1           -            524 4853at5820           -            513   3.7e-07   27.3   2.8   3   3   2.1e-09   3.7e-07   27.3   2.8    83   195   278   392   271   418 0.82 alternative splicing regulator, putative [Plasmodium vivax]
SCO67263.1           -            464 4853at5820           -            513   3.4e-06   24.1   0.7   1   3    0.0033      0.57    6.9   0.0   120   462   115   139    88   150 0.63 guanine nucleotide-exchange factor SEC12, putative [Plasmodium vivax]
SCO67263.1           -            464 4853at5820           -            513   3.4e-06   24.1   0.7   2   3    0.0013      0.22    8.2   0.0   426   465   207   246   192   266 0.66 guanine nucleotide-exchange factor SEC12, putative [Plasmodium vivax]
SCO67263.1           -            464 4853at5820           -            513   3.4e-06   24.1   0.7   3   3    0.0067       1.2    5.8   0.1   391   466   324   398   286   430 0.80 guanine nucleotide-exchange factor SEC12, putative [Plasmodium vivax]
SCO68631.1           -            533 4853at5820           -            513   3.4e-06   24.1   7.7   1   2      0.47        82   -0.3   0.0   151   190    79   120    28   200 0.70 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68631.1           -            533 4853at5820           -            513   3.4e-06   24.1   7.7   2   2   5.7e-08   9.8e-06   22.6   5.2   278   512   270   525   267   526 0.73 chromatin assembly factor 1 P55 subunit, putative [Plasmodium vivax]
SCO68313.1           -            361 4853at5820           -            513   0.00024   18.0   0.1   1   1   2.2e-06   0.00037   17.4   0.1   114   187   191   266   176   298 0.88 diphthine methyltransferase, putative [Plasmodium vivax]
SCO67287.1           -            401 4853at5820           -            513   0.00067   16.5   1.1   1   2   4.5e-05    0.0079   13.0   0.1   365   419   127   181   121   192 0.88 actin-related protein 2/3 complex subunit 1, putative [Plasmodium vivax]
SCO67287.1           -            401 4853at5820           -            513   0.00067   16.5   1.1   2   2      0.15        27    1.3   0.0   382   413   214   251   195   266 0.68 actin-related protein 2/3 complex subunit 1, putative [Plasmodium vivax]
SCO66129.1           -            720 4853at5820           -            513    0.0013   15.6   1.6   1   2      0.77   1.3e+02   -1.0   0.0   127   185   436   502   423   531 0.45 cytoplasmic dynein intermediate chain, putative [Plasmodium vivax]
SCO66129.1           -            720 4853at5820           -            513    0.0013   15.6   1.6   2   2   1.4e-05    0.0025   14.7   0.4   361   512   536   690   517   691 0.81 cytoplasmic dynein intermediate chain, putative [Plasmodium vivax]
SCO68446.1           -            720 4853at5820           -            513      0.22    8.3  45.1   1   4      0.69   1.2e+02   -0.8   4.9   194   246    22    76     9   143 0.71 WD repeat-containing protein 16, putative [Plasmodium vivax]
SCO68446.1           -            720 4853at5820           -            513      0.22    8.3  45.1   2   4      0.37        64    0.1   0.0   123   192   163   233   150   254 0.67 WD repeat-containing protein 16, putative [Plasmodium vivax]
SCO68446.1           -            720 4853at5820           -            513      0.22    8.3  45.1   3   4    0.0053      0.92    6.2   4.0   337   461   277   398   270   420 0.77 WD repeat-containing protein 16, putative [Plasmodium vivax]
SCO68446.1           -            720 4853at5820           -            513      0.22    8.3  45.1   4   4   0.00013     0.022   11.5  25.0   126   463   339   706   338   718 0.69 WD repeat-containing protein 16, putative [Plasmodium vivax]
SCO65417.1           -            644 4853at5820           -            513       1.3    5.7   7.9   1   1   0.00017      0.03   11.1   0.1   415   473   331   387   316   408 0.77 U3 small nucleolar RNA-associated protein 7, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4853at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4853at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4853at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:48:17 2026
# [ok]
