#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO68200.1           -            822 2595at5820           -            752         0 1743.1   6.9   1   2         0         0 1638.7   2.5     1   697    21   718    21   725 1.00 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO68200.1           -            822 2595at5820           -            752         0 1743.1   6.9   2   2   9.2e-34   2.5e-31  106.8   0.1   691   752   743   808   736   808 0.94 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO64965.1           -           1089 2595at5820           -            752  2.4e-225  748.3   6.3   1   3     6e-18   1.7e-15   54.5   0.3    11   152   275   417   267   424 0.92 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO64965.1           -           1089 2595at5820           -            752  2.4e-225  748.3   6.3   2   3  1.2e-105  3.3e-103  344.4   0.4   156   418   444   707   435   717 0.97 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO64965.1           -           1089 2595at5820           -            752  2.4e-225  748.3   6.3   3   3  1.3e-107  3.5e-105  351.0   0.0   424   730   760  1082   754  1086 0.89 AAA family ATPase, CDC48 subfamily, putative [Plasmodium vivax]
SCO69463.1           -           1188 2595at5820           -            752   2.9e-94  314.9   2.6   1   4   1.8e-10   4.9e-08   29.8   0.0   460   518   367   425   357   458 0.84 AAA family ATPase, putative [Plasmodium vivax]
SCO67090.1           -            785 2595at5820           -            752   4.3e-48  162.2   0.9   3   3   7.1e-06     0.002   14.6   0.0   223   293   572   643   566   685 0.84 N-ethylmaleimide-sensitive fusion protein, putative [Plasmodium vivax]
SCO65309.1           -            700 2595at5820           -            752   1.4e-40  137.4   0.0   1   1   7.1e-43     2e-40  136.9   0.0   455   686   419   651   409   695 0.89 AAA family ATPase, putative [Plasmodium vivax]
SCO68874.1           -            439 2595at5820           -            752   2.6e-38  129.9   0.0   1   3   5.1e-40   1.4e-37  127.5   0.0   454   641   112   294    73   302 0.91 vacuolar protein sorting-associated protein 4, putative [Plasmodium vivax]
SCO68874.1           -            439 2595at5820           -            752   2.6e-38  129.9   0.0   2   3      0.54   1.5e+02   -1.6   0.0   654   681   326   353   318   367 0.69 vacuolar protein sorting-associated protein 4, putative [Plasmodium vivax]
SCO68874.1           -            439 2595at5820           -            752   2.6e-38  129.9   0.0   3   3      0.77   2.1e+02   -2.1   0.0   701   728   404   431   388   435 0.83 vacuolar protein sorting-associated protein 4, putative [Plasmodium vivax]
SCO65020.1           -           1174 2595at5820           -            752   2.1e-22   77.3   0.0   1   2   2.4e-17   6.6e-15   52.5   0.0   487   595   591   704   562   720 0.79 AAA family ATPase, putative [Plasmodium vivax]
SCO65020.1           -           1174 2595at5820           -            752   2.1e-22   77.3   0.0   2   2   2.8e-08   7.8e-06   22.5   0.0   598   649   791   842   780   853 0.89 AAA family ATPase, putative [Plasmodium vivax]
SCO67491.1           -            627 2595at5820           -            752   3.3e-15   53.5   0.0   1   1   1.7e-17   4.7e-15   53.0   0.0   459   639   309   506   305   518 0.73 AAA family ATPase, putative [Plasmodium vivax]
SCO64927.1           -            665 2595at5820           -            752   6.2e-12   42.7   0.0   1   1   4.2e-14   1.2e-11   41.8   0.0   495   675   344   535   317   547 0.73 AAA family ATPase, putative [Plasmodium vivax]
SCO64998.1           -            994 2595at5820           -            752   1.1e-10   38.5   0.0   1   2     0.036        10    2.3   0.0   654   684   562   592   542   596 0.79 AAA family ATPase, putative [Plasmodium vivax]
SCO64998.1           -            994 2595at5820           -            752   1.1e-10   38.5   0.0   2   2   1.1e-11     3e-09   33.8   0.0   220   574   751   834   743   886 0.62 AAA family ATPase, putative [Plasmodium vivax]
SCO68360.1           -            483 2595at5820           -            752   1.8e-06   24.6   0.0   1   2   0.00016     0.044   10.1   0.0   489   527   249   287   226   294 0.80 mitochondrial chaperone BCS1, putative [Plasmodium vivax]
SCO68360.1           -            483 2595at5820           -            752   1.8e-06   24.6   0.0   2   2   3.1e-05    0.0085   12.4   0.0   586   631   368   413   347   433 0.87 mitochondrial chaperone BCS1, putative [Plasmodium vivax]
SCO68001.1           -            483 2595at5820           -            752   0.00051   16.5   0.6   1   2   3.3e-06   0.00092   15.6   0.2   220   312    62   160    49   197 0.73 RuvB-like helicase 3, putative [Plasmodium vivax]
SCO68001.1           -            483 2595at5820           -            752   0.00051   16.5   0.6   2   2       1.1   2.9e+02   -2.5   0.0   465   493   262   290   237   301 0.57 RuvB-like helicase 3, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2595at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2595at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2595at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:41:08 2026
# [ok]
