#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69845.1           -            315 12286at5820          -            258  3.1e-118  392.2 107.3   1   3   4.7e-81   8.1e-79  263.0  11.9     1   131     1   139     1   142 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70141.1           -            308 12286at5820          -            258     0.006   14.3  19.3   1   1     5e-05    0.0087   13.8  19.3   136   223    73   166    30   178 0.48 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68665.1           -            812 12286at5820          -            258     0.012   13.4   3.4   1   1   0.00013     0.022   12.5   3.4   160   194   496   529   486   563 0.48 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67340.1           -           1489 12286at5820          -            258     0.018   12.7  22.8   1   1   0.00022     0.038   11.7  22.8   145   195   823   872   804   879 0.46 beige/BEACH domain protein, putative [Plasmodium vivax]
SCO66567.1           -           1244 12286at5820          -            258     0.035   11.8   0.9   1   1   0.00046      0.08   10.7   0.9   111   211   672   781   667   798 0.48 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67121.1           -            340 12286at5820          -            258     0.056   11.2  13.9   1   1   0.00056     0.097   10.4  13.9   131   158   136   163   114   182 0.46 hypothetical protein, conserved [Plasmodium vivax]
SCO70077.1           -            710 12286at5820          -            258     0.057   11.1  34.3   1   1   0.00071      0.12   10.0  34.3   145   183   666   704   633   710 0.49 60 kDa chaperonin, putative [Plasmodium vivax]
SCO68559.1           -            139 12286at5820          -            258      0.11   10.2  41.3   1   1    0.0009      0.16    9.7  41.3   133   193    77   135    52   138 0.55 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69694.1           -            158 12286at5820          -            258      0.17    9.6  20.9   1   1    0.0011      0.19    9.4  20.9   131   187    99   155    40   158 0.52 RNA-binding protein, putative [Plasmodium vivax]
SCO69463.1           -           1188 12286at5820          -            258      0.19    9.4  13.3   1   2   0.00089      0.15    9.7   6.0   141   201    96   158    72   177 0.55 AAA family ATPase, putative [Plasmodium vivax]
SCO69463.1           -           1188 12286at5820          -            258      0.19    9.4  13.3   2   2     0.062        11    3.7   0.7   141   233   303   377   290   397 0.40 AAA family ATPase, putative [Plasmodium vivax]
SCO68709.1           -            709 12286at5820          -            258      0.27    8.9  34.0   1   1   4.7e-05    0.0082   13.9  27.8   130   198   409   476   396   530 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65720.1           -            380 12286at5820          -            258      0.27    8.9 103.9   1   2      0.13        23    2.6  42.2   115   189   178   261   168   264 0.33 protein MAK16, putative [Plasmodium vivax]
SCO65720.1           -            380 12286at5820          -            258      0.27    8.9 103.9   2   2   0.00091      0.16    9.7  64.2   141   225   257   344   256   358 0.71 protein MAK16, putative [Plasmodium vivax]
SCO67152.1           -            630 12286at5820          -            258      0.32    8.7  56.1   1   2   4.6e-05     0.008   13.9  20.6   119   210   202   288   192   306 0.54 radial spoke head protein, putative [Plasmodium vivax]
SCO67152.1           -            630 12286at5820          -            258      0.32    8.7  56.1   2   2      0.26        45    1.6  25.7   126   193   398   456   383   491 0.40 radial spoke head protein, putative [Plasmodium vivax]
SCO70238.1           -            406 12286at5820          -            258      0.57    7.9  35.1   1   2     0.082        14    3.3   5.1   130   188    62   123    51   160 0.50 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO70238.1           -            406 12286at5820          -            258      0.57    7.9  35.1   2   2   0.00066      0.11   10.2  22.0   124   206   231   317   221   347 0.52 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68349.1           -            709 12286at5820          -            258      0.64    7.7  16.1   1   1    0.0069       1.2    6.8  16.1   131   168   299   336   285   347 0.59 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67063.1           -            891 12286at5820          -            258      0.97    7.1  38.1   1   2   0.00018     0.032   12.0  22.3   138   204   329   393   315   413 0.51 P-loop containing nucleoside triphosphate hydrolase, putative [Plasmodium vivax]
SCO67063.1           -            891 12286at5820          -            258      0.97    7.1  38.1   2   2         1   1.8e+02   -0.3   7.8   151   169   583   601   563   640 0.48 P-loop containing nucleoside triphosphate hydrolase, putative [Plasmodium vivax]
SCO65701.1           -            662 12286at5820          -            258       1.2    6.8  18.0   1   1     0.017       2.9    5.5  18.0   133   186   602   648   557   662 0.42 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68299.1           -            653 12286at5820          -            258       1.8    6.2  12.0   1   1     0.026       4.6    4.9  12.0   133   214    59   136    44   144 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67619.1           -            667 12286at5820          -            258       2.1    6.0  22.9   1   1     0.022       3.9    5.1  22.9   109   200    23   112     3   158 0.56 RNA helicase 1, putative [Plasmodium vivax]
SCO69293.1           -            780 12286at5820          -            258       2.4    5.8  36.5   1   1     0.032       5.6    4.6  36.5   135   187   199   250   177   283 0.44 large ribosomal subunit associated GTPase, putative [Plasmodium vivax]
SCO65631.1           -             87 12286at5820          -            258       2.9    5.5  21.4   1   1     0.018       3.1    5.4  21.4   132   195     7    72     1    85 0.38 hypothetical protein PVT01_040015000 [Plasmodium vivax]
SCO67155.1           -           1313 12286at5820          -            258       3.1    5.5  12.6   1   1     0.035       6.1    4.5  12.6   139   189   884   931   874   952 0.43 calcium/calmodulin-dependent protein kinase, putative [Plasmodium vivax]
SCO65990.1           -           2193 12286at5820          -            258       4.3    5.0  24.8   1   1     0.079        14    3.3  24.8   127   187    79   141    59   160 0.44 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69326.1           -            281 12286at5820          -            258       4.3    5.0  46.4   1   1   0.00068      0.12   10.1  40.4    87   196   159   266   147   281 0.66 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68588.1           -            302 12286at5820          -            258       5.8    4.6  28.6   1   1      0.01       1.7    6.3  25.6    98   179   217   300   195   302 0.53 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69086.1           -            369 12286at5820          -            258       6.7    4.4  38.4   1   1     0.061        11    3.7  38.4   110   210   251   353   244   357 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69253.1           -           3088 12286at5820          -            258         8    4.1  44.9   1   2       4.5   7.9e+02   -2.4   0.1    94   114   678   698   673   705 0.85 NAD(P)H-dependent glutamate synthase, putative [Plasmodium vivax]
SCO69253.1           -           3088 12286at5820          -            258         8    4.1  44.9   2   2   3.5e-05    0.0061   14.3  31.9   135   212  1640  1712  1604  1732 0.64 NAD(P)H-dependent glutamate synthase, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12286at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12286at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:29:13 2026
# [ok]
