#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO69080.1           -            928 3557at5820           -            694         0 1100.1  77.8   1   3   3.2e-85   3.2e-82  275.6  11.0     1   247     1   259     1   269 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65858.1           -            834 3557at5820           -            694   1.4e-30  104.9  16.0   1   3   6.5e-13   6.6e-10   36.6   1.5    87   167   111   192   107   195 0.89 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO65858.1           -            834 3557at5820           -            694   1.4e-30  104.9  16.0   2   3   1.8e-16   1.8e-13   48.4   0.3   358   533   404   578   387   588 0.84 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
SCO65858.1           -            834 3557at5820           -            694   1.4e-30  104.9  16.0   3   3   2.2e-10   2.3e-07   28.2   2.0   537   686   653   810   647   817 0.81 ATP-dependent RNA helicase prh1, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3557at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3557at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:39:31 2026
# [ok]
