#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO65705.1           -            191 12974at5820          -            164   1.9e-77  257.1  12.1   1   1   4.3e-80   2.2e-77  256.9  12.1    12   163    31   190    17   191 0.93 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69468.1           -            798 12974at5820          -            164   9.6e-11   40.1  15.1   2   2   1.9e-13   9.6e-11   40.1  15.1     7   127    72   196    66   231 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67785.1           -           1389 12974at5820          -            164   1.1e-10   39.9  48.0   1   5       3.1   1.6e+03   -2.8   0.3    86   107   211   232   197   253 0.75 MORN repeat protein, putative [Plasmodium vivax]
SCO67785.1           -           1389 12974at5820          -            164   1.1e-10   39.9  48.0   2   5       7.5   3.8e+03   -4.1   0.6    55    55   749   749   721   792 0.55 MORN repeat protein, putative [Plasmodium vivax]
SCO67785.1           -           1389 12974at5820          -            164   1.1e-10   39.9  48.0   3   5   9.1e-11   4.6e-08   31.4  15.3    22   138   840   960   819   962 0.82 MORN repeat protein, putative [Plasmodium vivax]
SCO67785.1           -           1389 12974at5820          -            164   1.1e-10   39.9  48.0   4   5   1.7e-07   8.8e-05   20.8   8.0    24   135   936  1046   931  1082 0.73 MORN repeat protein, putative [Plasmodium vivax]
SCO67785.1           -           1389 12974at5820          -            164   1.1e-10   39.9  48.0   5   5   3.5e-06    0.0018   16.5   1.9    45    89  1278  1322  1246  1374 0.71 MORN repeat protein, putative [Plasmodium vivax]
SCO67752.1           -           1386 12974at5820          -            164   3.1e-09   35.2  43.6   1   4   1.5e-06   0.00075   17.7   5.7    18    88    71   152    58   160 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67752.1           -           1386 12974at5820          -            164   3.1e-09   35.2  43.6   2   4     0.033        16    3.6  14.2    28   105   136   220   136   230 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67752.1           -           1386 12974at5820          -            164   3.1e-09   35.2  43.6   3   4    0.0049       2.5    6.3   0.8    71    91   270   290   257   304 0.88 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67752.1           -           1386 12974at5820          -            164   3.1e-09   35.2  43.6   4   4   3.1e-08   1.6e-05   23.2   6.6    48   109   307   362   291   383 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO69342.1           -            148 12974at5820          -            164   9.6e-09   33.6   5.5   1   1   2.5e-11   1.3e-08   33.3   5.5    60   131    11    83     6   117 0.74 MORN repeat protein, putative [Plasmodium vivax]
SCO66582.1           -           1169 12974at5820          -            164   8.8e-05   20.8  17.7   1   2   1.1e-06   0.00055   18.2   4.4    66   103    38    75    30    78 0.94 protein kinase, putative [Plasmodium vivax]
SCO66582.1           -           1169 12974at5820          -            164   8.8e-05   20.8  17.7   2   2    0.0029       1.5    7.0   5.5    59   132    78   149    74   174 0.72 protein kinase, putative [Plasmodium vivax]
SCO67173.1           -           1333 12974at5820          -            164   0.00095   17.4   2.6   1   1   5.5e-06    0.0028   15.9   2.6    49   104    19    74     7    98 0.79 protein kinase, putative [Plasmodium vivax]
SCO65637.1           -           1029 12974at5820          -            164    0.0047   15.1  11.0   1   2   0.00029      0.15   10.3   3.4    45    83    14    52     2    67 0.63 tyrosine kinase-like protein, putative [Plasmodium vivax]
SCO65637.1           -           1029 12974at5820          -            164    0.0047   15.1  11.0   2   2    0.0012      0.61    8.3   0.9     4    51    70   118    66   128 0.76 tyrosine kinase-like protein, putative [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12974at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12974at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:31:01 2026
# [ok]
