#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
SCO66475.1           -            719 4609at5820           -            472  1.2e-231  767.9   8.9   1   4  9.4e-121  4.7e-118  393.3   0.2     6   215    24   235    20   249 0.97 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68180.1           -           1642 4609at5820           -            472   1.5e-09   35.6  13.1   4   4     0.096        48    0.9   0.6    97   148  1194  1248  1189  1272 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 4609at5820           -            472     2e-09   35.2  26.4   1   5   1.5e-08   7.4e-06   23.4   1.6   108   261   129   290   120   295 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 4609at5820           -            472     2e-09   35.2  26.4   2   5   2.6e-07   0.00013   19.3   5.0    58   200   235   371   228   375 0.83 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 4609at5820           -            472     2e-09   35.2  26.4   3   5     4e-05      0.02   12.1   0.6    46   126   297   377   293   400 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 4609at5820           -            472     2e-09   35.2  26.4   4   5    0.0004       0.2    8.8   2.1   237   349   378   491   363   497 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67002.1           -            631 4609at5820           -            472     2e-09   35.2  26.4   5   5    0.0056       2.8    5.0   3.1    94   165   494   564   482   581 0.80 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66816.1           -            807 4609at5820           -            472   4.7e-07   27.3   8.8   1   1   9.3e-10   4.7e-07   27.3   8.8    53   154   202   301   149   337 0.78 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68626.1           -           1047 4609at5820           -            472   0.00046   17.5   1.5   1   2    0.0021       1.1    6.4   0.2    83   188   247   351   243   365 0.74 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68626.1           -           1047 4609at5820           -            472   0.00046   17.5   1.5   2   2   0.00024      0.12    9.5   0.1   332   386   435   489   421   522 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65609.1           -            302 4609at5820           -            472   0.00095   16.4   5.7   1   2   2.1e-05     0.011   13.0   0.5    93   149    58   114    43   133 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO65609.1           -            302 4609at5820           -            472   0.00095   16.4   5.7   2   2    0.0027       1.4    6.0   0.6    15   156   135   280   131   294 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66628.1           -           1172 4609at5820           -            472   0.00099   16.4  13.3   1   4      0.51   2.6e+02   -1.5   0.2   384   462   355   434   348   444 0.71 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66628.1           -           1172 4609at5820           -            472   0.00099   16.4  13.3   2   4     2e-06   0.00099   16.4  13.3   212   374   445   616   435   634 0.70 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66628.1           -           1172 4609at5820           -            472   0.00099   16.4  13.3   3   4    0.0003      0.15    9.2   0.7    59   127   662   730   652   736 0.91 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66628.1           -           1172 4609at5820           -            472   0.00099   16.4  13.3   4   4       2.7   1.4e+03   -3.9   0.1    91   125  1072  1106  1068  1118 0.68 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66833.1           -            543 4609at5820           -            472      0.11    9.7  55.1   1   4   5.6e-05     0.028   11.6   0.3    13    78    44   109    36   112 0.87 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66833.1           -            543 4609at5820           -            472      0.11    9.7  55.1   2   4   7.7e-06    0.0039   14.4  23.4   234   393   116   280   110   288 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66833.1           -            543 4609at5820           -            472      0.11    9.7  55.1   3   4      0.62   3.2e+02   -1.8   2.1   333   370   323   360   304   372 0.85 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66833.1           -            543 4609at5820           -            472      0.11    9.7  55.1   4   4     0.022        11    3.0   4.5   334   377   489   534   464   542 0.79 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 4609at5820           -            472      0.15    9.2  12.5   1   2   4.2e-05     0.021   12.0   3.2   349   414   251   316   205   330 0.77 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO67517.1           -            735 4609at5820           -            472      0.15    9.2  12.5   2   2     0.042        21    2.1   1.9    69   161   469   558   457   593 0.63 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66451.1           -            769 4609at5820           -            472       3.7    4.6  30.8   1   5     0.055        28    1.7   2.4   401   460   239   301   224   310 0.81 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66451.1           -            769 4609at5820           -            472       3.7    4.6  30.8   2   5    0.0082       4.1    4.4   0.0    54    86   433   465   425   487 0.84 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66451.1           -            769 4609at5820           -            472       3.7    4.6  30.8   3   5      0.45   2.3e+02   -1.3   1.2   358   386   515   543   509   585 0.67 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66451.1           -            769 4609at5820           -            472       3.7    4.6  30.8   4   5      0.01       5.1    4.1   0.7   334   388   609   666   589   671 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO66451.1           -            769 4609at5820           -            472       3.7    4.6  30.8   5   5   4.9e-05     0.025   11.8   2.9    50   114   661   725   658   739 0.86 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4609at5820           -            472       4.1    4.5  26.2   1   5      0.87   4.4e+02   -2.2   0.1    92   120    93   124    83   137 0.51 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4609at5820           -            472       4.1    4.5  26.2   2   5      0.02        10    3.1   0.1    52    90   185   223   182   238 0.75 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4609at5820           -            472       4.1    4.5  26.2   3   5    0.0019      0.96    6.5   2.8   235   273   341   381   329   389 0.76 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4609at5820           -            472       4.1    4.5  26.2   4   5     0.055        28    1.7   0.2    58   125   549   623   541   648 0.54 conserved Plasmodium protein, unknown function [Plasmodium vivax]
SCO68310.1           -           1215 4609at5820           -            472       4.1    4.5  26.2   5   5     0.038        19    2.3   0.1   284   328   744   789   731   805 0.56 conserved Plasmodium protein, unknown function [Plasmodium vivax]
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm
# Target file:     /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PvT01_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4609at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4609at5820.hmm /v3/inputs/annotations/ncbi-datasets/PvT01.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 18:49:23 2026
# [ok]
