#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723512.1         -           1079 4909at5820           -            586  7.4e-301  997.4  92.5   1   6   5.1e-23   3.3e-20   70.7   1.0     1    69    18   106    18   114 0.85 | transcript=PVPAM_140043600_t1 | gene=PVPAM_140043600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-binding chaperone, putative | transcript_product=DNA-binding chaperone, putative | location=CASCJQ010000014:1621148-1624387(+) | protein_length=1079 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722759.1         -            245 4909at5820           -            586   2.4e-07   28.2   0.6   2   2    0.0023       1.5    5.8   0.3   157   204    44    89    40    96 0.80 | transcript=PVPAM_130026000_t1 | gene=PVPAM_130026000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=CASCJQ010000013:953395-955087(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 4909at5820           -            586   3.4e-07   27.7   1.6   1   4   6.5e-07   0.00042   17.5   0.0    86   121     5    40     2    54 0.88 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 4909at5820           -            586   3.4e-07   27.7   1.6   2   4   1.1e-06   0.00072   16.7   0.6   127   188    84   145    72   165 0.82 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 4909at5820           -            586   3.4e-07   27.7   1.6   3   4      0.25   1.6e+02   -0.9   0.9   122   149   165   194   143   206 0.69 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 4909at5820           -            586   3.4e-07   27.7   1.6   4   4        10   6.5e+03  -10.1  13.8   433   534   207   317   158   337 0.59 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 4909at5820           -            586   2.9e-06   24.7   0.3   1   2   3.1e-07    0.0002   18.6   0.0    89   123    43    77    39    84 0.90 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722051.1         -            334 4909at5820           -            586   2.9e-06   24.7   0.3   2   2    0.0061       3.9    4.4   0.1   156   185    80   109    77   113 0.91 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 4909at5820           -            586   4.2e-06   24.1   0.9   1   2   6.5e-09   4.2e-06   24.1   0.9    81   125   105   148    83   170 0.78 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 4909at5820           -            586   4.2e-06   24.1   0.9   2   2        10   6.5e+03   -7.6  13.3   229   287   288   356   150   378 0.70 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 4909at5820           -            586   1.8e-05   22.0   0.1   1   2   2.8e-08   1.8e-05   22.0   0.1    87   124     6    43     2    58 0.86 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 4909at5820           -            586   1.8e-05   22.0   0.1   2   2      0.65   4.2e+02   -2.3   0.0   277   299   109   133   101   139 0.70 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718478.1         -            328 4909at5820           -            586   0.00021   18.5   2.2   1   1   1.2e-06   0.00075   16.7   2.2    89   135     4    50     2    74 0.73 | transcript=PVPAM_040022400_t1 | gene=PVPAM_040022400 | organism=Plasmodium_vivax_PAM | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=CASCJQ010000004:735172-736487(-) | protein_length=328 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 4909at5820           -            586    0.0016   15.6   0.9   1   2   3.8e-05     0.024   11.7   0.1    89   122   294   327   288   331 0.91 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 4909at5820           -            586    0.0016   15.6   0.9   2   2      0.03        19    2.1   0.1   157   182   331   356   327   361 0.89 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718248.1         -            115 4909at5820           -            586     0.011   12.9   0.1   1   1   2.1e-05     0.014   12.5   0.1    89   134    65   109    50   113 0.85 | transcript=PVPAM_030024800_t1 | gene=PVPAM_030024800 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=CASCJQ010000003:804664-805291(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4909at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:38 2026
# [ok]
