#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723393.1         -            244 14189at5820          -            195  2.6e-108  358.6  34.0   1   2   3.2e-33     3e-30  103.9   8.8     1    80     1    82     1   104 0.80 | transcript=PVPAM_140031200_t1 | gene=PVPAM_140031200 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000014:1152775-1153919(-) | protein_length=244 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 14189at5820          -            195   4.7e-07   28.2   7.7   1   2   3.1e-05     0.028   12.6   1.0   116   168    11    63     7    70 0.89 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720345.1         -            167 14189at5820          -            195   4.7e-07   28.2   7.7   2   2   8.9e-07   0.00083   17.6   2.0   101   176    70   145    61   154 0.83 | transcript=PVPAM_090011000_t1 | gene=PVPAM_090011000 | organism=Plasmodium_vivax_PAM | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=CASCJQ010000009:364310-365085(+) | protein_length=167 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14189at5820          -            195   7.9e-06   24.2  13.2   1   2   0.00016      0.14   10.3   0.1   124   165    13    54     3    59 0.88 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719263.1         -            236 14189at5820          -            195   7.9e-06   24.2  13.2   2   2   2.8e-06    0.0026   16.0   9.0    54   184   104   231    94   236 0.72 | transcript=PVPAM_060027000_t1 | gene=PVPAM_060027000 | organism=Plasmodium_vivax_PAM | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=CASCJQ010000006:916869-917579(+) | protein_length=236 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14189at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14189at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14189at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:45 2026
# [ok]
