#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722051.1         -            334 11160at5820          -            250  9.6e-116  384.3  34.1   1   3       2.9   8.6e+02   -2.0   0.3     1     9     1     9     1    13 0.89 | transcript=PVPAM_120028900_t1 | gene=PVPAM_120028900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:922936-924975(+) | protein_length=334 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 11160at5820          -            250   3.6e-15   54.9   2.7   1   3   1.2e-17   3.6e-15   54.9   2.7    15    82     6    77     3    97 0.83 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 11160at5820          -            250   3.6e-15   54.9   2.7   2   3       1.3   3.9e+02   -0.9   0.7    90   121   204   235   192   284 0.68 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719951.1         -            727 11160at5820          -            250   3.6e-15   54.9   2.7   3   3       5.6   1.6e+03   -3.0   1.9    37    59   626   648   613   692 0.73 | transcript=PVPAM_080017400_t1 | gene=PVPAM_080017400 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000008:599867-602050(-) | protein_length=727 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 11160at5820          -            250   3.8e-15   54.8  11.5   1   3      0.48   1.4e+02    0.5   2.9    55   109    33    89     6   100 0.77 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 11160at5820          -            250   3.8e-15   54.8  11.5   2   3   1.3e-17   3.8e-15   54.8  11.5     9   152   104   244    97   257 0.81 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720654.1         -            381 11160at5820          -            250   3.8e-15   54.8  11.5   3   3       7.6   2.2e+03   -3.4   1.4    81    81   335   335   279   377 0.59 | transcript=PVPAM_090041800_t1 | gene=PVPAM_090041800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000009:1633073-1634829(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718786.1         -            691 11160at5820          -            250   9.7e-15   53.5   5.8   1   2   3.3e-17   9.7e-15   53.5   5.8    16    87   141   211   117   283 0.78 | transcript=PVPAM_050018000_t1 | gene=PVPAM_050018000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000005:588880-590955(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718786.1         -            691 11160at5820          -            250   9.7e-15   53.5   5.8   2   2       5.6   1.6e+03   -3.0   0.8    75    83   556   564   505   602 0.51 | transcript=PVPAM_050018000_t1 | gene=PVPAM_050018000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000005:588880-590955(-) | protein_length=691 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717759.1         -            846 11160at5820          -            250   1.7e-14   52.7   0.1   1   1   1.1e-16   3.2e-14   51.8   0.1    16    81   293   357   289   429 0.90 | transcript=PVPAM_010027300_t1 | gene=PVPAM_010027300 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000001:986919-989459(+) | protein_length=846 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718137.1         -            643 11160at5820          -            250   2.1e-14   52.4   0.5   1   1   1.3e-16   3.9e-14   51.5   0.4    10    82    72   142    64   186 0.89 | transcript=PVPAM_030013300_t1 | gene=PVPAM_030013300 | organism=Plasmodium_vivax_PAM | gene_product=chaperone protein DnaJ, putative | transcript_product=chaperone protein DnaJ, putative | location=CASCJQ010000003:381368-383299(+) | protein_length=643 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722993.1         -            381 11160at5820          -            250   2.3e-14   52.3   3.1   1   1   1.5e-16   4.5e-14   51.3   3.1    14    81    52   117    45   134 0.89 | transcript=PVPAM_130049900_t1 | gene=PVPAM_130049900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000013:1983241-1984755(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 11160at5820          -            250   2.3e-13   49.0   3.2   1   3         3   8.7e+02   -2.0   0.1    73    98   126   151   118   181 0.55 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 11160at5820          -            250   2.3e-13   49.0   3.2   2   3   7.9e-16   2.3e-13   49.0   3.2    14    93   188   265   177   279 0.89 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720901.1         -            529 11160at5820          -            250   2.3e-13   49.0   3.2   3   3         2   5.8e+02   -1.5   3.8   109   151   343   388   293   503 0.60 | transcript=PVPAM_100016900_t1 | gene=PVPAM_100016900 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:518961-520882(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723355.1         -            718 11160at5820          -            250   5.5e-13   47.7   0.0   1   1   5.8e-15   1.7e-12   46.1   0.0     3    81   115   192   112   198 0.86 | transcript=PVPAM_140027400_t1 | gene=PVPAM_140027400 | organism=Plasmodium_vivax_PAM | gene_product=translocation protein SEC63, putative | transcript_product=translocation protein SEC63, putative | location=CASCJQ010000014:968475-970631(-) | protein_length=718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719632.1         -            378 11160at5820          -            250   1.1e-11   43.5   1.4   1   1   8.8e-14   2.6e-11   42.3   1.4    14    80    50   114    42   130 0.88 | transcript=PVPAM_070024600_t1 | gene=PVPAM_070024600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000007:878362-880295(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 11160at5820          -            250   5.4e-09   34.7  11.7   1   3   3.3e-10   9.7e-08   30.5   0.0    17    73     8    66     2    84 0.78 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 11160at5820          -            250   5.4e-09   34.7  11.7   2   3   0.00091      0.27    9.5   3.0    53   103   112   161   101   251 0.79 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722148.1         -            339 11160at5820          -            250   5.4e-09   34.7  11.7   3   3       2.8   8.3e+02   -2.0   0.3    43    70   296   323   251   337 0.57 | transcript=PVPAM_120038600_t1 | gene=PVPAM_120038600 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000012:1334802-1335821(-) | protein_length=339 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721290.1         -            201 11160at5820          -            250   1.9e-06   26.4  10.1   1   1   1.1e-08   3.2e-06   25.6  10.1    17    97     2    83     1   138 0.69 | transcript=PVPAM_110019200_t1 | gene=PVPAM_110019200 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:606094-607727(-) | protein_length=201 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718248.1         -            115 11160at5820          -            250   5.4e-05   21.6   0.1   1   1   2.3e-07   6.7e-05   21.3   0.1     7    48    55    96    48   107 0.91 | transcript=PVPAM_030024800_t1 | gene=PVPAM_030024800 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial import inner membrane translocase subunit TIM14, putative | transcript_product=mitochondrial import inner membrane translocase subunit TIM14, putative | location=CASCJQ010000003:804664-805291(+) | protein_length=115 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721120.1         -            177 11160at5820          -            250   0.00024   19.4   1.7   1   1   9.8e-07   0.00029   19.2   0.8    17    51     8    42     3   109 0.75 | transcript=PVPAM_100038800_t1 | gene=PVPAM_100038800 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000010:1445270-1445803(-) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721424.1         -            358 11160at5820          -            250   0.00065   18.0   4.4   1   1   3.4e-06   0.00099   17.4   4.4    13   118    67   167    55   199 0.85 | transcript=PVPAM_110033000_t1 | gene=PVPAM_110033000 | organism=Plasmodium_vivax_PAM | gene_product=DnaJ protein, putative | transcript_product=DnaJ protein, putative | location=CASCJQ010000011:1200861-1201937(+) | protein_length=358 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11160at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11160at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11160at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:31 2026
# [ok]
