#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721084.1         -            603 5548at5820           -            458  1.7e-255  846.5  40.1   1   2   9.2e-81   6.6e-78  261.0   3.3     1   139     1   143     1   149 0.96 | transcript=PVPAM_100035200_t1 | gene=PVPAM_100035200 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000010:1286394-1288205(-) | protein_length=603 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 5548at5820           -            458   4.8e-33  113.1   0.0   1   2   1.8e-06    0.0013   16.1   0.0     6    40     5    39     2    51 0.91 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 5548at5820           -            458   4.8e-33  113.1   0.0   2   2   1.6e-29   1.1e-26   92.1   0.0   186   458   114   375    93   375 0.89 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720325.1         -            491 5548at5820           -            458   3.2e-22   77.5  17.9   1   3    0.0033       2.4    5.4   0.4     5   113     3    97     1   105 0.65 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720325.1         -            491 5548at5820           -            458   3.2e-22   77.5  17.9   2   3   8.8e-14   6.3e-11   40.2   6.7   164   350    96   305    81   335 0.70 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720325.1         -            491 5548at5820           -            458   3.2e-22   77.5  17.9   3   3   2.5e-13   1.8e-10   38.7   0.8   374   458   401   490   370   490 0.79 | transcript=PVPAM_090009100_t1 | gene=PVPAM_090009100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:277737-279212(+) | protein_length=491 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 5548at5820           -            458   3.1e-18   64.3   0.2   1   2    0.0027       1.9    5.7   0.0     7    46     3    42     1    55 0.89 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 5548at5820           -            458   3.1e-18   64.3   0.2   2   2   1.1e-18   7.6e-16   56.4   0.0   177   454    95   369    75   373 0.84 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 5548at5820           -            458   2.6e-05   21.7   0.1   1   2       2.2   1.6e+03   -3.9   0.0    41    60   305   324   273   329 0.68 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 5548at5820           -            458   2.6e-05   21.7   0.1   2   2     1e-07   7.2e-05   20.3   0.0   366   456   464   564   433   566 0.75 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 5548at5820           -            458   0.00049   17.5   0.2   1   1   1.2e-06   0.00088   16.7   0.2   332   450   732   852   726   854 0.75 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5548at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5548at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5548at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:16 2026
# [ok]
