#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721044.1         -            371 9024at5820           -            280  1.8e-140  465.8  27.8   1   2   8.3e-82   4.5e-79  264.4  15.3     1   151    12   163    12   171 0.97 | transcript=PVPAM_100031200_t1 | gene=PVPAM_100031200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000010:1136254-1137982(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 9024at5820           -            280   7.3e-25   86.5  73.3   5   7   4.9e-05     0.026   12.5  18.9    27   203   984  1169   971  1180 0.74 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 9024at5820           -            280   7.3e-25   86.5  73.3   6   7    0.0027       1.4    6.8   0.4    43    78  1182  1217  1177  1227 0.85 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 9024at5820           -            280   7.3e-25   86.5  73.3   7   7   4.1e-10   2.2e-07   29.2   7.4    40   152  1232  1347  1223  1369 0.82 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 9024at5820           -            280   1.1e-17   62.9  39.5   1   3   4.9e-14   2.6e-11   42.1  14.6    42   123    72   154    67   160 0.93 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 9024at5820           -            280   1.1e-17   62.9  39.5   2   3   5.6e-12     3e-09   35.3  16.9    47   126   121   204   121   231 0.82 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719748.1         -            635 9024at5820           -            280   1.1e-17   62.9  39.5   3   3       7.2   3.9e+03   -4.4   2.3   227   268   485   528   465   548 0.47 | transcript=PVPAM_070036200_t1 | gene=PVPAM_070036200 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:1300627-1303268(-) | protein_length=635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720749.1         -            340 9024at5820           -            280   4.4e-12   44.6  35.3   1   2   1.2e-10   6.2e-08   31.0  15.8    43   148   104   207    75   214 0.83 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720749.1         -            340 9024at5820           -            280   4.4e-12   44.6  35.3   2   2   4.1e-07   0.00022   19.4  11.9    46   141   215   315   209   330 0.77 | transcript=PVPAM_090051300_t1 | gene=PVPAM_090051300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000009:2058046-2059068(+) | protein_length=340 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 9024at5820           -            280   1.6e-09   36.2  14.1   1   2   1.6e-10   8.4e-08   30.6  13.0    14   110    12   109     3   113 0.83 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723619.1         -            438 9024at5820           -            280   1.6e-09   36.2  14.1   2   2     0.007       3.8    5.5   0.0   189   255   111   179   103   200 0.73 | transcript=PVPAM_140054300_t1 | gene=PVPAM_140054300 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000014:2119853-2121416(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718799.1         -            198 9024at5820           -            280   2.7e-09   35.5   7.5   1   1   7.2e-12   3.9e-09   35.0   7.5    31   148    37   158     7   192 0.74 | transcript=PVPAM_050019300_t1 | gene=PVPAM_050019300 | organism=Plasmodium_vivax_PAM | gene_product=dynein light chain 1, putative | transcript_product=dynein light chain 1, putative | location=CASCJQ010000005:638781-640263(+) | protein_length=198 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 9024at5820           -            280   2.9e-09   35.4  38.9   1   2   5.3e-06    0.0028   15.7  16.5    64   148    32   115    16   118 0.61 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 9024at5820           -            280   2.9e-09   35.4  38.9   2   2   1.5e-08     8e-06   24.1  14.1    38   190   116   267   115   273 0.76 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721160.1         -            176 9024at5820           -            280     1e-07   30.3  18.2   1   3   8.3e-08   4.4e-05   21.6  11.2    57   147     8   100     2   107 0.87 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721160.1         -            176 9024at5820           -            280     1e-07   30.3  18.2   2   3   0.00021      0.11   10.5   2.4    42    84    84   129    79   131 0.81 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721160.1         -            176 9024at5820           -            280     1e-07   30.3  18.2   3   3   9.2e-05      0.05   11.6   0.9   191   245   110   163   105   172 0.79 | transcript=PVPAM_110006200_t1 | gene=PVPAM_110006200 | organism=Plasmodium_vivax_PAM | gene_product=U2 small nuclear ribonucleoprotein A', putative | transcript_product=U2 small nuclear ribonucleoprotein A', putative | location=CASCJQ010000011:47761-49104(+) | protein_length=176 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 9024at5820           -            280   1.9e-05   22.9   6.9   1   2   7.6e-05     0.041   11.9   0.2    91   146   162   217   150   223 0.92 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719507.1         -            414 9024at5820           -            280   1.9e-05   22.9   6.9   2   2   2.7e-05     0.015   13.4   1.8    67   120   273   331   267   339 0.83 | transcript=PVPAM_070012100_t1 | gene=PVPAM_070012100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000007:406377-407621(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722868.1         -            281 9024at5820           -            280   5.1e-05   21.5   3.9   1   2   9.4e-08   5.1e-05   21.5   3.9    59   146    49   142    22   174 0.69 | transcript=PVPAM_130037000_t1 | gene=PVPAM_130037000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1428194-1429039(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722868.1         -            281 9024at5820           -            280   5.1e-05   21.5   3.9   2   2      0.61   3.3e+02   -0.9   2.1   124   164   221   261   213   279 0.70 | transcript=PVPAM_130037000_t1 | gene=PVPAM_130037000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1428194-1429039(-) | protein_length=281 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9024at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9024at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9024at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:49:34 2026
# [ok]
