#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721835.1         -            209 12072at5820          -            169  3.6e-105  347.6   3.7   1   1  8.4e-108  4.5e-105  347.3   3.7     1   169    11   183    11   183 0.97 | transcript=PVPAM_120006900_t1 | gene=PVPAM_120006900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-related protein, putative | transcript_product=thioredoxin-related protein, putative | location=CASCJQ010000012:82418-83438(+) | protein_length=209 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721909.1         -            157 12072at5820          -            169   4.8e-09   34.8   0.3   1   1   1.3e-11   7.1e-09   34.3   0.3    35   107    69   142    59   155 0.86 | transcript=PVPAM_120014300_t1 | gene=PVPAM_120014300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=CASCJQ010000012:383174-384266(+) | protein_length=157 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720559.1         -            424 12072at5820          -            169   8.3e-07   27.5   0.4   1   1   4.1e-09   2.2e-06   26.1   0.4    33   114    43   134    15   155 0.74 | transcript=PVPAM_090032500_t1 | gene=PVPAM_090032500 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase, putative | transcript_product=protein disulfide-isomerase, putative | location=CASCJQ010000009:1239892-1243411(+) | protein_length=424 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722312.1         -            104 12072at5820          -            169   4.3e-06   25.2   0.1   1   1     9e-09   4.8e-06   25.0   0.1    38   103    21    85    10   102 0.85 | transcript=PVPAM_120054900_t1 | gene=PVPAM_120054900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=CASCJQ010000012:2015654-2016102(+) | protein_length=104 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719603.1         -            179 12072at5820          -            169   4.4e-06   25.2   0.1   1   1   1.1e-08   5.8e-06   24.8   0.1    24   100    75   149    60   173 0.85 | transcript=PVPAM_070021700_t1 | gene=PVPAM_070021700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=CASCJQ010000007:760911-762124(+) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719696.1         -            133 12072at5820          -            169   0.00023   19.6   0.0   1   1   5.2e-07   0.00028   19.3   0.0    38   103    44   108    19   125 0.80 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 12072at5820          -            169    0.0058   15.0  11.9   1   4      0.14        76    1.6   0.1    13    74    39    98    20   105 0.72 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 12072at5820          -            169    0.0058   15.0  11.9   2   4      0.15        82    1.5   0.4    71   112   156   199   143   215 0.76 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 12072at5820          -            169    0.0058   15.0  11.9   3   4   0.00062      0.33    9.3   0.8    62   107   198   243   183   260 0.73 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720333.1         -            430 12072at5820          -            169    0.0058   15.0  11.9   4   4    0.0015      0.83    8.0   0.2    72   120   344   392   332   403 0.89 | transcript=PVPAM_090009900_t1 | gene=PVPAM_090009900 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like mero protein, putative | transcript_product=thioredoxin-like mero protein, putative | location=CASCJQ010000009:319761-321182(+) | protein_length=430 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719635.1         -            518 12072at5820          -            169     0.013   13.9   0.6   1   2   8.5e-05     0.046   12.1   0.3    48    98    75   126    24   188 0.82 | transcript=PVPAM_070024900_t1 | gene=PVPAM_070024900 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=CASCJQ010000007:888661-890583(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719635.1         -            518 12072at5820          -            169     0.013   13.9   0.6   2   2      0.87   4.7e+02   -1.0   0.0    42    78   423   465   407   484 0.68 | transcript=PVPAM_070024900_t1 | gene=PVPAM_070024900 | organism=Plasmodium_vivax_PAM | gene_product=protein disulfide-isomerase PDI-Trans, putative | transcript_product=protein disulfide-isomerase PDI-Trans, putative | location=CASCJQ010000007:888661-890583(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/12072at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/12072at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:25:34 2026
# [ok]
