#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720689.1         -           1711 656at5820            -           1340         0 2353.9 120.3   1   4  6.6e-209  7.1e-206  685.2  38.3     1   401     1   470     1   489 0.84 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721934.1         -            817 656at5820            -           1340   6.5e-65  218.2  19.2   3   3   5.8e-29   6.2e-26   89.0  15.2   408   888   333   769   327   814 0.81 | transcript=PVPAM_120016800_t1 | gene=PVPAM_120016800 | organism=Plasmodium_vivax_PAM | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=CASCJQ010000012:524285-527026(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721099.1         -            800 656at5820            -           1340   1.1e-59  200.9  65.1   1   3   6.7e-18   7.2e-15   52.4   5.5    87   222    69   198    50   208 0.75 | transcript=PVPAM_100036700_t1 | gene=PVPAM_100036700 | organism=Plasmodium_vivax_PAM | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=CASCJQ010000010:1362733-1366496(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721099.1         -            800 656at5820            -           1340   1.1e-59  200.9  65.1   2   3   4.4e-25   4.7e-22   76.2   4.9   266   368   201   305   196   329 0.88 | transcript=PVPAM_100036700_t1 | gene=PVPAM_100036700 | organism=Plasmodium_vivax_PAM | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=CASCJQ010000010:1362733-1366496(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721099.1         -            800 656at5820            -           1340   1.1e-59  200.9  65.1   3   3   2.4e-26   2.5e-23   80.4  40.1   423   912   331   772   314   778 0.78 | transcript=PVPAM_100036700_t1 | gene=PVPAM_100036700 | organism=Plasmodium_vivax_PAM | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=CASCJQ010000010:1362733-1366496(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 656at5820            -           1340   4.6e-45  152.4  32.4   1   3   1.2e-28   1.3e-25   88.0   0.6    98   377   102   381    77   412 0.73 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 656at5820            -           1340   4.6e-45  152.4  32.4   2   3   7.6e-20   8.2e-17   58.8   4.6   505   718   503   716   487   721 0.83 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723637.1         -           1904 656at5820            -           1340   4.6e-45  152.4  32.4   3   3   5.5e-07   0.00059   16.2  12.6   755   996   730   962   716   974 0.74 | transcript=PVPAM_140056100_t1 | gene=PVPAM_140056100 | organism=Plasmodium_vivax_PAM | gene_product=myosin J, putative | transcript_product=myosin J, putative | location=CASCJQ010000014:2198561-2205090(-) | protein_length=1904 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 656at5820            -           1340   2.3e-22   77.2  33.0   1   5   7.2e-21   7.8e-18   62.2   7.1    65   327    44   341    34   349 0.72 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 656at5820            -           1340   2.3e-22   77.2  33.0   2   5      0.86   9.3e+02   -4.3   4.6   233   280   467   517   445   555 0.51 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 656at5820            -           1340   2.3e-22   77.2  33.0   3   5   1.8e-11   1.9e-08   31.1  17.9   409   794   542   957   487   982 0.68 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 656at5820            -           1340   2.3e-22   77.2  33.0   4   5       5.4   5.8e+03   -6.9   4.4   369   390  1375  1396  1370  1407 0.49 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721493.1         -           1978 656at5820            -           1340   2.3e-22   77.2  33.0   5   5         6   6.5e+03   -7.1   6.0  1226  1313  1834  1919  1705  1941 0.49 | transcript=PVPAM_110039800_t1 | gene=PVPAM_110039800 | organism=Plasmodium_vivax_PAM | gene_product=myosin E, putative | transcript_product=myosin E, putative | location=CASCJQ010000011:1448998-1454934(+) | protein_length=1978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/656at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/656at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:32 2026
# [ok]
