#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718091.1         -            762 4841at5820           -            504  2.5e-253  839.9  43.2   1   5   4.9e-82   3.1e-79  265.5   2.4     3   155     4   166     1   168 0.91 | transcript=PVPAM_030008700_t1 | gene=PVPAM_030008700 | organism=Plasmodium_vivax_PAM | gene_product=dipeptidyl aminopeptidase 3, putative | transcript_product=dipeptidyl aminopeptidase 3, putative | location=CASCJQ010000003:185975-188391(-) | protein_length=762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720438.1         -            487 4841at5820           -            504   1.1e-17   62.5  12.0   2   3   2.2e-10   1.4e-07   29.1   0.5   247   308   279   335   248   341 0.88 | transcript=PVPAM_090020300_t1 | gene=PVPAM_090020300 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:737351-738814(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720438.1         -            487 4841at5820           -            504   1.1e-17   62.5  12.0   3   3   2.1e-13   1.3e-10   39.1   1.4   347   487   347   471   341   477 0.89 | transcript=PVPAM_090020300_t1 | gene=PVPAM_090020300 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:737351-738814(-) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720437.1         -            495 4841at5820           -            504   1.9e-16   58.4  12.2   1   2     3e-10   1.9e-07   28.7   0.6   246   307   284   340   172   346 0.91 | transcript=PVPAM_090020200_t1 | gene=PVPAM_090020200 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:733568-735055(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720437.1         -            495 4841at5820           -            504   1.9e-16   58.4  12.2   2   2   3.7e-11   2.4e-08   31.7   5.2   348   485   354   475   343   483 0.85 | transcript=PVPAM_090020200_t1 | gene=PVPAM_090020200 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:733568-735055(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 4841at5820           -            504   4.3e-12   44.0  19.7   1   2   3.7e-11   2.4e-08   31.7  10.9   125   317   236   420   225   441 0.85 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722304.1         -            583 4841at5820           -            504   4.3e-12   44.0  19.7   2   2   2.8e-06    0.0018   15.6   3.0   381   485   453   566   423   574 0.70 | transcript=PVPAM_120054100_t1 | gene=PVPAM_120054100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-1 | transcript_product=vivapain-1 | location=CASCJQ010000012:1968043-1969794(-) | protein_length=583 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720436.1         -            484 4841at5820           -            504   1.5e-08   32.4  17.1   1   2     3e-05      0.02   12.2   0.7   244   307   274   332   261   343 0.85 | transcript=PVPAM_090020100_t1 | gene=PVPAM_090020100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:729233-730687(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720436.1         -            484 4841at5820           -            504   1.5e-08   32.4  17.1   2   2   3.5e-09   2.3e-06   25.2   6.2   360   484   358   466   338   479 0.81 | transcript=PVPAM_090020100_t1 | gene=PVPAM_090020100 | organism=Plasmodium_vivax_PAM | gene_product=vivapain-2 | transcript_product=vivapain-2 | location=CASCJQ010000009:729233-730687(-) | protein_length=484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 4841at5820           -            504    0.0002   18.8   0.4   1   2     0.026        17    2.5   2.5   129   267   150   282    89   292 0.78 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718545.1         -            706 4841at5820           -            504    0.0002   18.8   0.4   2   2   3.1e-07    0.0002   18.8   0.4   421   480   433   489   421   492 0.79 | transcript=PVPAM_040028900_t1 | gene=PVPAM_040028900 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:1007008-1009883(+) | protein_length=706 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718532.1         -           1014 4841at5820           -            504   0.00081   16.8   0.9   1   1   2.5e-06    0.0016   15.8   0.9   433   480   700   742   664   746 0.88 | transcript=PVPAM_040027600_t1 | gene=PVPAM_040027600 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:946325-949823(+) | protein_length=1014 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718533.1         -           1219 4841at5820           -            504    0.0057   14.0   0.9   1   2       1.4     9e+02   -3.2   0.0    57    76   456   475   441   482 0.83 | transcript=PVPAM_040027700_t1 | gene=PVPAM_040027700 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:950954-954976(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718533.1         -           1219 4841at5820           -            504    0.0057   14.0   0.9   2   2   1.5e-05    0.0095   13.2   0.2   436   480   848   887   840   891 0.87 | transcript=PVPAM_040027700_t1 | gene=PVPAM_040027700 | organism=Plasmodium_vivax_PAM | gene_product=serine-repeat antigen (SERA) | transcript_product=serine-repeat antigen (SERA) | location=CASCJQ010000004:950954-954976(+) | protein_length=1219 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4841at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4841at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:12 2026
# [ok]
