#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722709.1         -           1427 857at5820            -           1079         0 2397.8  34.4   1   2         0         0 1755.9  22.8     1   778   202  1010   202  1015 0.98 | transcript=PVPAM_130021000_t1 | gene=PVPAM_130021000 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase III subunit RPC2, putative | transcript_product=DNA-directed RNA polymerase III subunit RPC2, putative | location=CASCJQ010000013:714263-718546(-) | protein_length=1427 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723915.1         -           1021 857at5820            -           1079   1.6e-25   87.4   2.5   1   5         4   6.5e+03  -10.0   6.7   602   637    41    79    35   157 0.56 | transcript=PVPAM_API0008600_t1 | gene=PVPAM_API0008600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=CASCJQ010000015:20131-23196(-) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723915.1         -           1021 857at5820            -           1079   1.6e-25   87.4   2.5   2   5     0.016        25    0.7   0.2   438   500   332   392   264   397 0.76 | transcript=PVPAM_API0008600_t1 | gene=PVPAM_API0008600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=CASCJQ010000015:20131-23196(-) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723915.1         -           1021 857at5820            -           1079   1.6e-25   87.4   2.5   3   5      0.26   4.2e+02   -3.4   7.7   613   709   422   532   409   547 0.68 | transcript=PVPAM_API0008600_t1 | gene=PVPAM_API0008600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=CASCJQ010000015:20131-23196(-) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723915.1         -           1021 857at5820            -           1079   1.6e-25   87.4   2.5   4   5    0.0025         4    3.3   0.0   722   754   595   627   546   647 0.77 | transcript=PVPAM_API0008600_t1 | gene=PVPAM_API0008600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=CASCJQ010000015:20131-23196(-) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723915.1         -           1021 857at5820            -           1079   1.6e-25   87.4   2.5   5   5     1e-28   1.6e-25   87.4   2.5   831  1069   747   997   697  1004 0.73 | transcript=PVPAM_API0008600_t1 | gene=PVPAM_API0008600 | organism=Plasmodium_vivax_PAM | gene_product=DNA-directed RNA polymerase subunit beta, putative | transcript_product=DNA-directed RNA polymerase subunit beta, putative | location=CASCJQ010000015:20131-23196(-) | protein_length=1021 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/857at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/857at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:38 2026
# [ok]
