#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720460.1         -            214 11343at5820          -            214  4.9e-155  511.6   0.5   1   1  1.6e-157  5.5e-155  511.5   0.5     1   214     1   214     1   214 1.00 | transcript=PVPAM_090022500_t1 | gene=PVPAM_090022500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding nuclear protein RAN/TC4, putative | transcript_product=GTP-binding nuclear protein RAN/TC4, putative | location=CASCJQ010000009:817557-818377(-) | protein_length=214 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718501.1         -            245 11343at5820          -            214   2.7e-18   64.7   1.3   2   2   4.2e-18   1.4e-15   55.8   0.9    55   168    99   212    74   237 0.86 | transcript=PVPAM_040024500_t1 | gene=PVPAM_040024500 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5A, putative | transcript_product=ras-related protein Rab-5A, putative | location=CASCJQ010000004:818004-818741(+) | protein_length=245 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723272.1         -            205 11343at5820          -            214     3e-16   58.1   0.3   1   1   1.1e-18   3.7e-16   57.7   0.3     9   167    32   192    24   202 0.88 | transcript=PVPAM_140019100_t1 | gene=PVPAM_140019100 | organism=Plasmodium_vivax_PAM | gene_product=ras-related protein Rab-5B, putative | transcript_product=ras-related protein Rab-5B, putative | location=CASCJQ010000014:641770-643260(-) | protein_length=205 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 11343at5820          -            214   3.4e-11   41.5   0.5   1   1   1.2e-13     4e-11   41.3   0.5     9   172    16   182     9   185 0.79 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 11343at5820          -            214   8.5e-09   33.7   0.1   1   1   2.9e-11   9.8e-09   33.5   0.1    10   168    18   178    11   181 0.68 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 11343at5820          -            214   9.1e-08   30.3   0.1   1   1   3.3e-10   1.1e-07   30.0   0.1    11   164    19   174    13   178 0.75 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 11343at5820          -            214     2e-06   26.0   0.0   1   1   8.7e-09   2.9e-06   25.4   0.0    12   131    23   139    18   185 0.83 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723803.1         -            261 11343at5820          -            214     3e-05   22.1   0.2   1   1   1.2e-07     4e-05   21.7   0.2     9   131    63   188    58   222 0.83 | transcript=PVPAM_140072600_t1 | gene=PVPAM_140072600 | organism=Plasmodium_vivax_PAM | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=CASCJQ010000014:2867218-2868732(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11343at5820          -            214    0.0012   16.9   0.1   1   2     0.053        18    3.2   0.0    11    34     5    27     1    40 0.79 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721464.1         -            453 11343at5820          -            214    0.0012   16.9   0.1   2   2   0.00026     0.088   10.8   0.0    65   107   164   206   154   212 0.89 | transcript=PVPAM_110036900_t1 | gene=PVPAM_110036900 | organism=Plasmodium_vivax_PAM | gene_product=ras GTPAse, putative | transcript_product=ras GTPAse, putative | location=CASCJQ010000011:1341764-1343125(+) | protein_length=453 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720081.1         -            170 11343at5820          -            214     0.042   11.8   0.0   1   2   0.00024     0.082   10.9   0.0    88   139     7    61     3    74 0.84 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720081.1         -            170 11343at5820          -            214     0.042   11.8   0.0   2   2         5   1.7e+03   -3.2   0.0   188   199   141   152   129   158 0.70 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11343at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/11343at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/11343at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:11 2026
# [ok]
