#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719696.1         -            133 14603at5820          -             96   1.4e-58  193.6   0.7   1   1   3.9e-61   1.7e-58  193.3   0.7     1    96    21   116    21   116 0.99 | transcript=PVPAM_070031000_t1 | gene=PVPAM_070031000 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=CASCJQ010000007:1124314-1125388(+) | protein_length=133 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719489.1         -            282 14603at5820          -             96    0.0091   14.6   2.5   2   2      0.19        82    2.0   0.1    42    64   251   273   227   280 0.84 | transcript=PVPAM_070010300_t1 | gene=PVPAM_070010300 | organism=Plasmodium_vivax_PAM | gene_product=ATP synthase-associated protein, putative | transcript_product=ATP synthase-associated protein, putative | location=CASCJQ010000007:292708-293556(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720267.1         -            179 14603at5820          -             96     0.018   13.7   0.0   1   1   9.2e-05      0.04   12.6   0.0     8    62    38    89    31    97 0.79 | transcript=PVPAM_080049000_t1 | gene=PVPAM_080049000 | organism=Plasmodium_vivax_PAM | gene_product=plasmoredoxin, putative | transcript_product=plasmoredoxin, putative | location=CASCJQ010000008:1898569-1899108(-) | protein_length=179 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721229.1         -           2173 14603at5820          -             96      0.19   10.4   7.7   1   3       7.9   3.4e+03   -3.2   0.2    55    74    11    31     9    37 0.79 | transcript=PVPAM_110013100_t1 | gene=PVPAM_110013100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:309175-315840(-) | protein_length=2173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721229.1         -           2173 14603at5820          -             96      0.19   10.4   7.7   2   3     0.013       5.5    5.7   0.0    18    59  1021  1062  1013  1067 0.85 | transcript=PVPAM_110013100_t1 | gene=PVPAM_110013100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:309175-315840(-) | protein_length=2173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721229.1         -           2173 14603at5820          -             96      0.19   10.4   7.7   3   3    0.0057       2.5    6.8   1.3    50    76  1614  1640  1609  1648 0.87 | transcript=PVPAM_110013100_t1 | gene=PVPAM_110013100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:309175-315840(-) | protein_length=2173 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14603at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14603at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:57 2026
# [ok]
